Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ACCENTURE UK LTD,"99,416.42",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ACCENTURE UK LTD,"82,847.02",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,"47,082.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,COMPUTER MAINTENANCE,DIRECTOR OF NURSING & PATIENT SERVICES,ALLOCATE SOFTWARE PLC,"41,832.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,WAN USAGE,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT GLOBAL SERVICES,"114,620.23",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,TELEPHONES,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT PLC,"36,831.07",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"85,737.89",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"31,443.28",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,STRUCTURE,CAPITAL PROGRAM,DAUBNEY LTD,"52,038.07",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,BUILD MAINT EXT CONTRACTS,DIRECTOR OF FACILITIES MANAGEMENT,DAVID HUMPHREY & SON,"25,620.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,CONSULTANCY FEES,DIR STRATEGY AND PERFORMANCE,DR FOSTER LTD,"91,800.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"34,760.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"35,403.50",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"28,600.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"150,894.12",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"87,444.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"65,088.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,STRUCTURE,CAPITAL PROGRAM,INTERSERVE CONSTRUCTION LTD,"215,926.80",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,STRUCTURE,CAPITAL PROGRAM,INTERSERVE CONSTRUCTION LTD,"464,300.40",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"31,742.66",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,EQUIPMENT <5K,CAPITAL PROGRAM,LANCER UK LIMITED,"42,480.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,EQUIPMENT >5K,CAPITAL PROGRAM,LANCER UK LIMITED,"4,808.54",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,ADMIN CLERICAL OTHER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"20,384.42",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,ADMIN CLERICAL OTHER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"6,862.29",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,BUILD MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,544,Jan-12
