Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,26/05/2011,Research Projects,Innovation Directorate,C Helmers,1,4500,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,18/05/2011,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L313606,4197.6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,18/05/2011,Computer Hardware,Business Support Directorate,Insight Direct (UK) Ltd,11089327,14838.66,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2011,ERNIC,International Policy Directorate,Acorn Recruitment Ltd,587174,839.16,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2011,ERNIC,International Policy Directorate,Acorn Recruitment Ltd,588068,850.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/05/2011,ERNIC,International Policy Directorate,Acorn Recruitment Ltd,586263,935.56,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/05/2011,Training,Business Support Directorate,Now You're Talking Business,807A,450,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,11/05/2011,Training,Business Support Directorate,Testing Solutions GroupLtd,1785,1999,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/05/2011,Training,Business Support Directorate,QA Ltd,ICE112196,2030,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2011,Training,Business Support Directorate,Sysop Ltd,7235,825,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/05/2011,Training,Business Support Directorate,Sysop Ltd,7267,825,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/05/2011,Training,Business Support Directorate,Sysop Ltd,7266,1061,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,20/05/2011,Training,SABIP,Earls Caterers Ltd,25168,93,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,25/05/2011,Training,Chief Executive's Office,Solace,3906,340,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-509,320,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-508,228,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,11/05/2011,Training,Innovation Directorate,G Kaiser,GK/2011-02,487.5,Not applicable
