Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Sum of Amount
Department of Health,Black Country Partnership NHS Foundation Trust,23-05-2013,RECHARGES,Premises & fixed plant,THE ROYAL WOLVERHAMPTON HOSPITAL,0010000261,445.57
Department of Health,Black Country Partnership NHS Foundation Trust,23-05-2013,RECHARGES,Premises & fixed plant,THE ROYAL WOLVERHAMPTON HOSPITAL,0010000261,35494.55
Department of Health,Black Country Partnership NHS Foundation Trust,16-05-2013,BUILDING OPERATING LEASE OTHER,Premises & fixed plant,REVELAN UK LIMITED,0030003152,69531.11
Department of Health,Black Country Partnership NHS Foundation Trust,09-05-2013,SOFTWARE SUPPORT,Premises & fixed plant,DATIX LTD,0030003370,25062.3
Department of Health,Black Country Partnership NHS Foundation Trust,16-05-2013,ADD-04-IT-DELTA POINT,Information Technology-Additio,OASIS MEDICAL SOLUTIONS LTD,0030005929,25690
Department of Health,Black Country Partnership NHS Foundation Trust,23-05-2013,RYHURST - ESTATE MANAGEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,0030006148,10782.94
Department of Health,Black Country Partnership NHS Foundation Trust,23-05-2013,RYHURST - MANAGEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,0030006148,64983.74
Department of Health,Black Country Partnership NHS Foundation Trust,23-05-2013,RYHURTS - CAPITAL REPLACEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,0030006148,8179.94
Department of Health,Black Country Partnership NHS Foundation Trust,16-05-2013,FACILITIES MANAGEMENT SERVICES,Premises & fixed plant,NORLAND MANAGED SERVICES LIMTED,0030006160,35230.81
Department of Health,Black Country Partnership NHS Foundation Trust,30-05-2013,FACILITIES MANAGEMENT SERVICES,Premises & fixed plant,NORLAND MANAGED SERVICES LIMTED,0030006582,40685.42
Department of Health,Black Country Partnership NHS Foundation Trust,23-05-2013,ADD-07-BDG-PENN PROJECT,Buildings Excluding Dwellings-,KIER CONSTRUCTION - CENTRAL,0040001966,476047.43
Department of Health,Black Country Partnership NHS Foundation Trust,23-05-2013,APPROVED SOCIAL WORKER,"Scientific, therapeutic & Tech",WOLVERHAMPTON CITY COUNCIL,0050000040,25642.5
