Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department For Transport,Department for Transport,06.12.2012,P&M Capital Cost,Air Accident Investigation Branch,MANTEC SYSTEMS LTD,2000018252,124486.24,#,NE28 9NZ
Department For Transport,Department for Transport,14.12.2012,Property Maintenance,Air Accident Investigation Branch,INTERSERVE,2000018974,590.59,#,BS32 4NH
Department For Transport,Department for Transport,18.12.2012,Property Maintenance,Air Accident Investigation Branch,BLACKWATER VALLEY SIGNS LTD T/A,2000019149,3748.8,#,GU14 6UU
Department For Transport,Department for Transport,18.12.2012,Property Maintenance,Air Accident Investigation Branch,BLACKWATER VALLEY SIGNS LTD T/A,2000019149,1474.8,#,GU14 6UU
Department For Transport,Department for Transport,14.12.2012,Security,Air Accident Investigation Branch,INTERSERVE,2000018974,2191.95,#,BS32 4NH
Department For Transport,Department for Transport,31.12.2012,Security,Air Accident Investigation Branch,SG WORLD LTD,2000019857,763,SG WORLD SECURITY LABELS X 2000,CW1 6ND
Department For Transport,Department for Transport,13.12.2012,Cars Fuel,Air Accident Investigation Branch,ALLSTAR BUSINESS SOLUTIONS LIMITED,2000018863,1186.97,#,SN5 6PS
Department For Transport,Department for Transport,11.12.2012,Computer equipment,Air Accident Investigation Branch,SOFTWARE BOX LTD,2000018468,10155.02,SBL MICROSOFT PROJECT X 12 COPIES,YO61 1ET
Department For Transport,Department for Transport,31.12.2012,Computer equipment,Air Accident Investigation Branch,Probrand Ltd,2000019850,4755.02,PROBRAND 2 X NETWGEAR PROSAFE NOT ETHOS,B1 3BP
Department For Transport,Department for Transport,04.12.2012,Computer equipment,Air Accident Investigation Branch,Probrand Ltd,2000017997,533.36,#,B1 3BP
Department For Transport,Department for Transport,10.12.2012,Storage & Distributi,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000018408,2288.68,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000018408,2198.2,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000018408,1872.39,#,NR3 1PD
Department For Transport,Department for Transport,06.12.2012,Prog&ProjMgmt Consul,Air Accident Investigation Branch,CAPITA SYMONDS LTD,2000018251,6462,#,SW1W 0AU
Department For Transport,Department for Transport,20.12.2012,Support Services,Air Accident Investigation Branch,TRANSPORT RESEARCH LABORATORY,2000019342,62400,#,RG40 3GA
Department For Transport,Department for Transport,04.12.2012,Support Services,Air Accident Investigation Branch,BASSOM COMPUTER CONSULTANCY,2000018001,1207.44,#,GU9 8LS
Department For Transport,Department for Transport,18.12.2012,Training,Air Accident Investigation Branch,OXFORD AVIATION ACADEMY UK LTD,2000019142,2200,#,RH10 2UH
Department For Transport,Department for Transport,21.12.2012,Training,Air Accident Investigation Branch,ELITE HELICOPTERS,2000019464,505.75,#,PO18 OPH
Department For Transport,Department for Transport,31.12.2012,Training,Air Accident Investigation Branch,HELI AIR LIMITED,2000019881,429,#,CV35 9EU
Department For Transport,Department for Transport,04.12.2012,Training,Air Accident Investigation Branch,HELI AIR LIMITED,2000018019,625,#,CV35 9EU
Department For Transport,Department for Transport,04.12.2012,Training,Air Accident Investigation Branch,HELI AIR LIMITED,2000018019,1276,#,CV35 9EU
Department For Transport,Department for Transport,31.12.2012,Computer equipment,Analysis/Science,SPECIALIST COMPUTER CENTRES PLC,2000019875,1459.33,#,B11 2LE
Department For Transport,Department for Transport,20.12.2012,Training,Analysis/Science,VOX COACHING LTD,2000019360,1650,#,BS6 9FY
Department For Transport,Department for Transport,27.12.2012,Non Stock Machine Co,Aviation,SUPPLIES TEAM,2000019564,77.02,3450977 ST HP LASER TONER CART 5500 YELL,S9 1XU
Department For Transport,Department for Transport,27.12.2012,Non Stock Machine Co,Aviation,SUPPLIES TEAM,2000019564,77.02,7061899 ST HP LASER TONER CART 5500 MAGE,S9 1XU
Department For Transport,Department for Transport,27.12.2012,Non Stock Machine Co,Aviation,SUPPLIES TEAM,2000019564,77.02,7185933 ST HP LASER TONER 5500 CART CYAN,S9 1XU
Department For Transport,Department for Transport,27.12.2012,Non Stock Machine Co,Aviation,SUPPLIES TEAM,2000019564,352.48,9004078 OKI B6300 LASER TONER/DRUM 11K Y,S9 1XU
Department For Transport,Department for Transport,21.12.2012,Research,Aviation,MANCHESTER METROPOLITAN UNIV,2000019439,51277,#,M1 5GD
Department For Transport,Department for Transport,21.12.2012,Research,Aviation,MANCHESTER METROPOLITAN UNIV,2000019439,44439,#,M1 5GD
Department For Transport,Department for Transport,07.12.2012,Support Services,Aviation,BAE SYSTEMS (AVIATION SERVICES)LTD,2000018318,17842.8,#,NP15 1XL
Department For Transport,Department for Transport,11.12.2012,Support Services,Aviation,CARDIFF INTNL AIRPORT LTD,2000018478,24210.6,#,CF62 3BD
Department For Transport,Department for Transport,19.12.2012,Support Services,Aviation,NEWCASTLE INTERNATIONAL AIRPORT LTD,2000019229,29632.8,#,NE13 8BZ
Department For Transport,Department for Transport,13.12.2012,Secondments,Aviation,FCO FOREIGN & COMMONWEALTH OFFICE,2000018884,4070.97,#,MK10 1PX
Department For Transport,Department for Transport,12.12.2012,Services prov by OGD,Aviation,CAA INTERNATIONAL LTD,2000018564,10320,#,RH6 0YR
Department For Transport,Department for Transport,17.12.2012,CurrGrtOth to NDPBs,Aviation,AIRPORT CO-ORDINATION LTD,2000019069,2153.46,ACL RECHARGES FOR OLYMPIC SPEND DEC 2012,UB3 5AN
Department For Transport,Department for Transport,13.12.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000018877,24805.2,#,L2 3YL
Department For Transport,Department for Transport,14.12.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000018970,14174.4,#,L2 3YL
Department For Transport,Department for Transport,17.12.2012,Transport Consult,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000019057,1405.71,#,EH4 1PU
Department For Transport,Department for Transport,10.12.2012,Transport Consult,Aviation,RED SCIENTIFIC LTD,2000018387,19240.3,#,GU34 2YT
Department For Transport,Department for Transport,13.12.2012,Transport Consult,Aviation,FRAZER-NASH CONSULTANCY LTD,2000018880,5156.36,#,RH4 1HJ
Department For Transport,Department for Transport,03.12.2012,CurrGrtOth to NDPBs,Aviation,HUMBERSIDE INTERNATIONAL AIRPORT,2000017920,2820,Humberside Interim Payment Nov 2012,DN39 6YH
Department For Transport,Department for Transport,31.12.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000019887,4464.14,#,MK10 1PX
Department For Transport,Department for Transport,31.12.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000019887,3706.06,#,MK10 1PX
Department For Transport,Department for Transport,17.12.2012,Training,Aviation Security ,Security Training Provider,2000019070,898.13,#,GU22 8BF
Department For Transport,Department for Transport,04.12.2012,Support Services,Aviation Security ,,2000018007,2157.6,#,
Department For Transport,Department for Transport,14.12.2012,Legal Consultancy,Aviation Security ,,2000018977,1128,#,
Department For Transport,Department for Transport,14.12.2012,Legal Consultancy,Aviation Security ,,2000018977,6000,#,
Department For Transport,Department for Transport,11.12.2012,OffEquip (Non-Cap),Business Transformation,AVAT LIMITED,2000018509,3681.6,#,RG26 5BH
Department For Transport,Department for Transport,20.12.2012,Printing,Business Transformation,WILLIAMS LEA LIMITED,2000019358,2815.32,#,NR3 1PD
Department For Transport,Department for Transport,04.12.2012,Training,Business Transformation,BEAVER SOLUTIONS,2000018002,552,#,SG12 9PZ
