Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health,Ministerial Department,Department of Health,116,110.06,305,293.88,695,670.02,654,628.69,169,164.76,,,1939,1867.41,160,159.91,,,340,333.71,17,15.83,517,509.45,2456,2376.86,"£6,788,661","£69,738","£505,207","£33,688","£1,406,015","£699,539","£9,502,847","£3,744,512","£715,757","£4,460,269","£13,963,116",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,320,300.04821,179,176.34594,1437,1394.8195,235,230.98378,63,61.8,0,0,2234,2163.99743,174,174,9,9,6,6,0,0,189,189,2423,2352.99743,7191311,63460,251,20567,902737,621820,8800146,1371998,35700,1407698,10207844,
Health & Social Care Information Centre,Special Health Authority,Department of Health,91,77,300,283,504,487,925,900,150,141,0,0,1970,1888,44,39,0,0,121,112.9,0,0,165,151.9,2135,2039.9,"£7,287,143","£80,297",0,"£10,744","£946,593","£661,530","£8,986,308","£929,083","£140,175","£1,069,258","£10,055,566",
Health Education England,Executive Non-Departmental Public Body,Department of Health,72,65.59,433,394.97,420,378.42,295,277.34,720,283.81,,,1940,1400.13,194.53,167.47,18.8,18.2,23,12.06,3.07,0.52,239.4,198.25,2179.4,1598.38,"£4,922,057","£381,892",,,"£639,323","£456,557","£6,399,829","£991,231","£49,975","£1,041,205","£7,441,034",
Health Research Authority,Special Health Authority,Department of Health,4,2.69,68,65.39,20,17.38,23,21.4,3,2.6,0,0,118,109.46,19,13.39,2,1.08,0,0,0,0,21,14.47,139,123.93,"£323,158",£0,£0,£845,"£38,003","£25,832","£387,838",45570.65,9053.3,"£54,624","£442,462",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,1,0.56,22,18.53,32,30.49,7,7,4,4,0,0,66,60.58,0,0,0,0,1,1,0,0,1,1,67,61.58,"£213,686",£313,0,£259,"£43,477","£22,298","£280,032",£0,£0,£0,"£280,032",The HFEA currently has 4 vacancies
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,8,8,22,21.4,8,8,5,4.23,0,0,45,43.63,0,0,0,0,0,0,0,0,0,0,45,43.63,171143.36,0,0,0,18575.14,16296.26,206014.76,0,0,0,206014.76,
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,118,113.94,201,193,437,422.6,322,313.1,158,143.4,0,0,1236,1186.04,31,30.25,0,0,7,4.9,0,0,38,35.15,1274,1221.19,"£4,284,578","£57,129",289679,"£33,743","£809,502","£447,985","£5,922,616","£122,288",£0,"£122,288","£6,044,904",
Monitor,Executive Non-Departmental Public Body,Department of Health,19,19,27,25.76,53,52.2,133,128.11,43,43,0,0,275,268.07,12,12,30,26,23,21,0,0,65,59,340,327.07,"£1,448,892",£0,£0,£0,"£302,355","£153,584","£1,904,831","£787,866","£873,550","£1,661,416","£3,566,247",
National Institute for Health and Care Excellence,Special Health Authority,Department of Health,6,4,87,74.85,214,198.55,179,168,55,48,2,2,543,495.4,6,5.27,0,0,42,40.1,0,0,48,45.37,591,540.77,"£1,825,436","£13,336",0,£0,"£236,468","£169,964","£2,245,203","£394,241",£0,"£394,241","£2,639,444",
