CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,4622,94.0%,295,6.0%
P01-Avon&Somerset,124,96.1%,5,3.9%
P02-Bedfordshire,27,100.0%,0,0.0%
P03-Cambridgeshire,38,100.0%,0,0.0%
P04-Cheshire,64,97.0%,2,3.0%
P06-Cleveland,94,96.9%,3,3.1%
P07-Cumbria,41,100.0%,0,0.0%
P08-Derbyshire,70,97.2%,2,2.8%
P09-Devon&Cornwall,100,90.9%,10,9.1%
P10-Dorset,42,95.5%,2,4.5%
P11-Durham,25,100.0%,0,0.0%
P12-DyfedPowys,66,98.5%,1,1.5%
P13-Essex,127,97.7%,3,2.3%
P14-Gloucestershire,25,96.2%,1,3.8%
P15-GreaterManchester,312,97.5%,8,2.5%
P16-Gwent,66,98.5%,1,1.5%
P17-Hampshire,101,89.4%,12,10.6%
P18-Hertfordshire,117,97.5%,3,2.5%
P19-Humberside,58,93.5%,4,6.5%
P20-Kent,112,93.3%,8,6.7%
P21-Lancashire,112,91.1%,11,8.9%
P22-Leicestershire,48,92.3%,4,7.7%
P23-Lincolnshire,26,92.9%,2,7.1%
P24-Merseyside,359,88.2%,48,11.8%
P25-Metropolitan&City,963,93.1%,71,6.9%
P26-Norfolk,34,85.0%,6,15.0%
P27-Northamptonshire,30,100.0%,0,0.0%
P28-Northumbria,191,96.5%,7,3.5%
P29-NorthWales,43,97.7%,1,2.3%
P30-NorthYorkshire,38,95.0%,2,5.0%
P31-Nottinghamshire,98,99.0%,1,1.0%
P32-SouthWales,139,94.6%,8,5.4%
P33-SouthYorkshire,83,94.3%,5,5.7%
P34-Staffordshire,49,94.2%,3,5.8%
P35-Suffolk,42,100.0%,0,0.0%
P36-Surrey,54,94.7%,3,5.3%
P37-Sussex,98,97.0%,3,3.0%
P38-ThamesValley,154,93.3%,11,6.7%
P39-Warwickshire,19,100.0%,0,0.0%
P40-WestMercia,46,93.9%,3,6.1%
P41-WestMidlands,230,93.9%,15,6.1%
P42-WestYorkshire,125,83.9%,24,16.1%
P43-Wiltshire,32,94.1%,2,5.9%
