CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,2647,86.5%,414,13.5%
P01-Avon&Somerset,76,87.4%,11,12.6%
P02-Bedfordshire,23,95.8%,1,4.2%
P03-Cambridgeshire,36,90.0%,4,10.0%
P04-Cheshire,50,86.2%,8,13.8%
P06-Cleveland,47,83.9%,9,16.1%
P07-Cumbria,41,93.2%,3,6.8%
P08-Derbyshire,59,86.8%,9,13.2%
P09-Devon&Cornwall,87,89.7%,10,10.3%
P10-Dorset,31,86.1%,5,13.9%
P11-Durham,36,94.7%,2,5.3%
P12-DyfedPowys,18,72.0%,7,28.0%
P13-Essex,84,83.2%,17,16.8%
P14-Gloucestershire,11,91.7%,1,8.3%
P15-GreaterManchester,171,87.7%,24,12.3%
P16-Gwent,35,81.4%,8,18.6%
P17-Hampshire,111,87.4%,16,12.6%
P18-Hertfordshire,56,86.2%,9,13.8%
P19-Humberside,58,98.3%,1,1.7%
P20-Kent,75,90.4%,8,9.6%
P21-Lancashire,131,81.4%,30,18.6%
P22-Leicestershire,32,97.0%,1,3.0%
P23-Lincolnshire,29,85.3%,5,14.7%
P24-Merseyside,79,90.8%,8,9.2%
P25-Metropolitan&City,304,83.1%,62,16.9%
P26-Norfolk,32,80.0%,8,20.0%
P27-Northamptonshire,26,86.7%,4,13.3%
P28-Northumbria,87,91.6%,8,8.4%
P29-NorthWales,31,83.8%,6,16.2%
P30-NorthYorkshire,55,90.2%,6,9.8%
P31-Nottinghamshire,72,87.8%,10,12.2%
P32-SouthWales,81,89.0%,10,11.0%
P33-SouthYorkshire,60,88.2%,8,11.8%
P34-Staffordshire,41,78.8%,11,21.2%
P35-Suffolk,29,87.9%,4,12.1%
P36-Surrey,31,93.9%,2,6.1%
P37-Sussex,64,81.0%,15,19.0%
P38-ThamesValley,58,82.9%,12,17.1%
P39-Warwickshire,13,86.7%,2,13.3%
P40-WestMercia,44,91.7%,4,8.3%
P41-WestMidlands,117,89.3%,14,10.7%
P42-WestYorkshire,103,78.6%,28,21.4%
P43-Wiltshire,23,88.5%,3,11.5%
