CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,12000,91.6%,1107,8.4%
P01-Avon&Somerset,371,92.5%,30,7.5%
P02-Bedfordshire,135,97.1%,4,2.9%
P03-Cambridgeshire,136,89.5%,16,10.5%
P04-Cheshire,187,96.4%,7,3.6%
P06-Cleveland,275,93.9%,18,6.1%
P07-Cumbria,122,89.7%,14,10.3%
P08-Derbyshire,215,92.3%,18,7.7%
P09-Devon&Cornwall,197,92.9%,15,7.1%
P10-Dorset,116,93.5%,8,6.5%
P11-Durham,134,95.7%,6,4.3%
P12-DyfedPowys,72,84.7%,13,15.3%
P13-Essex,375,95.2%,19,4.8%
P14-Gloucestershire,84,93.3%,6,6.7%
P15-GreaterManchester,688,89.8%,78,10.2%
P16-Gwent,240,92.7%,19,7.3%
P17-Hampshire,392,88.9%,49,11.1%
P18-Hertfordshire,188,92.2%,16,7.8%
P19-Humberside,307,92.5%,25,7.5%
P20-Kent,371,88.5%,48,11.5%
P21-Lancashire,446,91.2%,43,8.8%
P22-Leicestershire,182,95.3%,9,4.7%
P23-Lincolnshire,129,94.2%,8,5.8%
P24-Merseyside,281,83.4%,56,16.6%
P25-Metropolitan&City,1597,88.9%,200,11.1%
P26-Norfolk,180,94.2%,11,5.8%
P27-Northamptonshire,125,92.6%,10,7.4%
P28-Northumbria,524,94.6%,30,5.4%
P29-NorthWales,144,94.7%,8,5.3%
P30-NorthYorkshire,158,88.3%,21,11.7%
P31-Nottinghamshire,259,89.9%,29,10.1%
P32-SouthWales,327,93.7%,22,6.3%
P33-SouthYorkshire,391,95.8%,17,4.2%
P34-Staffordshire,197,89.5%,23,10.5%
P35-Suffolk,135,97.8%,3,2.2%
P36-Surrey,137,93.2%,10,6.8%
P37-Sussex,319,93.0%,24,7.0%
P38-ThamesValley,343,91.7%,31,8.3%
P39-Warwickshire,35,97.2%,1,2.8%
P40-WestMercia,192,95.0%,10,5.0%
P41-WestMidlands,585,92.0%,51,8.0%
P42-WestYorkshire,617,89.4%,73,10.6%
P43-Wiltshire,92,92.0%,8,8.0%
