CPS outcomes by principal offence category cambridgeshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,119,81.0%,28,19.0%
C Sexual Offences,8,88.9%,1,11.1%
D Burglary,16,88.9%,2,11.1%
E Robbery,7,100.0%,0,0.0%
F Theft And Handling,152,93.3%,11,6.7%
G Fraud And Forgery,8,100.0%,0,0.0%
H Criminal Damage,36,75.0%,12,25.0%
I Drugs Offences,48,90.6%,5,9.4%
J Public Order Offences,77,82.8%,16,17.2%
K All Other Offences (excluding Motoring),19,90.5%,2,9.5%
L Motoring Offences,207,93.2%,15,6.8%
Admin Finalisations,0,0.0%,11,100.0%
TOTAL,697,87.1%,103,12.9%
