Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,THEATRES,28-Nov-2014,MED SURG EQPT GENERAL,THEATRES,AMERICAN MEDICAL SYSTEMS U K LTD,14001916,"20,000.00"
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,THEATRES,28-Nov-2014,MED SURG EQPT GENERAL,THEATRES,AMERICAN MEDICAL SYSTEMS U K LTD,14001916,"21,000.00"
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,THEATRES,28-Nov-2014,MED SURG EQPT GENERAL,THEATRES,AMERICAN MEDICAL SYSTEMS U K LTD,14001916,"4,000.00"
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,THEATRES,28-Nov-2014,MED SURG EQPT GENERAL,THEATRES,AMERICAN MEDICAL SYSTEMS U K LTD,14001916,"4,200.00"
AIREDALE NHS FOUNDATION TRUST,CENTRAL INCOME,RESERVES AND PROVISIONS TECHNICAL,21-Nov-2014,RENT,RESERVES AND PROVISIONS TECHNICAL,COMMUNITY HEALTH PARTNERSHIPS,50370311,"56,799.50"
AIREDALE NHS FOUNDATION TRUST,CENTRAL INCOME,RESERVES AND PROVISIONS TECHNICAL,28-Nov-2014,RENT,RESERVES AND PROVISIONS TECHNICAL,COMMUNITY HEALTH PARTNERSHIPS,50371798,"56,799.50"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,28-Nov-2014,GAS,UTILITIES,CORONA ENERGY LTD,9729364,"1,018.47"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,28-Nov-2014,GAS,UTILITIES,CORONA ENERGY LTD,9729364,"57,594.34"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,28-Nov-2014,GAS,UTILITIES,CORONA ENERGY LTD,9729364,"11,518.87"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,28-Nov-2014,GAS,UTILITIES,CORONA ENERGY LTD,9729364,50.92
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,28-Nov-2014,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18761/08,"21,968.83"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,28-Nov-2014,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18761/08,"4,393.77"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,28-Nov-2014,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18761/08,"-4,393.77"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,14-Nov-2014,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18884/09,"21,968.83"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,14-Nov-2014,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18884/09,"4,393.77"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,14-Nov-2014,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18884/09,"-4,393.77"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1319/1774,"19,284.09"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1319/1774,"4,821.03"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1319/1774,"24,105.12"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1319/1774,"-24,105.12"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1319/1774,964.21
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1319/1774,"3,856.82"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1319/1774,-964.21
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1319/1774,-0.01
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,28-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1405/1773,"26,552.09"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,28-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1405/1773,"5,310.42"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,28-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1405/1773,-0.01
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1406/1775,"14,681.40"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1406/1775,"58,725.60"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1406/1775,"2,936.28"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,21-Nov-2014,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1406/1775,"11,745.12"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,28-Nov-2014,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1412/1789,"29,709.31"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,28-Nov-2014,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1412/1789,"5,941.86"
