Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,LIFELINE PROJECT LTD,3544,"64,674.61",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/24/12,DATA LINES,CENTRAL FINANCE,BT GLOBAL SERVICES,790066704,"34,925.90",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/17/12,ADDITIONS - INFORMATION TECHNOLOGY,ASSETS,SECURE ADVICE LTD,8000776,"40,645.62",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/16/12,RENT,CENTRAL FINANCE,NEW CROFT HOUSE LTD,104,"187,440.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/24/12,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,SEARCH PROJECT AND WEST END HEALTH AND OLDER PEOPLE,12012-2013,"25,937.50",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,123110,"150,750.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,CYRENIANS,1244,"43,980.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,SERVICES FROM PCTS,CENTRAL FINANCE,SUNDERLAND TEACHING PCT,13880,"129,541.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"853,640.12",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"120,644.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/17/12,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"241,795.72",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/24/12,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"254,186.82",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE FROM LOCAL AUTHORITIES,CENTRAL FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"76,353.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"198,215.12",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/24/12,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"226,696.95",
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/20/12,B8A SENIOR MGRS,CENTRAL FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"32,846.75"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/24/12,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"40,390.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80001E+12,"369,702.20"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/27/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,193794,"34,891.44"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE - OTHER NHS BODIES,CONTRACTING FINANCE,DEPARTMENT OF HEALTH,206915,"175,968.24"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/13/12,ADDITIONS - INFORMATION TECHNOLOGY,ASSETS,TRUSTMARQUE SOLUTIONS LTD,2168190,"66,597.93"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/20/12,IM&T - MAINTENANCE,CENTRAL FINANCE,EMIS,216976,"55,298.52"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,ST OSWALDS HOSPICE,2360,"49,380.18"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,DESIGN COSTS,CENTRAL FINANCE,EXPLAIN MARKET RESEARCH LTD,2457,"56,513.59"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,GLOBAL SUM,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,31,"25,400.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,ENHANCED SERVICES - LES,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,31,"6,800.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/04/2012,QUALITY ASPIRATION,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,31,"3,700.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,34125,"637,423.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,34196,"141,406.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/20/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,34220,"64,457.15"
