Section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1, Global communications revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telecoms,749,791,838,870,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Television,176,189,204,210,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,29,30,31,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,954,1010,1074,1110,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom analysis based on data taken from PricewaterhouseCoopers Global Entertainment and Media Outlook 2010-2014 @ www.pwc.com/outlook for television and radio. IDATE / industry data / Ofcom for US and UK TV revenues and all telecoms revenues. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Net TV advertising revenues for Russia have been calculated by discounting 15% of TV advertising spending to remove agency fees and production costs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures rounded to nearest £bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.2,"Source of global revenues for telecoms, radio and TV services  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription,821,873,931,968,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advertising,107,112,116,116,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public licence fee,25,25,26,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,954,1010,1074,1110,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom analysis based on data taken from PricewaterhouseCoopers Global Entertainment and Media Outlook 2010-2014 @ www.pwc.com/outlook for television and radio. IDATE / industry data / Ofcom for US and UK TV revenues and all telecoms revenues. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Net TV advertising revenues for Russia have been calculated by discounting 15% of TV advertising spending to remove agency fees and production costs.  All telecoms revenues have been allocated as subscription revenues. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures rounded to nearest £bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.3,Communications sector revenues in 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,10.3,4,0.1,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,16.4,2.8,0.2,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,30,8,0.3,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,5.9,2.1,0.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,2.4,0.9,0.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,3.9,1.4,0.3,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,8.7,2.3,0.4,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
