Energy and nutrient intakes derived from food & drink eaten out by the age the household reference person left full-time education Average per person per day (a) Aged 14 and under,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,137,150,139,125,131,131,184,280,251,218,287,256,247
,9,,,MJ,0.6,0.6,0.6,0.5,0.5,0.5,0.8,1.2,1.1,0.9,1.2,1.1,1.0
,8,Energy from all sources excluding alcohol,,kcal,120,132,122,111,117,118,170,264,230,207,274,248,240
,1,Protein,,g,4.5,5.1,4.7,4.5,4.6,4.8,6.6,10.4,9.4,8.3,11.3,10.0,9.4
,3,Fat,,g,6,6,6,5,6,6,7,13,11,10,14,12,12
,4,Fatty acids:,Saturates,g,1.8,2.0,1.8,1.7,1.8,1.8,2.0,3.9,3.3,3.1,4.1,3.7,3.5
,5,Fatty acids:,Mono-unsaturates,g,2.3,2.5,2.4,2.2,2.3,2.3,3.1,5.6,4.9,4.4,5.9,5.2,5.3
,6,Fatty acids:,Poly-unsaturates,g,1.1,1.2,1.1,1.0,1.1,1.1,1.6,2.7,2.4,2.2,2.9,2.6,2.6
,47,Cholesterol,,mg,19,21,21,19,20,19,24,45,37,34,45,41,40
,7,Carbohydrate (b),,g,14,15,14,12,13,13,21,28,24,21,28,26,25
,31,,Total sugars,g,6,6,6,5,5,5,5,10,8,7,8,8,7
,32,,Non-milk extrinsic sugars,g,5,5,5,4,4,3,4,7,5,5,5,6,5
,24,,Starch,g,8,9,8,8,8,8,15,18,16,14,20,18,18
,35,Fibre (c),,g,0.8,0.9,0.9,0.8,0.8,0.9,1.3,2.0,1.9,1.7,2.2,2.0,2.0
,33,Alcohol,,g,2.5,2.5,2.4,2.0,2.0,1.8,1.9,2.3,3.0,1.5,1.9,1.0,1.1
,10,Calcium,,mg,37,42,38,34,37,38,57,73,69,64,87,75,66
,11,Iron,,mg,0.6,0.6,0.6,0.6,0.6,0.6,1.0,1.3,1.2,1.1,1.5,1.3,1.2
,39,Zinc,,mg,0.5,0.6,0.6,0.5,0.5,0.6,0.7,1.2,1.1,1.0,1.3,1.2,1.1
,37,Magnesium,,mg,17,19,17,16,16,16,21,32,31,26,34,31,29
,23,Sodium (d),,g,0.15,0.17,0.16,0.14,0.15,0.16,0.25,0.36,0.31,0.28,0.39,0.35,0.33
,36,Potassium,,g,0.21,0.23,0.21,0.20,0.20,0.20,0.24,0.44,0.41,0.35,0.46,0.41,0.41
,15,Thiamin,,mg,0.10,0.11,0.10,0.10,0.10,0.11,0.14,0.25,0.23,0.20,0.28,0.24,0.24
,16,Riboflavin,,mg,0.09,0.10,0.09,0.08,0.09,0.09,0.10,0.17,0.16,0.14,0.19,0.16,0.14
,19,Niacin Equivalent,,mg,2.5,2.7,2.5,2.4,2.4,2.5,3.3,5.0,4.6,3.9,5.2,4.6,4.4
,40,Vitamin B6,,mg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.3,0.4,0.4,0.4
,41,Vitamin B12,,?g,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.7,0.7,0.5,0.7,0.6,0.6
,22,Folate,,?g,24,26,24,23,23,23,29,50,48,39,52,45,45
,20,Vitamin C,,mg,5,5,4,5,5,5,5,11,11,9,11,11,10
,12,Vitamin A:,Retinol,?g,29,29,35,29,36,36,24,55,51,40,55,47,46
,13,Vitamin A:,Carotene,?g,242,238,203,214,194,214,226,498,475,418,532,476,464
,14,Vitamin A:,Retinol equivalent,?g,70,69,69,65,68,72,61,137,130,109,143,127,123
,21,Vitamin D,,?g,0.17,0.18,0.18,0.16,0.18,0.17,0.19,0.37,0.30,0.27,0.36,0.34,0.34
,46,Vitamin E,,mg,0.77,0.87,0.79,0.70,0.77,0.80,1.01,1.89,1.62,1.48,1.96,1.80,1.77
Energy and nutrient intakes derived from food & drink eaten out by the age the household reference person left full-time education Average per person per day (a) Aged 15,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
