CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,930,81.4%,213,18.6%
P01-Avon&Somerset,20,83.3%,4,16.7%
P02-Bedfordshire,7,63.6%,4,36.4%
P03-Cambridgeshire,9,100.0%,0,0.0%
P04-Cheshire,4,100.0%,0,0.0%
P06-Cleveland,13,86.7%,2,13.3%
P07-Cumbria,5,71.4%,2,28.6%
P08-Derbyshire,4,57.1%,3,42.9%
P09-Devon&Cornwall,7,87.5%,1,12.5%
P10-Dorset,3,75.0%,1,25.0%
P11-Durham,4,100.0%,0,0.0%
P12-DyfedPowys,6,66.7%,3,33.3%
P13-Essex,19,100.0%,0,0.0%
P14-Gloucestershire,3,100.0%,0,0.0%
P15-GreaterManchester,41,77.4%,12,22.6%
P16-Gwent,5,83.3%,1,16.7%
P17-Hampshire,17,63.0%,10,37.0%
P18-Hertfordshire,12,85.7%,2,14.3%
P19-Humberside,11,100.0%,0,0.0%
P20-Kent,4,100.0%,0,0.0%
P21-Lancashire,27,73.0%,10,27.0%
P22-Leicestershire,9,81.8%,2,18.2%
P23-Lincolnshire,3,100.0%,0,0.0%
P24-Merseyside,15,83.3%,3,16.7%
P25-Metropolitan&City,374,78.4%,103,21.6%
P26-Norfolk,7,77.8%,2,22.2%
P27-Northamptonshire,4,57.1%,3,42.9%
P28-Northumbria,5,83.3%,1,16.7%
P29-NorthWales,8,80.0%,2,20.0%
P30-NorthYorkshire,6,100.0%,0,0.0%
P31-Nottinghamshire,18,85.7%,3,14.3%
P32-SouthWales,25,89.3%,3,10.7%
P33-SouthYorkshire,21,91.3%,2,8.7%
P34-Staffordshire,9,75.0%,3,25.0%
P35-Suffolk,4,80.0%,1,20.0%
P36-Surrey,3,100.0%,0,0.0%
P37-Sussex,14,100.0%,0,0.0%
P38-ThamesValley,24,66.7%,12,33.3%
P39-Warwickshire,1,50.0%,1,50.0%
P40-WestMercia,5,100.0%,0,0.0%
P41-WestMidlands,102,90.3%,11,9.7%
P42-WestYorkshire,48,88.9%,6,11.1%
P43-Wiltshire,4,100.0%,0,0.0%
