A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 01/11/2013 15:28:20,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,1555698,"-28,490.80",,HT000004268,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,1555700,"55,110.48",,HT000004269,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,1344576,"31,838.50",,8401300,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,1382200,"2,031,891.00",,I0061113,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,1512191,"292,332.00",,163208,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1531832,"50,752.00",,59772,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,1411409,"25,942.00",,I0129572,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1324211,"33,638.42",,17407,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1473908,"57,733.18",,19899,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1473914,"47,305.48",,19900,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,1555713,"-35,833.96",,HT000004275,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,1555715,"78,570.45",,HT000004276,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1382210,"805,992.15",,70010146,
