IMCR-4.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key radio metrics: 2012,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom, Pricewaterhouse Coopers. All figures are nominal.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,UK ,FRA ,GER ,ITA ,USA ,CAN ,JPN ,AUS ,ESP ,NED ,SWE ,IRL ,POL ,BRA ,RUS ,IND ,CHN 
Total industry revenue (£bn) ,1.2,1,2.8,0.4,12.1,1.2,1,0.7,0.4,0.2,0.1,0.1,0.1,0.4,0.3,0.2,1.2
"Revenue change (%, YOY) ",2.8,-0.5,-0.4,-8.2,3.6,3.1,-1.4,0.5,-9.9,-1.9,1.6,-4.2,-2.7,6.7,9.3,17.3,11.9
Revenues per capita (£) ,18.9,15.9,34.9,6.6,38.3,35.3,7.7,31.5,8.2,14,13.2,21.3,3,2,1.9,0.2,0.9
% income from public licence fees ,60.4,38.9,79.3,20.9,n/a ,n/a ,5.1,n/a ,n/a ,18.9,37.4,22.5,4.4,n/a ,n/a ,n/a ,n/a 
,,,,,,,,,,,,,,,,,
IMCR-4.02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 4.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total radio revenues for the 17 comparator countries,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PricewaterhouseCoopers Global Entertainment and Media Outlook 2013-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility. Ofcom has used an exchange rate of $1.580 to the GBP, representing the IMF average for 2012. Note that the UK radio industry figure is sourced from broadcaster returns made to Ofcom.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Column1,Advertising revenue,Public radio licence fees,Satellite radio subscription,Total,,,,,,,,,,,,,
2008,19.27824771,3.546626988,1.505063291,24.32993799,,,,,,,,,,,,,
2009,16.75902282,3.595945626,1.568987342,21.92395579,,,,,,,,,,,,,
2010,17.12917799,3.621178965,1.656329114,22.40668607,,,,,,,,,,,,,
2011,17.49457865,3.638911392,1.793670886,22.92716093,,,,,,,,,,,,,
2012,17.84921519,3.626063291,2.033544304,23.50882278,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
