1 Total Gross Public Expenditure on Development 2005/06 - 2009/10,,,,,,,
,,,,,,,
,,,,, £ thousand ,,
,,,,,,,
,2005/06,2006/07,2007/08,2008/09,2009/10 2,,
,,,,,,,
,,,,,,,
Total GPEX,,,,,,,
,,,,,,,
Total Bilateral GPEX, 4 569 523 , 5 124 082 , 3 517 389 ,4 333 951 ,4 765 735 ,,
,,,,,,,
Total Multilateral GPEX, 1 915 506 , 2 222 010 , 2 246 995 , 2 600 365 , 2 748 766 ,,
         Of whichTotal Multilateral European Commission,1 191 961 ,1 123 215 ,1 200 319 ,1 407 901 ,1 424 089 ,,
                       Total Multilateral World Bank, 364 909 , 493 333 , 493 387 , 573 652 , 559 785 ,,
                       Total Multilateral UN Agencies, 252 745 , 245 019 , 296 940 , 308 154 , 278 619 ,,
                       Total Multilateral Other Organisations, 105 892 , 360 443 , 256 348 , 310 659 , 486 273 ,,
,,,,, ,,
Total Admin,  256 451 ,  245 893 ,  262 731 , 249 000 , 252 101 ,,
,,,,,,,
TOTAL GPEX ON DEVELOPMENT, 6 741 480 , 7 591 985 , 6 027 115 , 7 183 316 , 7 766 602 ,,
,,,,,,,
,,,,,,,
of which: DFID Programme,,,,,,,
,,,,,,,
DFID Bilateral Programme, 2 650 234 , 2 778 516 , 2 957 909 ,3 283 996 , 3 958 263,,
,,,,,,,
DFID Multilateral Programme, 1 634 568 , 2 010 821 , 1 990 184 ,2 277 358 , 2 436 338 ,,
,,,,,,,
DFID Admin,  237 008 ,  234 468 ,  247 683 , 237 899 , 234 398 ,,
,,,,,,,
TOTAL DFID PROGRAMME1, 4 521 810 , 5 023 805 , 5 195 776 , 5 799 253 , 6 628 999 ,,
,,,,,,,
"1. In this edition of SID, pensions have been moved from the DFID programme to non-DFID expenditure (see Table 2). This change has been applied retrospectively. The means that the breakdown of GPEX is now consistent with the classification of spending under DEL agreed with the Treasury.",,,,,,,
,,,,,,,
,,,,,,,
2. Section 2 shows a reconcilation of 2009/10 GPEX to 2009/10 ODA. ,,,,,,,
