Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Black Country Partnership NHS Foundation Trust,03/11/2011,Consultancy Servs,Consultancy,AD ESSE CONSULTING L,INV93048," 29,505.20 "
Department of Health,Black Country Partnership NHS Foundation Trust,11/11/2011,Contract Catering,Supplies and services - general ,BLACK COUNTRY PPP HE,INV93323," 141,007.24 "
Department of Health,Black Country Partnership NHS Foundation Trust,11/11/2011,Recharges,Miscellaneous,DUDLEY PCT,INV92707," 257,147.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,18/11/2011,LD Drugs - FP10,Drug Costs,NHS BUSINESS SERVICE,INV93052," 50,139.52 "
Department of Health,Black Country Partnership NHS Foundation Trust,18/11/2011,Estates Contract,Premises,WALSALL PCT,INV88354," 60,970.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,18/11/2011,Estates Contract,Premises,WALSALL PCT,INV90645," 30,485.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,18/11/2011,Estates Contract,Premises,WALSALL PCT,INV90646," 30,485.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,18/11/2011,Estates Contract,Premises,WALSALL PCT,INV90787," 30,485.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,18/11/2011,Estates Contract,Premises,WALSALL PCT,INV92211," 30,485.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,18/11/2011,Estates Contract,Premises,WALSALL PCT,INV93902," 27,650.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,24/11/2011,Stock  ,Miscellaneous,DUDLEY PCT,INV93248," 28,387.07 "
Department of Health,Black Country Partnership NHS Foundation Trust,24/11/2011,User Licences-Other,Premises,STRAND TECHNOLOGY LT,INV94089," 71,700.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,24/11/2011,Recharges,Miscellaneous,THE ROYAL WOLVERHAMP,INV93174," 35,201.34 "
