CPS outcomes by principal offence category gloucestershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,82,80.6%,15,19.4%
C Sexual Offences,5,60.0%,2,40.0%
D Burglary,15,90.9%,6,9.1%
E Robbery,3,100.0%,1,0.0%
F Theft And Handling,67,92.7%,8,7.3%
G Fraud And Forgery,7,85.7%,0,14.3%
H Criminal Damage,8,94.7%,1,5.3%
I Drugs Offences,33,93.3%,1,6.7%
J Public Order Offences,26,84.2%,2,15.8%
K All Other Offences (excluding Motoring),10,81.8%,0,18.2%
L Motoring Offences,153,92.3%,12,7.7%
Admin Finalisations,0,0.0%,3,100.0%
TOTAL,409,88.9%,51,11.1%
