Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,08/05/2014,IT Maintenance & Support - Software,Technology & Preservation,OPTICHROME COMPUTER SYSTEMS,105453,"20,646.60",Maint & Support - Optimus,GU21  5HX,,C300,,Administration
The National Archives,The National Archives,08/05/2014,Accomodation charge: rates,Finance & Corporate Services,LONDON BOROUGH OF RICHMOND UPON THAMES,105491,"175,700.00",LB of Richmond Rates Apr 14,TW1 3BZ,,,,Programme
The National Archives,The National Archives,08/05/2014,Accomodation charge: rates,Finance & Corporate Services,LONDON BOROUGH OF RICHMOND UPON THAMES,105513,"175,700.00",LB of Richmond Rates May 14,TW1 3BZ,,,,Programme
The National Archives,The National Archives,16/05/2014,Records Storage Space Rental,Public Services,DEEPSTORE LTD,105576,"28,560.09",Record storage space,CW7 2PA,,,,Programme
The National Archives,The National Archives,16/05/2014,Electricity,Finance & Corporate Services,EDF ENERGY,105584,"59,916.01",Energy bill ,PL3 5XQ,,,,Programme
The National Archives,The National Archives,16/05/2014,IT hardware Additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,105635,"12,453.20",Building work re Coll Care at Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,16/05/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,105651,"15,767.52",Pond works at Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,16/05/2014,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,105653,"19,828.81",Building work re radio system at Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,16/05/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,105701,"10,164.47",Fire stopping project at Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,16/05/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,105703,"10,844.92",Emergency lighting work at Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,16/05/2014,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,105713,"207,489.19",Building work - Cooling Towers,BN1 1HG,,,,Programme
The National Archives,The National Archives,16/05/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,105717,"18,525.54",Building work - redecoration,BN1 1HG,,,,Programme
The National Archives,The National Archives,16/05/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,105719,"26,853.20",Building work at Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,16/05/2014,Record Copyin: Store purchases,Document Services,PARK COMMUNICATIONS LIMITED,105769,"12,384.00",Publication costs for 'April 2014',E6  6LA,,,,Programme
The National Archives,The National Archives,16/05/2014,Govt Procurement Card (GPC) purchases,Finance & Corporate Services,ROYAL BANK OF SCOTLAND PLC,105835,"29,188.22",Monthly Govt procurement card bill,SS99 6YY,,CM416,,Administration
The National Archives,The National Archives,22/05/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,105925,"16,500.00",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,22/05/2014,Minor IT,Technology & Preservation,SOFTCAT LIMITED,105936,"15,034.05",Minor IT purchases,SL7 1TB,,,,Administration
,,,,,,,,,,,,,
