Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling,
Communities & Local Government,VTS,06/10/2015,Agency Staff,Human Resources,REED SPECIALIST RECRUITMENT LTD,2100110306,687.30,
Communities & Local Government,VTS,06/10/2015,Agency Staff,Human Resources,REED SPECIALIST RECRUITMENT LTD,2100110307,682.56,
Communities & Local Government,VTS,06/10/2015,Domestic Services,Estates,SERVICEMASTER,2100110313,952.80,
Communities & Local Government,VTS,06/10/2015,Communication Telecom Costs,Information Technology,BT PAYMENT SERVICES LTD,2100110322,"1,815.17",
Communities & Local Government,VTS,06/10/2015,IT Maintenance,Information Technology,COA SOLUTIONS LTD,2100110324,"1,393.26",
Communities & Local Government,VTS,06/10/2015,Insurance,Estates ,TRAFCOURT PROPERTIES LTD,2100110325,"1,743.70",
Communities & Local Government,VTS,06/10/2015,Financial Loss Allowance (NCS),Operational,NON STAFF EXPENSES,2100110329,93.27,
Communities & Local Government,VTS,06/10/2015,Financial Loss Allowance (NCS),Operational,NON STAFF EXPENSES,2100110329,93.27,
Communities & Local Government,VTS,06/10/2015,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100110329,37.50,
Communities & Local Government,VTS,06/10/2015,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100110329,120.00,
Communities & Local Government,VTS,06/10/2015,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100110329,10.38,
Communities & Local Government,VTS,06/10/2015,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100110329,1.90,
Communities & Local Government,VTS,06/10/2015,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100110329,12.00,
Communities & Local Government,VTS,09/10/2015,Financial Loss Allowance (NCS),Operational,NON STAFF EXPENSES,2100110338,58.29,
Communities & Local Government,VTS,09/10/2015,Financial Loss Allowance (NCS),Operational,NON STAFF EXPENSES,2100110338,116.58,
Communities & Local Government,VTS,09/10/2015,Financial Loss Allowance (NCS),Operational,NON STAFF EXPENSES,2100110338,116.58,
Communities & Local Government,VTS,09/10/2015,Financial Loss Allowance (NCS),Operational,NON STAFF EXPENSES,2100110338,116.58,
Communities & Local Government,VTS,09/10/2015,Financial Loss Allowance (NCS),Operational,NON STAFF EXPENSES,2100110338,116.58,
