Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2554,Glass Skip,01/12/2011,0000163549,2010.25,Revenue,Recresco,06071
Rushmoor Borough Council,Community,2546,CCTV Transmission,15/12/2011,0000163985,4827.00,Revenue,Virgin Media  Business,01577
Rushmoor Borough Council,Information Technology,3304,Network Hardware,08/12/2011,0000164235,658.00,Revenue,Vohkus Limited,05976
Rushmoor Borough Council,Customer Services,3814,Clothes and Uniform,15/12/2011,0000164790,594.27,Revenue,Arco,06118
Rushmoor Borough Council,Information Technology,3304,Computer Consumables,01/12/2011,0000164987,561.20,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,2537,External Printing,08/12/2011,0000165089,1125.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Environmental Health and Housing,6400,Housing Renewal Grants,22/12/2011,0000165140,-3400.00,Capital,Parity Trust,10182
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,01/12/2011,0000165215,700.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Community,2540,Remedial Highways,15/12/2011,0000165221,1990.00,Revenue,Count On Us,11797
Rushmoor Borough Council,Community,2546,Equipment Maintenance,15/12/2011,0000165228,2896.50,Revenue,Chroma Vision Ltd,10402
Rushmoor Borough Council,Democratic Services,1323,Postages,01/12/2011,0000165270,2495.58,Revenue,Dx Network Services Limited,00441
Rushmoor Borough Council,Information Technology,3304,Microsoft Enterprise Agreement,08/12/2011,0000165396,49275.00,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,2551,Replacement Commemorative Roses,01/12/2011,0000165638,552.70,Revenue,Henry Street,00447
Rushmoor Borough Council,Community,2518,Payment to Artistes,15/12/2011,0000165701,3634.23,Revenue,Stage Electrics,07262
Rushmoor Borough Council,Community,2518,Stage Equipment,15/12/2011,0000165716,572.00,Revenue,Lighting Partners Ltd,10537
Rushmoor Borough Council,Community,2543,Aldershot Promotions,15/12/2011,0000165720,1791.60,Revenue,Swam Ltd,11926
Rushmoor Borough Council,Community,2553,Payment to Contractor,08/12/2011,0000165759,102301.52,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,08/12/2011,0000165759,717.55,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,08/12/2011,0000165759,59422.45,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Car Parks,08/12/2011,0000165760,7039.83,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Highways,08/12/2011,0000165760,63878.40,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Parks,08/12/2011,0000165760,9206.50,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2555,Payment to Contractor,08/12/2011,0000165761,13513.87,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Payment to Contractor,08/12/2011,0000165762,727.80,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Contract Variations Highways,15/12/2011,0000165764,2777.52,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,15/12/2011,0000165765,730.10,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,15/12/2011,0000165765,1789.43,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,15/12/2011,0000165765,670.38,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,15/12/2011,0000165765,1689.38,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2533,Fireworks Expenditure,01/12/2011,0000165766,5100.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Strategy and Communiations,1411,Council Magazine,01/12/2011,0000165768,2794.57,Revenue,Royal Mail,00821
Rushmoor Borough Council,Director of Resources,7103,Contract Costs,01/12/2011,0000165772,1251.30,Capital,Hays,02287
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,01/12/2011,0000165795,7800.85,Revenue,British Telecommunications Plc,00177
Rushmoor Borough Council,Customer Services,3811,Contract Staff,01/12/2011,0000165796,793.75,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Customer Services,3811,Contract Staff,01/12/2011,0000165797,1000.00,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Environmental Health and Housing,2203,Recruitment Advertising,15/12/2011,0000165798,1041.00,Revenue,Trinity Mirror Southern,00947
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,01/12/2011,0000165804,1281.45,Revenue,Ricoh,00676
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,01/12/2011,0000165813,2330.45,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Personnel & Payroll,3601,Occupational Health,01/12/2011,0000165820,1738.50,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Environmental Health and Housing,2213,Works in Default,01/12/2011,0000165825,590.00,Revenue,Rattue & Co Ltd,07144
Rushmoor Borough Council,Community,2551,Registration Fees,01/12/2011,0000165827,595.00,Revenue,Impact Marketing & Publicity Ltd,07218
Rushmoor Borough Council,Community,2551,Gas,08/12/2011,0000165844,4037.34,Revenue,Corona Energy,10757
Rushmoor Borough Council,Democratic Services,1322,Gas,08/12/2011,0000165862,1406.08,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2550,Street Maintenance,01/12/2011,0000165868,1046.00,Revenue,Charterhouse Tree Care,11919
Rushmoor Borough Council,Holding Accounts,9404,Service Improvement Fund,01/12/2011,0000165881,5000.00,Holding Accounts,Winchester City Council,01106
Rushmoor Borough Council,Community,2551,Book of Remembrance,01/12/2011,0000165887,636.27,Revenue,Hilton Cabinet Co Ltd,00024
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,01/12/2011,0000165893,1007.30,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Customer Services,3811,Contract Staff,01/12/2011,0000165904,1006.25,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Customer Services,3811,Contract Staff,01/12/2011,0000165905,1000.00,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Customer Services,3811,Contract Staff,01/12/2011,0000165906,900.00,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Holding Accounts,9463,Roundabout Sponsorship,01/12/2011,0000165907,700.00,Holding Accounts,Wellington Signs,01092
Rushmoor Borough Council,Strategy and Communiations,1402,Admin Equipment,01/12/2011,0000165913,639.88,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,2551,Memorial Expenses,01/12/2011,0000165914,15750.00,Revenue,The Columbaria Company,00993
Rushmoor Borough Council,Community,2517,Infection Control,01/12/2011,0000165918,2830.84,Revenue,Building Monitoring Services Ltd,08586
Rushmoor Borough Council,Community,2510,Operational Equipment,08/12/2011,0000165922,520.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Democratic Services,1304,Charity Golf,01/12/2011,0000165932,620.00,Revenue,Southwood Golf Club,05015
Rushmoor Borough Council,Director of Resources,7103,Contract Costs,01/12/2011,0000165934,1568.30,Capital,Hays,02287
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,01/12/2011,0000165935,1500.00,Revenue,Hays,02287
