Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number
Department of Health,East of England SHA,14/06/2010,Computer Software/License,Fast Follower Support,CLOUD2 LTD,6278271,31802.55,NULL
Department of Health,East of England SHA,28/06/2010,Computer Software/License,Library - Non-Medical,SIRSI DYNIX,6606213,34245.56,NULL
Department of Health,East of England SHA,16/06/2010,External Consultancy Fees,ALTO Transition Support,KPMG LLP,6522736,57714,791788859
Department of Health,East of England SHA,25/06/2010,External Consultancy Fees,Change4Life,COI NEWS & PR,6559503,53767.18,888802077
Department of Health,East of England SHA,30/06/2010,External Consultancy Fees,Investigation - Redacted,NICHE HEALTH & SOCIAL CARE CONSULTING LTD,6610945,35250,603355960
Department of Health,East of England SHA,11/06/2010,External Consultancy Fees,Investigation - Redacted,HASCAS,6379427,38657.5,709905318
Department of Health,East of England SHA,16/06/2010,Lease Rents,Workforce Running Costs,C & C MANAGEMENT,6522732,31609.55,NULL
Department of Health,East of England SHA,09/06/2010,Lease Rents,Workforce Running Costs,WORKMAN LLP,6482551,56155.31,744322253
Department of Health,East of England SHA,04/06/2010,Lease Rents,Victoria House,C & C MANAGEMENT,6455245,55316.7,NULL
Department of Health,East of England SHA,16/06/2010,Lease Rents,Victoria House,C & C MANAGEMENT,6531071,27658.35,NULL
Department of Health,East of England SHA,01/06/2010,Legal Claims,(SOFP) Balance Sheet,DEPARTMENT FOR WORK AND PENSIONS,6432249,30535.2,NULL
Department of Health,East of England SHA,25/06/2010,Miscellaneous Expenditure,Adolescent & Child Programme,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,6541847,748245,654919990
Department of Health,East of England SHA,15/06/2010,Miscellaneous Expenditure,Adolescent & Child Programme,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,6497473,520184,654922910
Department of Health,East of England SHA,25/06/2010,Miscellaneous Expenditure,Adolescent & Child Programme,ROYAL DEVON&EXETER NHS FOUNDATION TRUST,6567574,369080,654938887
Department of Health,East of England SHA,01/06/2010,Miscellaneous Expenditure,Business Case Support,NHS NORFOLK,6371122,30000,654436527
Department of Health,East of England SHA,01/06/2010,Miscellaneous Expenditure,Business Case Support,SOUTH EAST ESSEX PCT,6371125,30000,654436723
Department of Health,East of England SHA,02/06/2010,Miscellaneous Expenditure,Clinical Academia,UNIVERSITY OF CAMBRIDGE,6394736,375000,214222124
Department of Health,East of England SHA,15/06/2010,Miscellaneous Expenditure,Eastern Development Centre,NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,6445942,133250,654407732
Department of Health,East of England SHA,01/06/2010,Miscellaneous Expenditure,Improving Access to Psychological Therapies (IAPT) - Trainee & Related Costs,EAST & NORTH HERTFORDSHIRE PCT,6121764,-161000,654437328
Department of Health,East of England SHA,25/06/2010,Miscellaneous Expenditure,NHS Direct: Core Contract,NHS DIRECT,6586415,10132666.67,654434239
Department of Health,East of England SHA,23/06/2010,Miscellaneous Expenditure,Small Business Research Initiative,HEALTH ENTERPRISE EAST LTD,6567567,524571,868920476
Department of Health,East of England SHA,01/06/2010,Pmt Rec on Acct Currnt,(SOFP) Balance Sheet,CAMBRIDGESHIRE & PETERBOROUGH NHS FOUNDATION TRUST,6418301,53688,654426433
Department of Health,East of England SHA,01/06/2010,Prepayments - Current,(SOFP) Balance Sheet,ANGLIA RUSKIN UNIVERSITY,6404639,-2159928,637150940
Department of Health,East of England SHA,01/06/2010,Prepayments - Current,(SOFP) Balance Sheet,ANGLIA RUSKIN UNIVERSITY,6404640,-2159939,637150940
