Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,"47,340.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,HIRE OF CLINICAL EQUIPMENT,PATIENT AND PUBLIC INVOLVEMENT,ARJO HUNTLEIGH,"87,233.32",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,HIRE OF CLINICAL EQUIPMENT,PATIENT AND PUBLIC INVOLVEMENT,ARJO HUNTLEIGH,"90,820.67",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PHARMACY,DIAGNOSTICS,BAXALTA UK LIMITED,"37,074.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PHARMACY,DIAGNOSTICS,BAXALTA UK LIMITED,"30,914.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,PHARMACY,DIAGNOSTICS,BAXALTA UK LIMITED,"30,914.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,PHARMACY,DIAGNOSTICS,BAXTER HEALTHCARE LTD,"46,614.12",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,PHARMACY,DIAGNOSTICS,BAXTER HEALTHCARE LTD,"33,477.84",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,PHARMACY,DIAGNOSTICS,BAXTER HEALTHCARE LTD,"154,277.58",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,PHARMACY,DIAGNOSTICS,BAXTER HEALTHCARE LTD,"73,530.48",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,PHARMACY PILGRIM,DIAGNOSTICS,BAYER PLC,"31,464.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PHARMACY PILGRIM,DIAGNOSTICS,BAYER PLC,"31,464.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,PHARMACY PILGRIM,DIAGNOSTICS,BAYER PLC,"31,464.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,LEGAL FEES - EMPLOYMENT,CORPORATE AFFAIRS,BEACHCROFT LLP,"23,083.35",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,EXTERNAL LAUNDRY CONTRACT,SITE ESTATES & FACIL BOSTON,BERENDSEN UK LTD (SUNLIGHT),"30,999.02",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,SERVICES FROM NON-NHS BODIES,ORTHOPAEDICS BOSTON,BMI HEALTHCARE LTD,182.45,Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,SERVICES FROM NON-NHS BODIES,ORTHOPAEDICS LINCOLN,BMI HEALTHCARE LTD,"41,231.12",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,SERVICES FROM NON-NHS BODIES,ORTHOPAEDICS BOSTON,BMI HEALTHCARE LTD,182.45,Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,SERVICES FROM NON-NHS BODIES,ORTHOPAEDICS LINCOLN,BMI HEALTHCARE LTD,"41,300.57",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/06/2017,RATES,SITE ESTATES & FACIL BOSTON,BOSTON BOROUGH COUNCIL - BUSINESS RATES,"747,240.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,WAN USAGE,IMT,BT GLOBAL SERVICES,"89,044.78",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,SUBSCRIPTION  FEES,NURSING MANAGEMENT SUPPORT,CARE QUALITY COMMISSION,"288,912.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,CARL ZEISS LTD,"35,495.28",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/06/2017,RATES,SITE ESTATES & FACIL LINCOLN,CITY OF LINCOLN COUNCIL,"1,081,017.22",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/06/2017,ELECTRICITY,SITE ESTATES & FACIL BOSTON,EDF ENERGY 1 LIMITED,"61,412.80",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,02/06/2017,CHILDCARE VOUCHERS,PAN TRUST,FIDELITI LTD,"45,544.42",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,XRAY MAINTENANCE,CARDIOLOGY TRUSTWIDE,GE MEDICAL SYSTEMS LTD,"43,620.62",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,STRUCTURE,CAPITAL PROGRAMME,GELDER LTD,"60,533.53",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,STRUCTURE,CAPITAL PROGRAMME,GELDER LTD,"67,028.96",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,PHARMACY,DIAGNOSTICS,GENZYME THERAPEUTICS,"84,540.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"57,660.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"71,868.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"33,101.16",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PAYE,PAN TRUST,HM REVENUE & CUSTOMS,"3,253,152.76",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PAYE,PAN TRUST,HM REVENUE & CUSTOMS,"97,951.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PAYE,PAN TRUST,HM REVENUE & CUSTOMS,"2,830,221.46",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,AGENCY ADMIN CLERICAL,OUTPATIENT MANAGEMENT,IDEAL HEALTH CONSULTANTS LTD,"58,860.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,FUEL - STEAM,SITE ESTATES & FACIL BOSTON,INDUSTRIAL ENERGY SERVICES LTD,"33,640.31",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,FUEL - STEAM,SITE ESTATES & FACIL BOSTON,INDUSTRIAL ENERGY SERVICES LTD,"31,240.31",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,ENGIN AND MAINT EXT CONTRACTS,CORPORATE ESTATES & FACIL,LEASE GUARD LIMITED,"23,269.95",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,OTHER CONSULTANCIES,PROCUREMENT,LEEDS AND YORK PARTNERSHIP NHS FT,"50,000.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,EXTERNAL CONTRACTS,FINANCE,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"37,125.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,EXTERNAL CONTRACTS,FINANCE,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"37,125.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,01/06/2017,STRUCTURE,CAPITAL PROGRAMME,LINDUM GROUP LTD,"274,091.63",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,LLOYDS PHARM DISPENSING COSTS,PHARMACY,LLOYDS PHARMACY,"41,967.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,LLOYDS PHARMACY,PHARMACY,LLOYDS PHARMACY,"679,751.96",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/06/2017,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,MEDICA GROUP,"50,518.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,MEDICA GROUP,"65,215.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,PHARMACY PILGRIM,DIAGNOSTICS,MYLAN,"54,612.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/06/2017,GRANTHAM PHARMACY CREDITORS,DIAGNOSTICS,MYLAN,"54,612.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,PHARMACY,DIAGNOSTICS,MYLAN,"109,224.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"70,027.33",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/06/2017,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"98,266.42",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/06/2017,COST OF FP 10 PRESCRIPTIONS,PHARMACY,NHS BUSINESS SERVICES AUTHORITY (FP10),"26,313.03",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/06/2017,CNST CONTRIBUTIONS,DIAGNOSTICS,NHS LITIGATION AUTHORITY,"17,920.00",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/06/2017,CNST CONTRIBUTIONS,GOVERNANCE,NHS LITIGATION AUTHORITY,"1,553,702.20",Jun-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/06/2017,CNST CONTRIBUTIONS,W&C SERVICES BOSTON,NHS LITIGATION AUTHORITY,"227,110.00",Jun-17
