Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Catherine Brown,Chief Executive,2016-04-05,2016-04-06,Manchester,Executive Management Team Meeting,,92.8,14,169,,275.8,
Catherine Brown,Chief Executive,2016-04-12,2016-04-12,London,Official Meetings,,,22.45,,,22.45,
Catherine Brown,Chief Executive,2016-04-13,2016-04-14,London,Official Meetings,,,36.7,119.18,,155.88,
Catherine Brown,Chief Executive,2016-04-14,2016-04-14,Northampton,Stakeholder Meeting,,22.5,10,7.35,,39.85,
Catherine Brown,Chief Executive,2016-04-20,2016-04-21,York,Executive Management Team Meeting,,179.2,,100,,279.2,
Catherine Brown,Chief Executive,2016-04-22,2016-04-22,Cardiff,Stakeholder Meeting,,168.4,,,,168.4,
Catherine Brown,Chief Executive,2016-04-27,2016-04-28,London,Official Meetings,,,57.5,101.28,,158.78,
Catherine Brown,Chief Executive,2016-04-28,2016-04-28,Epsom Downs,Speaker at Conference,,73.5,,10.89,,84.39,
Catherine Brown,Chief Executive,2016-05-04,2016-05-05,Birmingham ,Executive Management Team Meeting,,28.3,,85,,113.3,
Catherine Brown,Chief Executive,2016-05-10,2016-05-10,London,Stakeholder Event,,,16.95,100.68,,117.63,
Catherine Brown,Chief Executive,2016-05-11,2016-05-11,London,Official Meeting,,,27.05,,,27.05,
Catherine Brown,Chief Executive,2016-05-12,2016-05-12,Birmingham,Stakeholder Event,,66,,6.49,,72.49,
Catherine Brown,Chief Executive,2016-05-16,2016-05-18,Belfast,FSA Board Meeting,168.06,,150,119,,437.06,
Catherine Brown,Chief Executive,2016-05-25,2016-05-26,Birmingham,Executive Management Team Meeting,,28.3,,85,,113.3,
Catherine Brown,Chief Executive,2016-06-06,2016-06-07,Manchester,FSA Management Conference,,89.2,,165,,254.2,
Catherine Brown,Chief Executive,2016-05-10,2016-05-15,Stockholm,Stakeholder Event,468.19,,,148.9,,617.09,
Catherine Brown,Chief Executive,2016-06-20,2016-06-20,London,Official Meeting,,,23.18,,,23.18,
Catherine Brown,Chief Executive,2016-06-21,2016-06-21,Telford,Attendance at Conference,,190.9,,,,190.9,
Catherine Brown,Chief Executive,2016-06-22,2016-06-22,Belfast ,Meeting cancelled,91.06,,,,,91.06,
Catherine Brown,Chief Executive,2016-06-28,2016-06-29,London,Attendance at Conference,,,,119.18,,119.18,
Catherine Brown,Chief Executive,2016-06-30,2016-06-30,London,Official Meeting,,,15.45,,,15.45,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-04-05,2016-04-07,Manchester,Executive Management Team Meeting / Senior Leadershiip Team Meeting,,208,,292,,500,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-04-20,2016-04-21,York,Executive Management Team Meeting,,132,,100,,232,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-05-01,2016-05-05,Amsterdam,Heads of Agencies Meeting,360.91,29.58,,263.86,,654.35,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-05-04,2016-05-05,Birmingham,Executive Management Team Meeting,,101,,85,,186,
