MINISTERIAL INFORMATION 1 APRIL - 30 JUNE 2013 ,,,

"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,

Minister,Date of Meeting ,Name of External Organisation ,Purpose of Meeting 
"Secretary of State for Defence, Rt Hon Philip Hammond",April ,Daily Telegraph,General Defence Discussion
"Secretary of State for Defence, Rt Hon Philip Hammond",June ,"Paul Goodman, Conservative Home",General Defence Discussion
"Minister of State For the Armed Forces, Rt Hon Andrew Robathan ",May ,Pembrokeshire County Council,Basing Issues 
"Minister of State For the Armed Forces, Rt Hon Andrew Robathan ",June ,British Military Tournament,British Military Tournament 
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",April ,BAE Systems,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",April ,ADS,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",April,MBDA,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,BAE Systems,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,BOEING,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,SAAB,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,Rolls Royce,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,Marshall Aerospace,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,Airbus Military UK,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,K10 Endeavour,Seek MOD support for World Water Speed Challenge
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,TenCate Advance Armour,Introductory Call
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,Thales,Company Site Visit
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",May,BAR Systems,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",June,Rolls Royce,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",June,Babcock,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",June,Lockheed Martin,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",June,EADS,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",June,Finmeccanica,Discuss Defence Issues
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",June,"BAE Systems, MacNeillies, Cobham, Briggs, Babcock, Force Protection, Supacat",Attended Land Equipment Industry Day (DVD) at Millbrook Proving Ground
"Philip Dunne MP – Minister for Defence Equipment, Support and Technology",June,MBDA,Discuss Defence Issues
