Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",166,157.95,317,301.99,965,931.35,543,523.23,95,91.55,0,0,2086,2006.07,18,18,12,12,67,67,1,1,98,98,2184,2104.07,"£7,439,499","£5,584","£38,123","£22,889","£1,345,257","£585,516","£9,436,868","£858,347","£19,624","£877,971","£10,314,839",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",828,756.98,591,549.84,756,709.92,176,171.98,8,8,0,0,2359,2196.72,32,31,0,0,33,33,0,0,65,64,2424,2260.72,"£5,320,547","£88,944","£17,262","£104,019","£1,041,534","£421,958","£6,994,264","£230,524",£0,"£230,524","£7,224,788",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",80,75.24,127,119.7,246,230.74,89,84.42,3,3,0,0,545,513.1,0,0,0,0,0,0,0,0,0,0,545,513.1,"£1,294,282","£26,937",£0,"£7,122","£247,141","£101,139","£1,676,621",£0,£0,£0,"£1,676,621",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",148,136.28,131,120.32,211,194.75,76,72.42,4,4,13,13,583,540.77,14,14,3,3,5,5,3,3,25,25,608,565.77,"£1,692,760","£17,289","£18,750","£4,822","£94,143","£242,464","£2,070,229","£50,210","£184,576","£234,787","£2,305,015",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",755,668.64,641,591.78,600,574.03,169,167.51,16,16,0,0,2181,2017.96,26,26,115,115,0,0,0,0,141,141,2322,2158.96,"£4,771,024","£84,341","£14,750","£165,415","£861,559","£370,667","£6,267,756","£76,621","£590,454","£667,076","£6,934,831",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",36,34.17,29,28.16,50,48.89,41,40.7,3,3,0,0,159,154.92,6,4.5,0,0,3,1.4,0,0,9,5.9,168,160.82,"£462,271","£9,549",£0,"£1,920","£93,807","£39,854","£607,401","£26,614",£0,"£26,614","£634,015",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,390,380.19,390,380.19,11,11,0,0,7,7,0,0,18,18,408,398.19,"£1,113,099","£45,743",£0,"£3,689","£95,697","£123,037","£1,381,265","£27,505",£0,"£27,505","£1,408,769",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",10,8.42,27,25.79,19,18.81,10,10,5,5,0,0,71,68.02,1,1,2,1.8,0,0,0,0,3,2.8,74,70.82,"£179,083","£3,549",£0,£0,"£32,960","£15,344","£230,936","£10,007",£0,"£10,007","£240,943",
