Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/06/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SUTTON MANOR SURGERY,KHU000007022,-7430.55,LOCAL ENHANCED SERVICES ,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,121314,71159.27,COMPLETED REFERRAL,
Department of Health,03F,30/06/2014,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101577,53921,FES APPOINTMENT 18/3/14,
Department of Health,03F,30/06/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101588,47988.08,SLA JUNE 14,
Department of Health,03F,30/06/2014,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101589,236587,SLA JUNE 14,
Department of Health,03F,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010002614,463250.32,BLOCK CONTRACT JUNE 14,
Department of Health,03F,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002616,2438191.2,mental health baseline contract june 14,
Department of Health,03F,30/06/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002617,30470.83,MENTAL HEALTH 50% CQUIN JUNE 14,
Department of Health,03F,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004579,789996.72,BLOCK APRIL 14,
Department of Health,03F,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004726,789996.72,BLOCK JUNE 14,
Department of Health,03F,30/06/2014,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004798,53990,CHARGE IN RESPECT OF 111 CONTRACT JUNE 2014,
Department of Health,03F,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004826,118422.33,PTS CONTRACT JUNE 14,
Department of Health,03F,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004918,223162,A & E BLOCK CONTRACT 2014/15,
Department of Health,03F,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,435483,79149,MONTHLY INVOICE APRIL - MARCH 14,
Department of Health,03F,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9289,-797188.04,CREDIT INV 2810003963,
Department of Health,03F,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210009681,14094283,BLOCK CONTRACT JUNE 14,
Department of Health,03F,30/06/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3031401,45828,MENTAL HEALTH PROGRAMME 01/04/2014 - 30/06/2014,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,019HC01,34878.53,INTERPRETING APRIL 14,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F311213RECHUL,306686.7,SAC PATIENT ACTIVITY Q3 2013 FREEZE,
Department of Health,03F,30/06/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000193525,474941.97,chc recharges may 14,
Department of Health,03F,30/06/2014,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000194262,33421.67,RECHARGE IN RESPECT OF CARERS SUPPORT SERVICE CONTRACT JUNE 14,
Department of Health,03F,30/06/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1268,77590.2,VARIOUS JUNE 14,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,132HC02,34550.4,INTERPRETING MAY 14,
Department of Health,03F,30/06/2014,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ALEXANDAR COURT CARE CENTRE,1871,-3428.57,8417 MAY 14,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,1A1415,67463.22,COMPLETED REFERRAL APRIL 14,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,1A141521051467217,67217.94,COMPLETED REFERRAL APRIL 14,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,1A1415CR,-67463.22,COMPLETED REFERRAL APRIL 14,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,21415,63632.75,COMPLETED REFERRAL 13/14,
Department of Health,03F,30/06/2014,Clinical&Medical-Serv Recd-CCGs,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,492,-20750.4,"CREDIT AGAINST 7410003522, 7410003523",
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,493,-7957,CREDIT 7410003529,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,PATIENT AND PUBLIC INVOLVEMENT,CITY HEALTH CARE PARTNERSHIP CIC,524,-4962,"PART CREDIT AGAINST INV 7410003238, 7410003239, 7410003558 & 7410003559",
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410003795,2051131,JUNE CONTRACTUAL INCOME RECURRENT STANDARD CONTRACT,
Department of Health,03F,30/06/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR010,46600,CONTRACT FUNDING FOR 2014/2015,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,PP03F010614PFHUL,419093,JUNE 2014 STANDARD ACUTE CONTRACT,
Department of Health,03F,30/06/2014,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000194341,123028.56,CARE IN THE COMMUNITY JUNE 2014,
Department of Health,03F,30/06/2014,Services From Local Authorities,COMMISSIONING SCHEMES,HULL CITY COUNCIL,1000194792,219000,CCG SUPPORT FOR RUNNING OF ENNERDALE,
Department of Health,03F,30/06/2014,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,BRM SOLICITORS,10122130MAY2014,35453.78,REIMBURSEMENT OF CARE FEES,
Department of Health,03F,30/06/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800089966,123956.36,EQUIPMENT PURCHASES ,
Department of Health,03F,30/06/2014,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000614,33826.16,VARIOUS JUNE 14,
Department of Health,03F,30/06/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,WEST PARK NURSING & RESIDENTIAL HOME,WP004,25537.32,VARIOUS APRIL 14,
