Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003171566,"42,242.99"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003173803,"42,542.99"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1240706,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1240706,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1240706,"6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1240706,"-6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1240706,"-33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1243053,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1243053,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1243053,"6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1243053,"-6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1243053,"-33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,RENT,RESERVES AND PROVISIONS TECHNICAL,BRADFORD AND AIREDALE TEACHING PCT,19807590,"28,775.75"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,RENT,RESERVES AND PROVISIONS TECHNICAL,BRADFORD AND AIREDALE TEACHING PCT,19807592,"53,875.25"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/02/2012,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,13969/02,"24,237.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/02/2012,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,DELL CORPORATION LTD,7401899379,"21,268.70"
