Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,15964211,-55902.7,915970991,10LSOUREC161708
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,15964213,-38926.27,915970991,10LPTMREC161708
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,SALISBURY NHS FOUNDATION TRUST,15964217,655.8,GB654939884,B009751
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALISBURY NHS FOUNDATION TRUST,15964217,25576.2,GB654939884,B009751
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,15964221,46817,915970991,10LPTMPF161711
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,15964227,103841,915970991,10LSOUPF161711
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,ISLE OF WIGHT COUNCIL,15964229,467646,,94190593
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CARE UK CLINICAL SERVICES LTD,15964252,91906.98,,100034665
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,COLVILLE CARE LTD,15964259,26975.93,,WS165997
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,ISLE OF WIGHT NHS TRUST,15964264,77800,,44321078
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,WINSLOW COURT LTD,15971020,27176,,4075
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,WINSLOW COURT LTD,15971021,27176,,4076
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,WINSLOW COURT LTD,15971023,27176,,4100
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,WARD HOUSE LTD,15971067,35031.76,,001FEB2017
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,ISLE OF WIGHT COUNCIL,15971080,72046.37,,94190584
Department of Health,NHS Isle Of Wight CCG,28/02/2017,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,15981177,-482000,,44321059
Department of Health,NHS Isle Of Wight CCG,28/02/2017,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,15981203,-1598252,,44321060
Department of Health,NHS Isle Of Wight CCG,28/02/2017,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,15981208,12104166,,44321081
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,15988024,67484.23,,SO000047600
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,15988024,650,,SO000047600
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS DES Violent Patients,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,15988024,5010,,SO000047600
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,15988024,7590.67,,SO000047600
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,15988024,252.44,,SO000047600
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,15988024,2551.67,,SO000047600
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,15988024,2671.38,,SO000047600
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,15988024,8338.22,,SO000047600
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,15988026,82875.36,,SO000047602
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,15988026,900,,SO000047602
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,15988026,8972.04,,SO000047602
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,15988026,5040.83,,SO000047602
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,15988026,5.09,,SO000047602
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,15988026,1594.54,,SO000047602
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,15988026,8236.06,,SO000047602
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Prepymnts <1Yr-Other Payments,BALANCE SHEET,PINNACLE HEALTH PARTNERSHIP LLP,15991759,17616.04,112644152,INV140436
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Welfare Foods,PRESCRIBING,PINNACLE HEALTH PARTNERSHIP LLP,15991759,33432.08,112644152,INV140436
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CARE UK CLINICAL SERVICES LTD,15991770,80960,,100034448
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ONE WIGHT HEALTH LTD,15991802,145000,,OHWL003
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,OUT OF HOURS,ISLE OF WIGHT NHS TRUST,16018352,86547,,44319535
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,PORTSMOUTH HOSPITALS NHS TRUST,16018371,7130.43,,9323617
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PORTSMOUTH HOSPITALS NHS TRUST,16018371,323346.4,,9323617
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16018374,5309.38,,7292490
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16018374,419440.62,,7292490
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,OUT OF HOURS,ISLE OF WIGHT NHS TRUST,16018571,158333,,44321080
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Income tax <1Yr,BALANCE SHEET,HMRC,16097596,42919.8,,475PG004482391710
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,16097596,339,,475PG004482391710
Department of Health,NHS Isle Of Wight CCG,28/02/2017,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,16097596,28804.14,,475PG004482391710
Department of Health,NHS Isle Of Wight CCG,28/02/2017,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,16097596,20773.51,,475PG004482391710
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,TICCS,16103421,51535,,2130
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Sterile Products,PRESCRIBING,AMCARE LTD,16103470,37320.66,,OPI933717
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Sterile Products,PRESCRIBING,AMCARE LTD,16103472,28950.3,,OPI933718
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,ADRC SOUTHAMPTON LTD,16103490,50000,,859
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,ISLE OF WIGHT COUNCIL,16125668,1648859,,94045132
Department of Health,NHS Isle Of Wight CCG,28/02/2017,Non NHS Payables <1Yr,BALANCE SHEET,ISLE OF WIGHT COUNCIL,16125686,-1648859,,9404516X
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,16172530,-35000,,SO000047779
Department of Health,NHS Isle Of Wight CCG,28/02/2017,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,16172530,-4482.92,,SO000047779
Department of Health,NHS Isle Of Wight CCG,28/02/2017,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,16172530,-4421.08,,SO000047779
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,16172531,666.67,,SO000047780
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,16172531,35789.93,,SO000047780
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,16172531,3066.67,,SO000047780
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,16172531,1200.6,,SO000047780
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,16172531,3700.9,,SO000047780
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,16172533,400,,SO000047782
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,16172533,36814.8,,SO000047782
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,16172533,362.67,,SO000047782
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,16172533,1916.67,,SO000047782
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,16172533,838.69,,SO000047782
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,16172533,204.1,,SO000047782
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,16172533,3445.48,,SO000047782
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,16172535,2000,,SO000047784
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,16172535,68467.67,,SO000047784
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,16172535,1013.42,,SO000047784
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,16172535,3891.67,,SO000047784
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,16172535,1501.35,,SO000047784
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,16172535,7185.81,,SO000047784
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,16172537,1000,,SO000047786
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,16172537,86189.78,,SO000047786
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,16172537,7199.17,,SO000047786
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,16172537,907.41,,SO000047786
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,16172537,10006.95,,SO000047786
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,16172539,1856,,SO000047788
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,16172539,1666.67,,SO000047788
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,16172539,93479.92,,SO000047788
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,16172539,2547.24,,SO000047788
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,16172539,9.04,,SO000047788
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,16172539,1760.21,,SO000047788
Department of Health,NHS Isle Of Wight CCG,28/02/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,16172539,11294.53,,SO000047788
