Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Sum of Sum of Amount
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,RECHARGES,Premises & fixed plant,THE ROYAL WOLVERHAMPTON HOSPITAL,10000131,29469.53
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,PATIENTS TRAVEL EXPS,Establishment,WEST MIDLANDS AMBULANCE SERVICE,10000151,65000
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,RECHARGES,Premises & fixed plant,THE ROYAL WOLVERHAMPTON HOSPITAL,10000163,34451.26
Department of Health,Black Country Partnership NHS Foundation Trust,18/04/2013,AP DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,10000176,81152.51
Department of Health,Black Country Partnership NHS Foundation Trust,18/04/2013,CAMHS DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,10000176,6297.77
Department of Health,Black Country Partnership NHS Foundation Trust,18/04/2013,LD DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,10000176,7065.3
Department of Health,Black Country Partnership NHS Foundation Trust,18/04/2013,OAP DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,10000176,3417.43
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,AP DRUGS - FP10,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,10000223,2724.39
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,CAMHS DRUGS,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,10000223,2674.48
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,CAMHS DRUGS - FP10,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,10000223,2370.9
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,DRUG & ALCOHOL,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,10000223,41610.31
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,LD DRUGS,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,10000223,1047.86
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,LD DRUGS - FP10,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,10000223,1137.32
Department of Health,Black Country Partnership NHS Foundation Trust,11/04/2013,OAP DRUGS - FP10,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,10000223,3338.29
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,CLINICAL LIBRARY,Supplies & Services-General,SANDWELL & WEST BHAM HOSPITALS,10000228,45768
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,EBME MAINTENANCE,Services from Other NHS Trusts,SANDWELL & WEST BHAM HOSPITALS,10000228,28624
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,EXT CONTRACT SERVICES-OTHER,Premises & fixed plant,SANDWELL & WEST BHAM HOSPITALS,10000228,4095
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,SWB - CAR PARK INCOME,Services from Other NHS Trusts,SANDWELL & WEST BHAM HOSPITALS,10000228,-11663
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,SWB - CLINICAL PATHOLOGY,Services from Other NHS Trusts,SANDWELL & WEST BHAM HOSPITALS,10000228,50476
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,SWB - INFORMATION,Services from Other NHS Trusts,SANDWELL & WEST BHAM HOSPITALS,10000228,7201
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,SWB - RADIOGRAPHY,Services from Other NHS Trusts,SANDWELL & WEST BHAM HOSPITALS,10000228,21572
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,SWB - ROWLEY REGIS OVERHEADS,Services from Other NHS Trusts,SANDWELL & WEST BHAM HOSPITALS,10000228,35111
Department of Health,Black Country Partnership NHS Foundation Trust,02/04/2013,EXTERNAL AUDIT,Audit fees,DELOITTE LLP,30002242,46800
Department of Health,Black Country Partnership NHS Foundation Trust,02/04/2013,BUILDING OPERATING LEASE RENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30002504,59007
Department of Health,Black Country Partnership NHS Foundation Trust,02/04/2013,RYHURST - ESTATE MANAGEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30002504,10440.76
Department of Health,Black Country Partnership NHS Foundation Trust,02/04/2013,RYHURST - MANAGEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30002504,4644.39
Department of Health,Black Country Partnership NHS Foundation Trust,02/04/2013,RYHURTS - CAPITAL REPLACEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30002504,7920.36
Department of Health,Black Country Partnership NHS Foundation Trust,02/04/2013,FACILITIES MANAGEMENT SERVICES,Premises & fixed plant,NORLAND MANAGED SERVICES LIMTED,30002896,35230.81
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,BUILDING OPERATING LEASE RENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30004718,59007
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,RYHURST - ESTATE MANAGEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30004718,10440.76
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,RYHURST - MANAGEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30004718,4644.39
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,RYHURTS - CAPITAL REPLACEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30004718,7920.36
Department of Health,Black Country Partnership NHS Foundation Trust,25/04/2013,ADD-07-BDG-PENN PROJECT,Buildings Excluding Dwellings-,KIER CONSTRUCTION - CENTRAL,40001921,548219.54
