Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/01/11,RENT,CENTRAL FINANCE,ESH SPACE THE PARK LTD,007,172274.35,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/01/11,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,GOLDWATERS SOLICITORS,01 JUL 11,46764.19,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/22/11,RENT,CENTRAL FINANCE,NEW CROFT HOUSE LTD,099,31240,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/22/11,INSURANCE COSTS,CENTRAL FINANCE,NEW CROFT HOUSE LTD,099,6422.05,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/22/11,RENT,CENTRAL FINANCE,NEW CROFT HOUSE LTD,099 01 JUL 11,187440,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,122387,141990,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE FROM LOCAL AUTHORITIES,CENTRAL FINANCE,NEWCASTLE CITY COUNCIL,1800005395748,28247,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1800005501202,295016.87,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1800005510434,176319.88,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1800005526090,243269.02,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/01/11,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1800005526569,2067000,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,ST OSWALDS HOSPICE,1926,50132.13,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/22/11,INTERPRETING SERVICES,PRIMARY CARE FINANCE,NORTH TYNESIDE PCT,211836,32098.95,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/19/11,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,CHILDREN NORTH EAST,2354/HWB/SE,30190.5,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/08/11,HEALTHCARE FROM VOLUNTARY SECTOR,CENTRAL FINANCE,STREETWISE,242,38197.53,
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/01/11,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,CLINICAL SERVICES LTD,25759399,137305.92
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,30717,26511
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,30739,26511
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,31032,142431
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,31050,26511
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,31052,611896
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,GLOBAL SUM,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST SCOTSWOOD,32,25400
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,QUALITY ASPIRATION,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST SCOTSWOOD,32,6800
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,ENHANCED SERVICES - LES,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST SCOTSWOOD,32,3700
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/22/11,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,CONNECT PHYSICAL HEALTH CENTRES LTD,34515,25000
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/22/11,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,CONNECT PHYSICAL HEALTH CENTRES LTD,34517,30000
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,GLOBAL SUM,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST SCOTSWOOD,35,25400
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,QUALITY ASPIRATION,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST SCOTSWOOD,35,6800
Department of Health,NEWCASTLE PCT (COMMISSIONING),07/15/11,ENHANCED SERVICES - LES,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST SCOTSWOOD,35,3700
