CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,2064,84.4%,381,15.6%
P01-Avon&Somerset,43,82.7%,9,17.3%
P02-Bedfordshire,17,89.5%,2,10.5%
P03-Cambridgeshire,31,91.2%,3,8.8%
P04-Cheshire,42,91.3%,4,8.7%
P06-Cleveland,36,92.3%,3,7.7%
P07-Cumbria,23,88.5%,3,11.5%
P08-Derbyshire,35,76.1%,11,23.9%
P09-Devon&Cornwall,37,88.1%,5,11.9%
P10-Dorset,19,86.4%,3,13.6%
P11-Durham,32,94.1%,2,5.9%
P12-DyfedPowys,16,88.9%,2,11.1%
P13-Essex,35,83.3%,7,16.7%
P14-Gloucestershire,11,91.7%,1,8.3%
P15-GreaterManchester,123,78.3%,34,21.7%
P16-Gwent,37,86.0%,6,14.0%
P17-Hampshire,38,77.6%,11,22.4%
P18-Hertfordshire,13,81.3%,3,18.8%
P19-Humberside,38,88.4%,5,11.6%
P20-Kent,50,86.2%,8,13.8%
P21-Lancashire,92,80.7%,22,19.3%
P22-Leicestershire,25,86.2%,4,13.8%
P23-Lincolnshire,34,91.9%,3,8.1%
P24-Merseyside,400,81.6%,90,18.4%
P25-Metropolitan&City,38,88.4%,5,11.6%
P26-Norfolk,31,91.2%,3,8.8%
P27-Northamptonshire,18,85.7%,3,14.3%
P28-Northumbria,77,92.8%,6,7.2%
P29-NorthWales,30,88.2%,4,11.8%
P30-NorthYorkshire,31,86.1%,5,13.9%
P31-Nottinghamshire,45,88.2%,6,11.8%
P32-SouthWales,53,86.9%,8,13.1%
P33-SouthYorkshire,53,85.5%,9,14.5%
P34-Staffordshire,29,80.6%,7,19.4%
P35-Suffolk,16,94.1%,1,5.9%
P36-Surrey,21,72.4%,8,27.6%
P37-Sussex,36,94.7%,2,5.3%
P38-ThamesValley,85,85.0%,15,15.0%
P39-Warwickshire,12,75.0%,4,25.0%
P40-WestMercia,35,85.4%,6,14.6%
P41-WestMidlands,111,88.8%,14,11.2%
P42-WestYorkshire,97,75.8%,31,24.2%
P43-Wiltshire,19,86.4%,3,13.6%
