Trust Name,Country,ODS Code,Centre Number,Number Of Patients,Number Of Operations,Percentage First Eye Operations,Median Age First Eye Operations,Percentage Second Eye Operations,Median Age Second Eye Operations,Number HES Operations,Case Ascertainment,Time Fraction,Number Of Surgeons,Percentage Operations Performed By Consultant Surgeons,Percentage Operations Performed By Career Grade Non-Consultant Surgeons,Percentage Operations Performed By Experienced Trainee Surgeons,Percentage Operations Performed By Less Experienced Trainee Surgeons,Percentage Operations With A Missing Pre-Operative VA,Median Pre-Operative LogMAR VA,Percentage Any Copathology,Unadjusted PCR Rate,Adjusted PCR Rate,Number Operations Eligible For Post-Operative VA,Percentage Operations With A Missing Post-Operative VA,Median Post-Operative LogMAR VA,Percentage Operations With Change In VA Data,Number Operations Eligible For VA Loss,Unadjusted VA Loss Rate,Adjusted VA Loss Rate
MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ENGLAND,RP6,1,8609,10627,83.89,73.14,16.11,74.37,19073,55.718,1,169,43.5,3.6,52.8,0,44.133,0.48,96.349,1.647,1.305,8714,43.493,0.18,45.329,,,
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ENGLAND,RTD,2,5926,7560,57.566,76.35,42.434,77.17,7820.298,96.672,0.984,62,68.1,9.5,19.4,3,9.749,0.5,35.886,1.243,1.621,6136,17.031,0,75.701,4645,0.474,0.941
NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ENGLAND,RM1,3,3322,4639,56.025,76.8,43.975,77.67,4789,96.868,1,31,63.7,19.1,12.7,4.5,8.795,0.5,33.671,0.97,1.283,3786,87.401,0.2,11.516,,,
LEEDS TEACHING HOSPITALS NHS TRUST,ENGLAND,RR8,4,3335,4371,56.943,76.02,43.057,76.67,4613,94.754,1,45,56.5,2.8,32.5,8.1,12.812,0.5,50.149,1.51,1.75,3582,18.76,0.1,72.194,2586,1.276,1.86
YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ENGLAND,RCB,5,3266,4212,57.265,77,42.735,77,4730,89.049,1,29,82,0,14.7,3.3,62.227,0.48,29.938,0.855,1.117,3630,99.807,0.18,0.11,,,
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ENGLAND,RTH,6,3630,4182,61.717,77.14,38.283,78.12,4292,97.437,1,44,13.5,28.2,58.1,0.2,17.528,0.5,36.179,1.793,1.678,3507,39.008,0.1,51.982,,,
UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ENGLAND,RA7,7,3743,4154,63.962,77.03,36.038,78.77,4317,96.224,1,49,54.4,0,45.6,0,16.683,0.5,49.374,1.541,1.668,3471,18.035,0.1,70.614,2451,0.857,1.384
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ENGLAND,RTE,8,3526,4085,59.07,77.36,40.93,78.49,4130,98.91,1,37,51,24.3,21.8,2.9,30.918,0.5,41.493,1.518,1.764,3415,7.877,0.1,63.485,2168,0.554,0.993
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ENGLAND,RHQ,9,3323,3829,64.952,75.46,35.048,76.84,4979,76.903,1,37,78.4,3,10.3,8.3,7.626,0.5,41.447,1.071,1.377,3439,23.408,0.2,70.922,2439,1.148,2.057
SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ENGLAND,RXK,10,2754,3332,57.863,74.12,42.137,76.03,4107,81.13,1,80,51.7,9.6,31.9,6.8,20.168,0.6,48.409,,,2848,12.816,0.2,69.909,,,
