Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Department of Health (excl agencies),Ministerial Department,Department of Health,100,94.42,325,315.92,724,699.9,683,650.16,164,157.61,,,1996,1918.01,108,106.75,,,64,61.33,17,14.15,189,182.23,2185,2100.24,"£6,974,261","£68,412","£27,152","£16,748","£1,453,868","£642,229","£9,182,670","£1,441,578","£247,587","£1,689,165",10871835.73,,
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,325,301.81,235,233.15,1425,1381.46,344,339.88,107,105.31,24,22.08,2460,2383.69,385,385,,,,,,,385,385,2845,2768.69,"£7,774,993","£66,719",£369,"£59,543","£1,072,692","£726,351","£9,700,667","£1,953,433","£930,430","£2,883,863","£12,584,530",,
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,96,83.2,338,321.2,692,666.1,1035,1004.6,150,141.9,0,0,2311,2217,66,61.5,0,0,89,79.9,0,0,155,141.4,2466,2358.4,"£8,230,173","£118,711",£0,"£24,049","£1,089,492","£748,690","£10,211,115","£1,141,405","£320,501","£1,461,906",11673021.2,,
Health Education England,Special Health Authority,Department of Health,104,94.6,587,537.82,509,460.73,386,357.74,979,344.61,0,0,2565,1795.5,113.83,63.93,9,0.94,46,15.41,0,0,168.83,80.28,2733.83,1875.78,"£6,555,529","£115,127",£0,"£2,230","£751,878","£561,713","£7,986,477","£322,389","-£4,064","£318,325","£8,304,802",,
Health Research Authority,Special Health Authority,Department of Health,8,6.69,79,74.63,28,24.98,30,28.7,5,4.2,0,0,150,139.2,12,8.58,1,0.42,0,0,0,0,13,9,163,148.2,"£412,148",£0,£0,"£3,432","£51,796","£32,269","£499,645","£40,758","£4,420","£45,178","£544,823",,
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,20,18.96,32,31.69,8,7.2,4,3.5,0,0,64,61.35,2,2,0,0,1,1,0,0,3,3,67,64.35,"£205,874",,0,,"£40,499","£15,776","£262,149","£28,202",£0,"£28,202","£290,351",The HFEA currently has 3 vacancies,
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,8,8,26,24.4,8,7.4,5,4.5,0,0,49,46.3,0,0,0,0,0,0,0,0,0,0,49,46.3,"£173,764",£0,£0,£0,"£17,287","£16,869","£207,920",£0,"£2,992","£2,992","£210,912",,
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,108,103.37,190,182.25,439,427.0989033,337,326.68167,133,117.91,0,0,1207,1157.310573,45,42.6,1,1,4,2.7,0,0,50,46.3,1257,1203.610573,"£4,381,277","£43,321","£42,271","£16,171","£821,340","£404,568","£5,708,948","£518,690",£0,"£518,690",6227638.15,,
Monitor,Executive Non-Departmental Public Body,Department of Health,19,19,47,47,82,80,243,237,55,54,0,0,446,437,10,10,21,19.6,16,15.6,0,0,47,45.2,493,482.2,"£2,312,117",£0,£0,£0,"£493,895","£245,596","£3,051,608","£430,404","£811,816","£1,242,220","£4,293,828",,
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,11,9.76,88,80.1,235,223.12,212,194.91,58,52.09,2,2,606,561.98,18,13.07,0,0,30,27.72,0,0,48,40.79,654,602.77,"£2,047,560","£11,574",£0,£0,"£264,191","£186,852","£2,510,177","£365,877","£6,057","£371,934","£2,882,111",,
NHS Blood & Transplant,Special Health Authority,Department of Health,2250,1807,1138,1036,1499,1380,467,458,59,57,55,48,5468,4786,140,140,8,8,23,23,0,0,171,171,5639,4957,"£11,981,487","£686,438",£0,"£320,718","£1,627,032","£1,041,262","£15,656,937","£439,255",£0,"£439,255","£16,096,192",,
NHS Business Services Authority,Special Health Authority,Department of Health,1676,1499.22,455,423.72,309,301.09,175,170.48,48,46.6,0,0,2663,2441.11,,,,,,,,,0,0,2663,2441.11,"£5,080,154","£6,572","£168,999","£84,746","£605,827","£414,937","£6,361,235","£158,966",£0,"£158,966",6520201.23,,
NHS England,Executive Non-Departmental Public Body,Department of Health,1603,1426.06286,683,643.74,1241,1194.76,1821,1744.17,719,664.79,147,65.59,6214,5739.11286,240,240,26,26,,,,,266,266,6480,6005.11286,"£21,617,360",,,,"£2,699,322","£1,978,327","£26,295,009","£2,287,937","£861,471","£3,149,408","£29,444,417",,
NHS Litigation Authority,Special Health Authority,Department of Health,4,4,39,37.46,91,88.37,64,59.45,11,9.3,7,5,216,203.58,16,13.83,11,9.05,0,0,0,0,27,22.88,243,226.46,"£750,224","£81,040",£0,£774,"£99,367","£70,451","£1,001,857","£173,706",£0,"£173,706","£1,175,563",,
NHS Trust Development Authority,Special Health Authority,Department of Health,2,2,47,45,54,53,62,61,109,106,0,0,274,267,6,5,9,8.55,2,0.85,0,0,17,14.4,291,281.4,"£1,424,457","£97,581",£0,£0,"£194,942","£162,213","£1,879,194","£158,519",£0,"£158,519","£2,037,713",,
Public Health England,Executive Agency,Department of Health,1004,906.97,733,691.5,1971,1851.43,1406,1335.81,458,413.37,173,131.96,5745,5331.04,117,109.71,1,1,44,32.57,0,0,162,143.28,5907,5474.32,17500923.24,2830590.26,59014.02,105767.24,1835201.75,1751594.93,24083091.44,1020200.52,100839.2,1121039.72,25204131.16,"Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included.",costs for off payroll workers is sent from PHE Finance to DH Finance on a different return
