Title:,"Bathing water surveys, UK Guideline Standards - Percentage compliance",,,,,,,,,,,,,,,,,
Year:,1994-2011,,,,,,,,,,,,,,,,,
Geography:,United Kingdom,,,,,,,,,,,,,,,,,
Units:,percentage compliance,,,,,,,,,,,,,,,,,
Source:,"Department of the Environment (Northern Ireland) (DoE(NI)), Environment Agency (EA), Scottish Environment Protection Agency (SEPA)",,,,,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/coastal-waters/,,,,,,,,,,,,,,,,,
Copyright:,No,,,,,,,,,,,,,,,,,
Nat. Statistic:,,,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,
Release Date:,Nov-11,,,,,,,,,,,,,,,,,
Notes:,EC Bathing Water Directive (76/160/EEC).,,,,,,,,,,,,,,,,,
,Bathing waters which are closed for a season are excluded for that year,,,,,,,,,,,,,,,,,
,"At least 80 per cent of samples must have counts not exceeding the guideline limit values for total and faecal coliforms, and at least 90 per ",,,,,,,,,,,,,,,,,
,cent of samples must have counts not exceeding the guideline limit values for faecal streptococci. Must also pass the mandatory standard.,,,,,,,,,,,,,,,,,
,Inland bathing waters were identified for the first time in 1998. ,,,,,,,,,,,,,,,,,
,"In 2009, regions with identified inland bathing water sites were: Scotland (3), Thames (6) and North West (3).",,,,,,,,,,,,,,,,,
,"Data are only shown for years and regions where all sites have monitored faecal streptococci. Except for the South West in 1991, when ",,,,,,,,,,,,,,,,,
,there were no faecal stretococci samples taken at Bournemouth Hengistbury West. The bathing water has not been included in the ,,,,,,,,,,,,,,,,,
,figures shown here.,,,,,,,,,,,,,,,,,
,(a)  Thames and Southern was consildated into South East for the 2011 figures and percentage compliance backcast and re-calculated til 2007,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
UK,37,44,48,39,33,55,53,53,60,76,66,73,77,64,59,66,69,76.9
England,28.8,41.1,40.3,35.2,37.5,37.3,45.2,59.7,70.6,73.9,68.1,74.8,76.2,72.8,66.7,70.6,73,79.5
Wales,20,38.2,41.1,48.4,36.8,55.7,42.7,60,82.7,83.3,85.9,91.3,88.8,86.3,76.5,88.9,85,88.6
Scotland,26.1,21.7,21.7,21.7,13,44.8,41.4,41.4,41.4,67.2,55.2,56.9,55.7,49.2,49.4,57.1,53.2,48.8
Northern Ireland,75,75,87.5,50,43.8,81.3,81.3,50,43.8,81.3,56.3,68.8,87.5,47.8,41.7,45.8,66.7,83.3
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
North East,19.6,46.4,21.4,8.9,3.6,9.1,14.3,60,62.5,65.5,52.7,67.3,80,72.7,61.1,74.1,74.1,90.7
Anglian,33.3,26.5,28.6,40,47.2,50,40.5,59.5,81.6,84.2,68.4,84.6,71.8,71.8,78.9,84.2,84.6,90
Thames,0,33.3,33.3,33.3,0,0,33.3,60,100,37.5,50,75,75,50,50,37.5,87.5,
Southern,16.4,41.8,50.7,41.3,49.4,48.1,46.8,54.4,75.9,77.2,69.6,82.3,78.2,79,70.4,76.5,68.3,
South East (a),,,,,,,,,,,,,,76.4,68.5,73,70,73.3
South West,40.6,50,52.2,46.1,48.1,45.1,,70.6,79.6,79.3,81.1,81.6,84.3,78.4,73.3,75.4,80.1,84.8
North West,5.9,0,0,2.9,2.9,5.9,8.8,11.8,5.9,47.1,20.6,20.6,24.2,31.3,18.2,15.2,20,30
