Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,D-U-N-S Number,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,01/11/2013,Agency Staff,Finance & Corporate Services,SQUARE ONE RESOURCES LTD,,Medium,,491410288,5106197857,interim Manager,EC2A 2AD,"2,858.82",
Communities & Local Government,DCLG,01/11/2013,Agency Staff,Finance & Corporate Services,SQUARE ONE RESOURCES LTD,,Medium,,491410288,5106198353,interim Manager,EC2A 2AD,"2,858.82",
Communities & Local Government,DCLG,01/11/2013,Current Grants to Non Profit Bodies,Localism,CFOA (NATIONAL RESILIANCE) LTD,,Small,,211512993,2100235464,CFOA CNR Assurance Work Grant 2013/14 2nd half,GL56 0RH,"1,757,114.00",Yes
Communities & Local Government,DCLG,01/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,BRITISH CHAMBERS OF COMMERCE,,,,,2100235723,Grant for organising the LEP Network,B60 4AL,"63,613.00",Yes
Communities & Local Government,DCLG,01/11/2013,Electricity,Finance & Corporate Services,EDF ENERGY 1 LIMITED,,Large,,230840469,5106198349,Rivergate Electricity 2013-14,PL3 5XQ,"10,217.15",
Communities & Local Government,DCLG,01/11/2013,Electricity,Finance & Corporate Services,EDF ENERGY 1 LIMITED,,Large,,230840469,5106198349,Rivergate Electricity 2013-14(0%),PL3 5XQ,8.10,
Communities & Local Government,DCLG,01/11/2013,Electricity,Finance & Corporate Services,EDF ENERGY 1 LIMITED,,Large,,230840469,5106198350,Rivergate Electricity 2013-14,PL3 5XQ,"12,056.09",
Communities & Local Government,DCLG,01/11/2013,Fees,Strategy and Private Office Group,MR S J HAY,,,,,2100235905,FEES + ERS ,,"5,158.98",
Communities & Local Government,DCLG,01/11/2013,IT - Service Contracts,Neighbourhoods,DEXTROUS WEB LTD,,Micro,,211267270,5106198344,Service contract for Planning Guidance website,N1 7NG,868.80,
Communities & Local Government,DCLG,01/11/2013,Publications,Finance & Corporate Services,SWETS INFORMATION SERVICES LTD,,Large,,216230292,5106198252,vat charges,OX14 1UQ,"1,842.00",
Communities & Local Government,DCLG,01/11/2013,Services provided by other Govt Orgs,Finance & Corporate Services,DEPT FOR EDUCATION,,Public Bodies,,237031612,5106198355,DCLG Security Vetting 2013-14,CF14 3UW,"1,773.59",Yes
Communities & Local Government,DCLG,01/11/2013,Software Licences,Finance & Corporate Services,HYPERTEC LTD,,Medium,,,5106198341,Inv251576 - R&W Gold x 2 - Assistive tec,RG17 0YX,644.52,
Communities & Local Government,DCLG,01/11/2013,Software Licences,Finance & Corporate Services,HYPERTEC LTD,,Medium,,,5106198342,Invoice 249484 - R&W and Inspiration,RG17 0YX,369.76,
Communities & Local Government,DCLG,01/11/2013,Training,Finance & Corporate Services,SURREY UNIVERSITY,,Large,,,5106198348,Bursary - MSc in Economics,GU2 7XH,"5,720.00",
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,BISHOP GROSSETESTE UNIV COLL LINCOL,,Large,,,7600006570,Revenue Grant To Be Paid,LN1 3DY,"5,474.04",Yes
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,GLOUCESTERSHIRE UNIVERSITY,,,,,7600006573,Revenue Grant To Be Paid,GL50 2RH,"48,987.86",Yes
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,GRIMSBY INSTITUTE OF F&H EDUCATION,,Large,,,7600006350,Revenue Grant To Be Paid,DN34 5BQ,"9,424.42",Yes
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HERITAGE TRUST OF LINCOLNSHIRE,,Small,,,7600006576,Revenue Grant To Be Paid,NG34 9RW,"2,327.19",Yes
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LEICESTER UNIVERSITY,,Large,,,7600006572,Revenue Grant To Be Paid,LE1 7RH,"65,500.77",Yes
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LEICESTER UNIVERSITY,,Large,,,7600006577,Revenue Grant To Be Paid,LE1 7RH,"30,557.35",Yes
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM CITY COUNCIL,,Large,,,7600006571,Revenue Grant To Be Paid,NG2 3NG,"21,727.97",Yes
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,HEADCAST LTD,,Micro,,,7600006575,Capital Grant To Be Paid,TR10 9TA,"14,922.78",Yes
Communities & Local Government,DCLG,01/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,INDIANA DEVELOPMENTS LLP,,Micro,,,7600006574,Capital Grant To Be Paid,EX21 5PU,"283,850.77",Yes
Communities & Local Government,DCLG,04/11/2013,IT - Service Contracts,Localism,INFORMED SOLUTIONS LTD,,Small,,346179542,5106198362,Service Management October 13 to 28 Janu,WA14 4PA,"15,505.70",
