Prompt Payment Report - 2014/15,,
,,
5 Day Prompt Payment Reporting,,
Name of organisation,UK Atomic Energy Authority (NDPB),
Reporting Month:,22 February - 31 March (P12),
,,
No. of invoices received,1928,
No. of invoices paid within 5 working days or less,1217,
No. of Invoices paid over 5 working days,695,
No. of disputed invoices*,16,
% of invoices paid within 5 days,64%,
,,
,,
Note:,,
,,
Disputed invoices are not included in statistics,,
The following payment types are excluded from the return:,,
Payments to Staff (e.g. salary or T&S costs),,
Foreign Currency Payments,,
Any Grant Payments,,
,,
,,
