Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,Department for Transport,02/06/2014,Agency Staff Costs,Rail Franchising,LA INTERNATIONAL COMPUTER,100005897,-11520.02,#,ST1 5UB
Department for Transport,Department for Transport,02/06/2014,Agency Staff Costs,Rail Franchising,LA INTERNATIONAL COMPUTER,100005897,11520.02,#,ST1 5UB
Department for Transport,Department for Transport,02/06/2014,Machinery Rental,Principal Priv. Secretary & Head of Private Office,XEROX (UK) LTD,1500000003,-850,#,BN13 1QG
Department for Transport,Department for Transport,02/06/2014,Maintenance Other,Motoring Services,ARVAL PHH,2000004975,3726.13,#,SN5 6PE
Department for Transport,Department for Transport,02/06/2014,Media & Press,Group Communication,CABINET OFFICE,2000004973,47400,#,CF14 3UW
Department for Transport,Department for Transport,02/06/2014,Research,Local,HaskoningDHV UK Limited,2000004980,33000,#,PE3 8DW
Department for Transport,Department for Transport,02/06/2014,Research Grant-PS,Analysis & Strategy,Newcastle University,2000004981,10000,Research grant University of Newcastle,NE1 7RU
Department for Transport,Department for Transport,02/06/2014,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000004978,720.9,#,DL3 6XR
Department for Transport,Department for Transport,02/06/2014,Transport  Consult,Rail Franchising,TRANSPORT RESEARCH LABORATORY,2000004976,112458.65,#,RG40 3GA
Department for Transport,Department for Transport,03/06/2014,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000005027,4036.38,#,BN11 2BW
Department for Transport,Department for Transport,03/06/2014,Agency Staff Costs,Group Human Resource,EXPERIS LTD,2000005034,3834.72,#,EC1R 3DR
Department for Transport,Department for Transport,03/06/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000005024,2599.58,#,KT3 4JQ
Department for Transport,Department for Transport,03/06/2014,Agency Staff Costs,Rail Commercial & Programme Office,EXPERIS LTD,2000005034,2751.22,#,EC1R 3DR
Department for Transport,Department for Transport,03/06/2014,Agency Staff Costs,Rail Commercial & Programme Office,MORGAN HUNT UK LTD,2000005038,4311.38,#,EC4M 7EG
Department for Transport,Department for Transport,03/06/2014,Agency Staff Costs,Strategic Roads & Smart Ticketing,CAPITA RESOURCING LTD,2000005044,8950.92,#,DL1 9HN
Department for Transport,Department for Transport,03/06/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Homeco Technologies Ltd,2000005053,31989.5,HomeCo March 2014 #31989.50,S17 4DP
Department for Transport,Department for Transport,03/06/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Retroflo Limited,2000005052,156948.5,Retroflo various Jan- April 2014 #156948.50,DH6 2UZ
Department for Transport,Department for Transport,03/06/2014,Computer equipment,Motoring Services,E-Cycle Limited,2000005051,1771.92,#,CF39 9BW
Department for Transport,Department for Transport,03/06/2014,Contract Cleaning,Marine Accident Investigation Branch,PROGRESS CLEANING SERVICES,2000005025,702,#,SO30 2FQ
Department for Transport,Department for Transport,03/06/2014,Data Supply - TD,Transport Direct&Travel,Rail Settlement Plan,2000005039,1816.98,#,EC1A 4HD
Department for Transport,Department for Transport,03/06/2014,Electricity,Air Accident Investigation Branch,MINISTRY OF DEFENCE,2000005045,-3487.54,Incorrect Payment,L2 3YL
Department for Transport,Department for Transport,03/06/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF Caisse Generale,2000005005,5726158.21,SNCF GBP PAY MAY 2014,93633
Department for Transport,Department for Transport,03/06/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,SNCF TRESORERIE ENC RHT VFE,2000005004,5783703.89,#,75014
Department for Transport,Department for Transport,03/06/2014,Hospitality,Group Procurement & Estate,AMEY COMMUNITY LIMITED,2000005028,2897.17,Hospitality Charges - Arpil 2014,OX4 4DQ
Department for Transport,Department for Transport,03/06/2014,Hospitality,Group Procurement & Estate,AMEY COMMUNITY LIMITED,2000005028,3641.74,Hospitality Charges March 2014,OX4 4DQ
Department for Transport,Department for Transport,03/06/2014,HR Consultancy,Group Human Resource,EMPLOYEE ADVISORY RESOURCE LTD,2000005035,1074.25,#,W4 5YB
Department for Transport,Department for Transport,03/06/2014,IT Equip Cap Cost,Air Accident Investigation Branch,BASSOM COMPUTER CONSULTANCY,2000005030,12554.7,#,GU9 8LS
Department for Transport,Department for Transport,03/06/2014,Legal Consultancy,Rail Franchising,Eversheds LLP,2000005048,6989.76,#,EC2V 7WS
Department for Transport,Department for Transport,03/06/2014,Medical Advisory Ser,Group Human Resource,HEALTH MANAGEMENT LTD,2000005036,912.5,#,BN8 5NN
Department for Transport,Department for Transport,03/06/2014,Medical Advisory Ser,Group Human Resource,HEALTH MANAGEMENT LTD,2000005036,2691.7,#,BN8 5NN
Department for Transport,Department for Transport,03/06/2014,Occup Health Scheme,Group Human Resource,HEALTH MANAGEMENT LTD,2000005036,1125,#,BN8 5NN
Department for Transport,Department for Transport,03/06/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000005047,9696.2,#,EC4M 7RD
Department for Transport,Department for Transport,03/06/2014,Small Software,Aviation,CONNECT INTERNET SOLUTIONS LTD,2000005031,3900,#,L2 6SG
