Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003191762,"33,038.21"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003191762,"27,531.84"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003191762,"-33,038.21"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003194013,"27,531.84"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003194013,"27,531.84"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003194013,"5,506.37"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003194013,"-5,506.37"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,26/10/2012,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003194013,"-27,531.84"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,05/10/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1257985,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,05/10/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1257985,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,05/10/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1257985,"6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,05/10/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1257985,"-6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,05/10/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1257985,"-33,176.62"
