Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number
Department of Health,National Institute for Health & Clinical Excellence,21/06/2011,Agency Admin & Clerical,Specialist Resources,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,13165319,41262.25,
Department of Health,National Institute for Health & Clinical Excellence,02/06/2011,Computer Maintenance,NP - Technology,LOGICA UK LTD,13076014,30784.8,
Department of Health,National Institute for Health & Clinical Excellence,16/06/2011,Computer Maintenance,NP - Technology,LOGICA UK LTD,13150885,47962.8,
Department of Health,National Institute for Health & Clinical Excellence,30/06/2011,Computer Maintenance,NP - Technology,LOGICA UK LTD,13225255,30824.64,
Department of Health,National Institute for Health & Clinical Excellence,30/06/2011,Computer Maintenance,NP - Technology,LOGICA UK LTD,13225257,47962.8,
Department of Health,National Institute for Health & Clinical Excellence,14/06/2011,Computer Software/License,NP-IT,SOFTCAT LTD,13134368,60708.38,
Department of Health,National Institute for Health & Clinical Excellence,01/06/2011,Contr Other External,NP - Evaluation Pathway,ST GEORGES HEALTHCARE NHS TRUST,12991164,33006,
Department of Health,National Institute for Health & Clinical Excellence,02/06/2011,Contr Other External,NP - Exhibitions and Events,NEAL DISPLAY,13076011,26348.83,
Department of Health,National Institute for Health & Clinical Excellence,08/06/2011,Contr Other External,NP- PH Excellence Office,UNIVERSITY OF SHEFFIELD,13096154,188750,
Department of Health,National Institute for Health & Clinical Excellence,08/06/2011,Contr Other External,NP- PH Excellence Office,UNIVERSITY OF SHEFFIELD,13096175,-188750,
Department of Health,National Institute for Health & Clinical Excellence,07/06/2011,Contr Other External,NP- PH Programmes,PENINSULA COLLEGE OF MEDICINE & DENTISTRY,13087935,37144,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Contr Other External,NP-IT,INSPIRED NETWORKS,13195287,21518.8,
Department of Health,National Institute for Health & Clinical Excellence,14/06/2011,Legal / Prof Fees,NP- Board and CE,BEACHCROFT LLP,13134345,22590,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,13210694,25606.4,
Department of Health,National Institute for Health & Clinical Excellence,16/06/2011,Postage & Carriage,NP- Mailing Services,THE STATIONERY OFFICE LTD,13141851,26415.36,
Department of Health,National Institute for Health & Clinical Excellence,16/06/2011,Postage & Carriage,NP- Mailing Services,THE STATIONERY OFFICE LTD,13141852,25374.25,
Department of Health,National Institute for Health & Clinical Excellence,16/06/2011,Postage & Carriage,NP- Mailing Services,THE STATIONERY OFFICE LTD,13141857,22481.82,
Department of Health,National Institute for Health & Clinical Excellence,27/06/2011,CHAPS Control Account,Balance Sheet,AMAS LTD,13204413,50346,
Department of Health,National Institute for Health & Clinical Excellence,30/06/2011,CHAPS Control Account,Balance Sheet,CAPITA BUSINESS TRAVEL,13226256,70878.01,
Department of Health,National Institute for Health & Clinical Excellence,16/06/2011,Rent,NP Corporate Services Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,13141848,69437.5,
Department of Health,National Institute for Health & Clinical Excellence,16/06/2011,Rent,NP Corporate Services Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,13141849,66313.71,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence, NP - Engagement and Management,UNIGLOBE GEMINI TRAVEL,13195279,2065.3,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence,NP - Diagnostics Progamme,UNIGLOBE GEMINI TRAVEL,13195279,109,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence,Fully Recovered: International Commercial Activity,UNIGLOBE GEMINI TRAVEL,13195279,13231.19,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence,NP - NPC,UNIGLOBE GEMINI TRAVEL,13195279,195.3,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence,NP- Board and CE,UNIGLOBE GEMINI TRAVEL,13195279,13342.72,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence,NP-CP Guidelines,UNIGLOBE GEMINI TRAVEL,13195279,6623.56,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence,NP-HTE Appraisals,UNIGLOBE GEMINI TRAVEL,13195279,4454.21,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence,NP-Intervention Procedure,UNIGLOBE GEMINI TRAVEL,13195279,4374.65,
Department of Health,National Institute for Health & Clinical Excellence,28/06/2011,Travel & Subsistence,Np- Topic Selection,UNIGLOBE GEMINI TRAVEL,13195279,166.06,
