Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Tax Code,Amount,Vat Registration Number,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,12.49,466477701,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,20.62,466477701,
NHS,NHS Hertfordshire,05/11/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10118545,R,148.73,238034379,
NHS,NHS Hertfordshire,05/11/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10118545,R,184.69,238034379,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,293.02,466477701,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,331.50,466477701,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,331.50,466477701,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,331.51,466477701,
NHS,NHS Hertfordshire,05/11/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10118545,R,453.71,238034379,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,570.90,466477701,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,667.18,466477701,
NHS,NHS Hertfordshire,05/11/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10118545,R,705.18,238034379,
NHS,NHS Hertfordshire,05/11/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10118545,R,705.18,238034379,
NHS,NHS Hertfordshire,05/11/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10118545,R,705.18,238034379,
NHS,NHS Hertfordshire,05/11/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10118545,R,705.18,238034379,
NHS,NHS Hertfordshire,30/10/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10117644,R,734.22,466477701,
