5. Internet and web-based content,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,
Internet and web-based content: key international statistics ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,UK ,FRA ,GER ,ITA ,USA ,CAN ,JPN ,AUS ,ESP ,NED ,SWE ,IRL ,POL ,BRA ,RUS ,IND ,CHN 
Online universe (m)* ,41.3,44.1,48.3,29.6,199.3,n/a ,59.9,13.8,21.8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a 
Fixed broadband connections per 100 HH? ,77,81,70,54,76,86,67,66,65,93,63,71,42,28,44,6,39
Cellular broadband connections per 100 population? ,8,5,7,10,n/a,4,8,25,7,6,21,13,9,n/a ,n/a ,n/a ,n/a 
Internet access via a mobile phone(%)? ,38,30,31,37,33,n/a,43,32,46,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,70
,,,,,,,,,,,,,,,,,
"Source: IDATE / Industry data / Ofcom, Nielsen",,,,,,,,,,,,,,,,,
"*Nielsen, month of August 2012, home and work panel, applications included.",,,,,,,,,,,,,,,,,
"? IDATE / Industry data / Ofcom, 2011.",,,,,,,,,,,,,,,,,
"?Ofcom international research, October 2012. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.2,,,,,,,,,,,,,,,,,
Internet share of total advertising expenditure ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internet share of all advertising spend (%) ,,,,,,,,,,,,,,,,,
Country,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,
UK,6.08%,9.71%,14.11%,18.51%,22.56%,27.02%,28.68%,32.54%,,,,,,,,,
NED,1.93%,4.76%,13.83%,16.64%,18.41%,21.76%,26.23%,29.01%,,,,,,,,,
SWE,7.23%,9.84%,13.31%,16.84%,19.51%,23.06%,25.32%,26.94%,,,,,,,,,
AUS,4.19%,6.23%,9.64%,11.64%,14.27%,17.06%,18.68%,22.24%,,,,,,,,,
GER,1.85%,2.23%,9.62%,13.02%,15.52%,17.78%,19.76%,21.98%,,,,,,,,,
USA,6.25%,7.82%,10.11%,12.70%,14.86%,17.22%,18.25%,21.57%,,,,,,,,,
POL,1.67%,2.51%,3.35%,8.13%,11.22%,19.39%,17.84%,21.02%,,,,,,,,,
CAN,3.52%,5.15%,7.68%,10.06%,12.44%,15.30%,17.70%,20.30%,,,,,,,,,
FRA,1.75%,2.43%,5.85%,11.57%,13.81%,15.28%,15.69%,17.55%,,,,,,,,,
ESP,1.53%,2.42%,4.25%,6.21%,8.96%,11.81%,14.08%,16.88%,,,,,,,,,
JPN,3.31%,6.41%,8.21%,10.32%,12.66%,14.54%,16.22%,16.83%,,,,,,,,,
IRL*,,0.79%,0.93%,1.37%,1.29%,7.94%,9.47%,14.28%,,,,,,,,,
ITA,1.38%,1.59%,5.30%,7.01%,8.31%,10.03%,11.20%,12.94%,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: Warc data (www.warc.com) ,,,,,,,,,,,,,,,,,
"Note: Data do not include mobile advertising, a small but growing new market. This is particularly relevant to Japan where in 2011 mobile advertising accounted for approximately 3.5% of total advertising expenditure. * Data prior to 2009 exclude paid-for search advertising. Internet data from 2009 include display, classified, search and email and are not comparable with those of previous years. Notes on adspend by country available at http://www.warc.com/Pages/ForecastsAndData/NotesandSources.info ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.03,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.3,,,,,,,,,,,,,,,,,
"Total wired internet advertising expenditure, per head 2007-12 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internet advertising spend per head (GBP) ,,,,,,,,,,,,,,,,,
Country,2007,2008,2009,2010,2011,YoY Growth 10/11 ,,,,,,,,,,,
UK,46.06,54.63,57.6,65.51,76.07,16%,,,,,,,,,,,
FRA,19.82,23.4,23.8,26.31,29.11,11%,,,,,,,,,,,
GER,26.62,31.95,34.13,38.39,43.04,12%,,,,,,,,,,,
ITA,9.86,11.78,12.44,14.73,16.93,15%,,,,,,,,,,,
USA,43.64,47.83,45.93,52.43,63.3,21%,,,,,,,,,,,
CAN,23.67,30.49,34.5,42.13,51.31,22%,,,,,,,,,,,
JPN,39.32,47.89,49.26,54.42,57.93,6%,,,,,,,,,,,
AUS,41.67,52.28,56.57,67.65,72.59,7%,,,,,,,,,,,
ESP,9.22,11.78,12.33,14.8,16.61,12%,,,,,,,,,,,
NED,38.17,41.8,42.36,49.71,53.92,8%,,,,,,,,,,,
SWE,39.06,46.51,48.09,55.5,62.66,13%,,,,,,,,,,,
IRL,13.43,14.73,18.47,20.44,24.91,22%,,,,,,,,,,,
POL,4.1,6.21,7.07,8.5,10.59,25%,,,,,,,,,,,
BRA,1.27,1.74,2.16,2.74,3.16,15%,,,,,,,,,,,
RUS,1.93,2.28,2.5,4.15,6.49,56%,,,,,,,,,,,
CHN,0.71,1.12,1.37,2.43,3.59,48%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: PricewaterhouseCoopers Global Entertainment and Media Outlook: 2012-2016 www.pwc.com/outlook, US Census Bureau (EoY estimates from mid-year values) ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
icmr-5.04,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 5.4,,,,,,,,,,,,,,,,,
"Wired internet advertising expenditure, by category ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Proportion of internet advertising revenue (%) ,,,,,,,,,,,,,,,,,
Country,Type,Classified,Display,Video,Search,,,,,,,,,,,,
UK,2010,19,23,1,57,,,,,,,,,,,,
,2011,17,23,2,57,,,,,,,,,,,,
FRA,2010,38,28,2,32,,,,,,,,,,,,
,2011,38,28,2,32,,,,,,,,,,,,
GER,2010,23,23,2,52,,,,,,,,,,,,
,2011,23,22,2,53,,,,,,,,,,,,
ITA,2010,22,37,2,40,,,,,,,,,,,,
,2011,21,35,2,42,,,,,,,,,,,,
