Company(T),Trans.date,Supplier Name(T),TransNo,Amount,Irrecoverable VAT,Service/Dept(T),Procurement Category,Account code,Account code(T),Narrative/Purpose of Spend,Govt Procurement Card
East Cambridgeshire District Council,03/03/2016,Ernst & Young Llp,635099,580,,Finance - Accountancy,Employees,1135,Training - External,Accounting workshop 26/1/16 for 2 delegates,
East Cambridgeshire District Council,03/03/2016,Brampton Valley Training,635100,870,,Parks And Open Spaces,Employees,1135,Training - External,1 day City & Guilds Ride on Mower Training & Assessment - 4&11/3/16,
East Cambridgeshire District Council,03/03/2016,Brampton Valley Training,635100,870,,Sanctuary Grasscutting,Employees,1135,Training - External,1 day City & Guilds Ride on Mower Training & Assessment - 4&11/3/16,
East Cambridgeshire District Council,22/03/2016,CIEH ,5104695,89,,Training,Employees,1135,Training - External,Redacted Personal Data,Y
East Cambridgeshire District Council,22/03/2016,Ironmongery Direct,5104695,53.55,,The Grange,Premises,2010,Premises Materials,Kick Plates,Y
East Cambridgeshire District Council,01/03/2016,Thrift Energy Ltd,635002,"3,420.00",,Env Health Works in Default,Premises,2020,Premises Contract Work,insulation shortfall - redacted - personal data,
East Cambridgeshire District Council,02/03/2016,C D Clowe,635028,609.84,,Portley Hill Littleport Depot,Premises,2020,Premises Contract Work,Remove Floodlights and install LED Floodlights - Portley Hill Depot,
East Cambridgeshire District Council,17/03/2016,Neil Sweeney,635155,"1,290.00",,The Grange,Premises,2020,Premises Contract Work,,
East Cambridgeshire District Council,03/03/2016,AmeyCespa (East) Limited,1133640,806.72,,EI Recycling,Premises,2020,Premises Contract Work,Plastic Bottle Bring Bank Scheme Oct-Dec 2015,
East Cambridgeshire District Council,29/03/2016,Aztek Services Ltd,1133824,"1,748.00",,E Space North,Premises,2020,Premises Contract Work,Annual Service charge E-Space North,
East Cambridgeshire District Council,25/02/2016,Airelec Maintenance Ltd,634972,"7,607.00",,The Grange,Premises,2030,Premises Asset Management,Replacement works Feb 2016,
East Cambridgeshire District Council,02/03/2016,Dal Rod,635056,685,,Travellers Site - Wentworth,Premises,2030,Premises Asset Management,Wentworth Travellers Site,
East Cambridgeshire District Council,07/03/2016,NB Carpentry Ltd,635081,"4,932.25",,The Grange,Premises,2030,Premises Asset Management,Fire door replacement at the Grange,
East Cambridgeshire District Council,08/03/2016,Dal Rod,635086,625,,Travellers Site - Wentworth,Premises,2030,Premises Asset Management,Wentworth caravan park 1/3/16 empty & clean ditch,
East Cambridgeshire District Council,14/03/2016,Camline Cambridge Ltd,635128,594,,Littleport Station Car Park,Premises,2030,Premises Asset Management,Littleport Station Car Park - Marking Out,
East Cambridgeshire District Council,14/03/2016,Dal Rod,635129,"1,336.00",,Travellers Site - Wentworth,Premises,2030,Premises Asset Management,Wentworth Travellers Site,
East Cambridgeshire District Council,16/03/2016,Airelec Maintenance Ltd,635149,"1,502.00",,The Grange,Premises,2030,Premises Asset Management,Replacement works Finance,
East Cambridgeshire District Council,23/03/2016,Drake Towage Ltd,635212,"12,535.13",,Open Spaces,Premises,2030,Premises Asset Management,Installation of new Timber Fender,
East Cambridgeshire District Council,18/03/2016,Skanska Construction UK Ltd,635225,818.25,,Parking Of Vehicles,Premises,2030,Premises Asset Management,Barton Road Car Park - Streetlight Column,
East Cambridgeshire District Council,24/03/2016,NB Carpentry Ltd,635230,826.59,,The Grange,Premises,2030,Premises Asset Management,,
East Cambridgeshire District Council,19/02/2016,Southern Electric,1133588,"2,507.05",,Portley Hill Littleport Depot,Premises,2110,Electricity,"571327722 Hut in Council Depot, Barton Rd",
East Cambridgeshire District Council,21/03/2016,Southern Electric,1133755,727.33,,"PC Cloisters, Ely",Premises,2110,Electricity,"191328221 Public Toilets, Cloisters",
East Cambridgeshire District Council,21/03/2016,Southern Electric,1133757,"6,650.33",,The Grange,Premises,2110,Electricity,311425840 The Grange,
East Cambridgeshire District Council,21/03/2016,Southern Electric,1133759,999.85,,The Grange,Premises,2110,Electricity,"551327357 Office Services, The Grange",
East Cambridgeshire District Council,21/03/2016,Southern Electric,1133765,"-2,507.05",,Portley Hill Littleport Depot,Premises,2110,Electricity,571327722 Hut in Council Depot,
East Cambridgeshire District Council,21/03/2016,Southern Electric,1133768,"-2,488.04",,The Grange,Premises,2110,Electricity,311425840 The Grange,
East Cambridgeshire District Council,21/03/2016,Southern Electric,1133767,-968.03,,The Grange,Premises,2110,Electricity,"551327357 Office Services, The Grange",
East Cambridgeshire District Council,21/03/2016,Southern Electric,1133769,-541.48,,"PC Cloisters, Ely",Premises,2110,Electricity,191328221 Public Toilets Cloisters,
East Cambridgeshire District Council,15/03/2016,ESPO,1133737,"1,163.69",,The Grange,Premises,2120,Gas,31/1/16 to 29/2/16 M040A173612A6,
East Cambridgeshire District Council,15/03/2016,ESPO,1133740,659.96,,E Space North,Premises,2120,Gas,31/1/16 to 29/2/16 M025A0234205A6,
East Cambridgeshire District Council,22/03/2016,TV Licensing,5104695,145.5,,The Grange,Premises,2841,Licences,Licence Renewal,Y
East Cambridgeshire District Council,29/03/2016,Zurich Municipal,1133822,"4,015.26",,Insurance Premiums Susp A/C,Premises,2911,Insurance - Other Indemnities,F-19H085-0121 13/14,
East Cambridgeshire District Council,29/03/2016,Zurich Municipal,1133823,"1,173.64",,Insurance Premiums Susp A/C,Premises,2911,Insurance - Other Indemnities,F-19H085-0131 13/14,
East Cambridgeshire District Council,21/03/2016,Zurich Municipal,1133792,-602.28,,Insurance Premiums Susp A/C,Premises,2911,Insurance - Other Indemnities,F-19H085-0121 Credit 13/14,
East Cambridgeshire District Council,02/03/2016,Be Fuelcards,1133641,598.76,,Sanctuary Grasscutting,Transport,3021,Derv,Fuelcards February 2016,
East Cambridgeshire District Council,17/03/2016,Commercial Services Trading Ltd,1133748,"4,053.33",264.51,Leased Cars,Transport,3051,Purchase Vehicles,EJ64ZCE 16/2/16-15/2/17,
East Cambridgeshire District Council,29/03/2016,Commercial Services Trading Ltd,1133821,"6,441.17",497.67,Leased Cars,Transport,3051,Purchase Vehicles,AF15 DUA 20/3/16-19/3/17,
East Cambridgeshire District Council,22/03/2016,Commercial Services Trading Ltd,1133778,"-3,030.87",-228.64,Leased Cars,Transport,3051,Purchase Vehicles,GJ62FAK 10/12/15-13/09/16,
East Cambridgeshire District Council,17/03/2016,Evacuation Chair Shop.com,635154,524.99,,E Space North,Supplies and Services,4010,Equipment - Purchases,,
East Cambridgeshire District Council,18/03/2016,Shaw & Sons Ltd,635184,"1,102.50",,Local Elections,Supplies and Services,4010,Equipment - Purchases,Plastic ballot boxes with lid,
East Cambridgeshire District Council,22/03/2016,Ernest Doe & Sons Ltd,635191,"1,914.00",,Sanctuary Grasscutting,Supplies and Services,4010,Equipment - Purchases,,
East Cambridgeshire District Council,22/03/2016,Spaldings (UK) Ltd,635227,624,,Parks And Open Spaces,Supplies and Services,4010,Equipment - Purchases,Stihl H/Trimmer Attachment,
East Cambridgeshire District Council,22/03/2016,Amazon,5104695,197.05,,Emergency Planning,Supplies and Services,4010,Equipment - Purchases,"Chargers, backpacks",Y
East Cambridgeshire District Council,02/03/2016,Tailormade Metal Fabrications Ltd,635022,592.43,,Parks And Open Spaces,Supplies and Services,4011,Equipment - Repairs,Indespension trailer tipper,
East Cambridgeshire District Council,07/03/2016,Cambridge Door Services Ltd,635090,643.4,,Parking Of Vehicles,Supplies and Services,4011,Equipment - Repairs,Traffic barriers @ Fountain Lane & Clay St,
East Cambridgeshire District Council,17/03/2016,Ben Burgess & Co Ltd,635151,829.38,,Parks And Open Spaces,Supplies and Services,4011,Equipment - Repairs,Full Service on Timber TW190TDHB,
East Cambridgeshire District Council,26/02/2016,Nationwide Platforms Ltd,634977,"2,159.60",,Open Spaces,Supplies and Services,4013,Equipment - Hire,Sixteen foot bank 10/2/16-15/2/16,
East Cambridgeshire District Council,22/03/2016,AJ & R Scamblers & Sons Ltd,635241,"22,456.50",,Parks And Open Spaces,Supplies and Services,4015,S106 Spend,Amazone Proffi hopper smart cut,
