CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,5280,93.9%,344,6.1%
P01-Avon&Somerset,148,94.9%,8,5.1%
P02-Bedfordshire,35,97.2%,1,2.8%
P03-Cambridgeshire,46,97.9%,1,2.1%
P04-Cheshire,60,92.3%,5,7.7%
P06-Cleveland,79,96.3%,3,3.7%
P07-Cumbria,71,92.2%,6,7.8%
P08-Derbyshire,82,94.3%,5,5.7%
P09-Devon&Cornwall,120,92.3%,10,7.7%
P10-Dorset,42,97.7%,1,2.3%
P11-Durham,30,93.8%,2,6.3%
P12-DyfedPowys,95,96.9%,3,3.1%
P13-Essex,137,95.1%,7,4.9%
P14-Gloucestershire,35,100.0%,0,0.0%
P15-GreaterManchester,283,89.8%,32,10.2%
P16-Gwent,67,97.1%,2,2.9%
P17-Hampshire,149,93.1%,11,6.9%
P18-Hertfordshire,89,94.7%,5,5.3%
P19-Humberside,67,97.1%,2,2.9%
P20-Kent,87,83.7%,17,16.3%
P21-Lancashire,167,99.4%,1,0.6%
P22-Leicestershire,40,93.0%,3,7.0%
P23-Lincolnshire,40,100.0%,0,0.0%
P24-Merseyside,362,92.8%,28,7.2%
P25-Metropolitan&City,1223,94.2%,75,5.8%
P26-Norfolk,76,95.0%,4,5.0%
P27-Northamptonshire,33,91.7%,3,8.3%
P28-Northumbria,170,92.4%,14,7.6%
P29-NorthWales,38,97.4%,1,2.6%
P30-NorthYorkshire,41,87.2%,6,12.8%
P31-Nottinghamshire,93,98.9%,1,1.1%
P32-SouthWales,184,93.4%,13,6.6%
P33-SouthYorkshire,88,89.8%,10,10.2%
P34-Staffordshire,65,97.0%,2,3.0%
P35-Suffolk,49,94.2%,3,5.8%
P36-Surrey,68,98.6%,1,1.4%
P37-Sussex,86,90.5%,9,9.5%
P38-ThamesValley,142,94.7%,8,5.3%
P39-Warwickshire,17,100.0%,0,0.0%
P40-WestMercia,70,100.0%,0,0.0%
P41-WestMidlands,259,92.8%,20,7.2%
P42-WestYorkshire,213,91.0%,21,9.0%
P43-Wiltshire,34,100.0%,0,0.0%
