Transparency data above £500 for period ending October 2010,,,,,,,,,
,,,,,,,,,
Dept Family,Entity,Posting Date,Expense Type,Expense Area,Vendor Name,Document ref,Amount,Cost Centre,Cost Element
CLG,VTS,01/10/2010,Property maintenance,Estates,WAINGAP CONTRACTS LTD,2100075403,"4,507.01",8002,40225
CLG,VTS,04/10/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100075412,879.98,8028,40002
CLG,VTS,04/10/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100075413,728.32,8028,40002
CLG,VTS,04/10/2010,Meeting expenses,VTE,NORTON PARK HOTEL LTD,2100075435,507.50,8039,40519
CLG,VTS,04/10/2010,Outsourced services,Central Services,LOGICA CMG UK LTD,2100075414,948.40,8015,40116
CLG,VTS,04/10/2010,Property maintenance,Estates,COFELY LTD,2100075428,650.59,8002,40225
CLG,VTS,04/10/2010,Property maintenance,Estates,COFELY LTD,2100075429,650.59,8002,40225
CLG,VTS,04/10/2010,Security,Estates,PAL SECURITY SYSTEMS LTD,2100075416,660.91,8034,40110
CLG,VTS,05/10/2010,Audit Fees,Central Services,MOORE STEPHENS,2100075439,"7,434.39",8015,40318
CLG,VTS,05/10/2010,Property maintenance,Estates,COFELY LTD,2100075440,958.96,8006,40225
CLG,VTS,05/10/2010,Property maintenance,Estates,COFELY LTD,2100075442,550.43,8012,40225
CLG,VTS,05/10/2010,Property maintenance,Estates,COFELY LTD,2100075443,509.01,8026,40225
CLG,VTS,05/10/2010,Property maintenance,Estates,COFELY LTD,2100075444,960.23,8007,40225
CLG,VTS,06/10/2010,Software licenses,IT,COA SOLUTIONS LTD,2100075479,"2,820.00",8029,40111
CLG,VTS,06/10/2010,T&S claim,Board,BOARD CHAIRMAN,2100075485,711.17,8035,40314
CLG,VTS,08/10/2010,Building Insurance,Estates,BERKELEY BURKE (UK) LTD,2100075526,"1,532.95",8001,40051
CLG,VTS,08/10/2010,Domestic Services,Estates,CLD SERVICES LTD,2100075531,891.04,8034,40011
CLG,VTS,11/10/2010,Office Supplies,Central Services,LYRECO UK LTD,2100075557,317.21,8015,40039
CLG,VTS,11/10/2010,Office Supplies,Operational,LYRECO UK LTD,2100075557,"1,846.40",8001,40039
CLG,VTS,11/10/2010,Outsourced services,Central Services,DCLG,2100075553,"8,352.28",8015,40116
CLG,VTS,12/10/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100075620,868.84,8028,40002
CLG,VTS,12/10/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100075621,728.32,8028,40002
CLG,VTS,12/10/2010,Heating and lighting,Estates,BRITISH GAS BUSINESS,2100075592,"8,064.64",8034,40019
CLG,VTS,12/10/2010,Heating and lighting,Estates,BRITISH GAS BUSINESS,2100075592,"1,246.50",8012,40019
CLG,VTS,12/10/2010,Heating and lighting,Estates,BRITISH GAS BUSINESS,2300000386,(568.11),8001,40019
CLG,VTS,12/10/2010,Heating and lighting,Estates,BRITISH GAS BUSINESS,2300000387,(571.42),8001,40019
CLG,VTS,12/10/2010,IT Hardware,IT,COMPANY BARCLAYCARD,2100075617,66.97,8029,40529
CLG,VTS,12/10/2010,Judicial Journals,Corporate,COMPANY BARCLAYCARD,2100075617,35.00,8031,40096
CLG,VTS,12/10/2010,Meeting expenses,VTE,CARLISLE CITY COUNCIL,2100075590,"1,809.50",8039,40519
CLG,VTS,12/10/2010,Meeting expenses,VTE,COMPANY BARCLAYCARD,2100075617,827.75,8039,40519
CLG,VTS,12/10/2010,Office Supplies,Central Services,COMPANY BARCLAYCARD,2100075617,56.28,8015,40039
CLG,VTS,12/10/2010,Printing,Corporate,COMPANY BARCLAYCARD,2100075617,35.00,8031,40521
CLG,VTS,12/10/2010,Publicity,Corporate,COMPANY BARCLAYCARD,2100075617,293.75,8031,40097
CLG,VTS,12/10/2010,Rail and Hotel booking services,Central Services,COMPANY BARCLAYCARD,2100075617,8.00,8014,40032
CLG,VTS,12/10/2010,T&S claim,IT,COMPANY BARCLAYCARD,2100075617,55.40,8029,40032
CLG,VTS,12/10/2010,T&S claim,VTE,COMPANY BARCLAYCARD,2100075617,116.85,8039,40499
CLG,VTS,13/10/2010,Meeting expenses,Operational,MANCHESTER CONFERENCE CENTRE,2100075634,630.00,8026,40020
CLG,VTS,14/10/2010,Survey,Corporate,QUATROSYSTEM LTD,2100075668,"3,113.75",8032,40524
CLG,VTS,14/10/2010,Telecoms,IT,CABLE & WIRELESS,2100075687,"14,590.09",8029,40007
CLG,VTS,15/10/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100075696,728.32,8028,40002
CLG,VTS,15/10/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100075697,668.34,8028,40002
CLG,VTS,15/10/2010,Rail and Hotel booking services,Board,REDFERN TRAVEL LIMITED,2100075700,289.18,8035,40314
CLG,VTS,15/10/2010,Rail and Hotel booking services,Central Services,REDFERN TRAVEL LIMITED,2100075700,282.61,8014,40032
CLG,VTS,15/10/2010,Rail and Hotel booking services,Estates,REDFERN TRAVEL LIMITED,2100075700,276.98,8034,40032
CLG,VTS,15/10/2010,Rail and Hotel booking services,HR,REDFERN TRAVEL LIMITED,2100075700,674.40,8028,40032
CLG,VTS,15/10/2010,Rail and Hotel booking services,IT,REDFERN TRAVEL LIMITED,2100075700,145.69,8029,40032
CLG,VTS,15/10/2010,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100075700,"4,339.75",8049,40032
CLG,VTS,15/10/2010,Rail and Hotel booking services,Training,REDFERN TRAVEL LIMITED,2100075700,186.65,8033,40118
CLG,VTS,15/10/2010,Rail and Hotel booking services,VTE,REDFERN TRAVEL LIMITED,2100075700,"2,062.58",8039,40500
