Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,01/05/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106203249,5 X AA Agency Staff,SW20 0BA,429.68,
Communities & Local Government,PINS,01/05/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106203374,Reducing credit balance account,S49 1HQ,"9,000.00",
Communities & Local Government,PINS,01/05/2014,Mobile phone costs,Admin Support,VODAFONE UK,,Large,,5106203393,Quarterly LWPS Mobile Phones,NG24 2EG,"4,117.50",
Communities & Local Government,PINS,01/05/2014,Office Machinery Rental,ICT Business Partner,NEW RICOH UK,,Large,,5106203385,Rental charges x 12 MFDs,TW13 7HG,"2,875.90",
Communities & Local Government,PINS,01/05/2014,Travel and Subsistence Account,Inspector Costs,OTS BACS VENDOR,,Not assigned,,2100019899,,,"1,031.90",
Communities & Local Government,PINS,02/05/2014,Courier Services,Estates,CITY LINK,,Large,,5106203441,Courier Services,CV3 4PA,"2,307.55",
Communities & Local Government,PINS,02/05/2014,Training,Human Resources,OTS BACS VENDOR,,Not assigned,,2100019944,Training N Perrett 11.3.14,,480.00,
Communities & Local Government,PINS,02/05/2014,Travel and Subsistence Account,Inspector Costs,OTS BACS VENDOR,,Not assigned,,2100019900,SGM 10/04/14,,518.00,
Communities & Local Government,PINS,06/05/2014,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,Public Bodies,,5106203405,Disbursements,WC2B 4TS,547.06,
Communities & Local Government,PINS,06/05/2014,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,Public Bodies,,5106203405,"Fees, charges & disbursements",WC2B 4TS,"163,727.98",
Communities & Local Government,PINS,06/05/2014,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106203445,VAT at 0% for non-VAT element of bill,NG24 2EG,15.39,
Communities & Local Government,PINS,06/05/2014,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106203445,Vodafone Blackberry a/c 670108871,NG24 2EG,"2,766.13",
Communities & Local Government,PINS,06/05/2014,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106203506,Mobile service charges Apr to June 2014,NG24 2EG,"-1,480.18",
Communities & Local Government,PINS,06/05/2014,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106203507,VAT at 0% for non-VAT element of bill,NG24 2EG,4.50,
Communities & Local Government,PINS,06/05/2014,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106203507,Vodafone Blackberry a/c 670108871,NG24 2EG,"1,474.78",
Communities & Local Government,PINS,06/05/2014,Office machinery consumables,Admin Support,X M A LIMITED,,Data Not Provided,,5106203452,HP Black 950 XL Ink Jet Cartridges x 40,NG11 7EP,871.20,
Communities & Local Government,PINS,07/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106203325,Test contractor  blanket order,SL6 1DP,"1,526.40",
Communities & Local Government,PINS,07/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106203357,SQL DBA contractor  blanket order,SL6 1DP,"1,962.00",
Communities & Local Government,PINS,07/05/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106203490,Test contractor blanket order,SL6 1DP,"1,526.40",
Communities & Local Government,PINS,07/05/2014,Courier Services,Estates,CITY LINK,,Large,,5106203522,Courier Services,CV3 4PA,"1,604.14",
Communities & Local Government,PINS,07/05/2014,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,Public Bodies,,5106203508,Professional Quarter 1,WC2B 4TS,"203,700.00",
Communities & Local Government,PINS,07/05/2014,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106203503,500x Blue Temporary File Covers,NR3 1PD,243.16,
Communities & Local Government,PINS,07/05/2014,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106203504,"2,500 Envelope 10/1s Self Seal",NR3 1PD,762.84,
Communities & Local Government,PINS,07/05/2014,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106203504,"20,000 Envelope 1/1s Self Seal",NR3 1PD,399.16,
