OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Corporate Management,14052722,3143,Achieve Breakthrough Limited,R4400-COR001,Services - Professional Fees,12/05/2017,"5,281.15 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Gloucestershire Airport,14052789,2091213,Alixpartners Services UK LLP,R4400-AIR101,Services - Professional Fees,19/05/2017,"60,000.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Prince of Wales Stadium Repairs & Maintenance,14052991,SOI0168010,AllCoopers Limited,R2705-REC112,Security Systems,19/05/2017,542.39 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,County Elections,14052687,29907,Alpha Response Print & Mail Limited,R4300-ELE006,Printing - Services,12/05/2017,"3,550.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,County Elections,14052690,29916,Alpha Response Print & Mail Limited,R4300-ELE006,Printing - Services,12/05/2017,"5,340.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,County Elections,14052688,29920,Alpha Response Print & Mail Limited,R4300-ELE006,Printing - Services,12/05/2017,"5,426.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14053146,BH:50132 27304/ME/kkb,Baily Garner LLP,C1111-CAH055,Clerk of Works,26/05/2017,987.83 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14053145,bh:50133 27304/ME/kkb,Baily Garner LLP,C1110-CAH055,Employer's Agent,26/05/2017,"3,918.40 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14053028,TW/1011,Bear Associates Surveyors Limited,R4400-FIE040,Services - Professional Fees,19/05/2017,"1,000.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14052727,P4005/5646/JH/JE,Bersche-Rolt Limited,C1107-CAH003,Building Works,19/05/2017,"124,152.38 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14052781,11028422,Breedon Aggregates England Limited T/A Huntsmans Quarries,R2071-OPS002,Open Spaces and Grassed Areas,19/05/2017,"2,648.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Individual Electoral Registration,14053085,IN03717987,BT Business Direct,R4500-ELE010,Comms - Purchase of Equipment,26/05/2017,"2,751.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Health General,14052698,163842,Buckingham Futures Limited,R1100-REG001,Agency Staff,26/05/2017,"2,327.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14052618,50553,Carrington West Limited,R1100-PLP001,Agency Staff,05/05/2017,"1,184.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14052754,50935,Carrington West Limited,R4400-PLP101,Services - Professional Fees,12/05/2017,"1,184.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14052755,50936,Carrington West Limited,R1100-PLP001,Agency Staff,12/05/2017,"1,184.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14053069,51682,Carrington West Limited,R1100-PLP001,Agency Staff,26/05/2017,"1,184.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14053070,51683,Carrington West Limited,R4400-PLP101,Services - Professional Fees,26/05/2017,592.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14052724,30136,CDK Castings Limited T/A Arkell & Hurcombe,R4011-CCM001,Goods For Resale,05/05/2017,640.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14052946,SES/06/16 090517,Cheltenham Arts Council,R6280-GBD001,Grants,19/05/2017,"5,000.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Tourist/Visitor Information Centre,14053011,CBID0023,Cheltenham Bid Limited,R4400-TOU002,Services - Professional Fees,19/05/2017,"1,500.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14053032,15558,Cheltenham Surfacing Co Limited,R2075-OPS001,Grounds Maintenance - Contract,19/05/2017,"1,008.16 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trees,14052959,120517,Cheltenham Tree Services Limited,R2070-PLP006,Tree Work,19/05/2017,650.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Revenues & Benefits Overheads,14053101,C/RB153624,Civica UK Limited,R4531-LTC101,IT - Purchase of Software,26/05/2017,"4,880.60 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14052858,572400,Comensura Limited,R1100-CCM001,Agency Staff,12/05/2017,686.72 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14052857,573232,Comensura Limited,R1100-CCM001,Agency Staff,12/05/2017,663.52 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Capital - Allotments,14052501,17017,D A Jones Landscapes,C1100-CAP501,Construction,05/05/2017,"1,600.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Capital - Allotments,14052501,17017,D A Jones Landscapes,C1100-CAP501,Construction,05/05/2017,"2,396.21 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14052783,17018,D A Jones Landscapes,R6280-GBD001,Grants,19/05/2017,675.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14052783,17018,D A Jones Landscapes,R6280-GBD001,Grants,19/05/2017,-675.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Urban Design,14052914,17020,D A Jones Landscapes,R4010-URB101,Materials - Other Materials,19/05/2017,608.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Municipal Offices,14052873,12135,David Hartell Contracting,R2043-ADB101,R & M of Build Drain Cleaning,26/05/2017,"1,401.08 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14052661,265244,Devonshires Solicitors LLP,R4400-FIE040,Services - Professional Fees,05/05/2017,876.50 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Licensing,14052196,A52560,Disclosure & Barring Service,R1601-REG002,CRB Police Checks,05/05/2017,792.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Licensing,14052767,A55041,Disclosure & Barring Service,R1601-REG002,CRB Police Checks,12/05/2017,616.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14052975,105181,Dorma UK Limited,R2008-REC111,R & M of Build - Reactive Repairs,19/05/2017,681.32 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14052720,280417,Dr Young & Partners,R4400-CCM001,Services - Professional Fees,05/05/2017,"8,725.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14052720,280417,Dr Young & Partners,R4401-CCM001,Services - Fees and Charges,05/05/2017,"5,125.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street R&M,14052811,163683,E.G. Carter & Co. Limited,R2004-CPK101,R & M of Build Programmed,12/05/2017,"8,298.35 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street R&M,14052810,163684,E.G. Carter & Co. Limited,R2004-CPK101,R & M of Build Programmed,12/05/2017,"5,594.68 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street R&M,14052920,163931,E.G. Carter & Co. Limited,R2004-CPK101,R & M of Build Programmed,19/05/2017,"2,275.86 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street R&M,14052715,170403,Elmbridge Carpentry,R2004-CPK101,R & M of Build Programmed,05/05/2017,"1,900.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14052633,6795008,ESE World Limited,R4000-WST001,Equipment Purchase,05/05/2017,"15,023.36 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14051853,829/404,ESG Pool Ventilation Limited,R2080-REC111,Mechanical Services,05/05/2017,922.85 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,CCTV,14052634,62591,Eurolink Security Installations Group Limited,R4003-CCT001,Tools & Equipment - R & M,26/05/2017,"2,400.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sustainability Measures,14052947,2601,Evolve Home Energy Solutions Limited,C1107-CAH032,Building Works,19/05/2017,"1,182.30 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pest Control,14053071,508294,Facelift (GB) Limited,R4001-REG018,Tools & Equipment - Hire,26/05/2017,950.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Economic Development,14053129,101,GFirst LEP CIC,R4545-ECD001,IT - Interface Development,26/05/2017,"2,000.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Land Charges,14052696,1800442323,Gloucestershire County Council,R4401-BUC004,Services - Fees and Charges,26/05/2017,"7,578.78 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14052799,1800444736,Gloucestershire County Council,R2106-FIE040,Energy Consrvation,12/05/2017,886.90 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14052774,1800445225,Gloucestershire County Council,R4400-PLP101,Services - Professional Fees,12/05/2017,"24,443.13 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14052779,1800445239,Gloucestershire County Council,R4401-WST001,Services - Fees and Charges,12/05/2017,"4,000.00 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Shopmobility,14051650,800007348,GLOUCESTERSHIRE COUNTY COUNCIL (LGPS ONLY),R4401-PUT102,Services - Fees and Charges,19/05/2017,"3,559.05 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Economic Development,14052691,INV-07074,Gloucestershire Enterprise Limited,R4400-ECD001,Services - Professional Fees,19/05/2017,560.00 
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Building Control - Fee Earning Work,14053110,0251/17,Graham Harper Associates Limited,R1100-BUC001,Agency Staff,26/05/2017,"3,113.97 "
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Building Control - Fee Earning Work,14053111,0253/17,Graham Harper Associates Limited,R1100-BUC001,Agency Staff,26/05/2017,"3,057.28 "
