Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Organisation's Primary Business
NURSE DIRECTOR,NURSE DIRECTOR,04/08/2011,Computer Hard Mtc&Data Process,DIRECTOR OF NURSING,MCKESSON INF SOLUTIONS UK LTD,588910,"36,127.60","Through intrinsic experience in delivering ESR, McKesson is uniquely positioned to offer an end-to-end workforce solution for the NHS to include Rostering, Time and Attendance, HR and Payroll Shared Services, Professional Services and Training."
Clinical Haem FP10,Clinical Haem FP10,26/08/2011,Drugs & Medical Gases,PATHOLOGY,PRESCRIPTION PRICING AUTHORITY,591002,"7,247.08","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
DR CHETI,DR CHETI,26/08/2011,Drugs & Medical Gases,CANCER SERVICES,PRESCRIPTION PRICING AUTHORITY,591002,"2,588.38","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
MISC FP10HP,MISC FP10HP,26/08/2011,Drugs & Medical Gases,MANAGEMENT - PLANNED CARE,PRESCRIPTION PRICING AUTHORITY,591002,"13,887.29","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
OBS/GYNAE WARD DRUGS,OBS/GYNAE WARD DRUGS,26/08/2011,Drugs & Medical Gases,OBSTETRICS AND GYNAECOLOGY,PRESCRIPTION PRICING AUTHORITY,591002,"3,412.80","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
PHARMACY DEPARTMENT,PHARMACY DEPARTMENT,26/08/2011,Prescription Charges,PHARMACY DEPARTMENT,PRESCRIPTION PRICING AUTHORITY,591002,"-1,854.20","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
UNPLANNED CARE MANAGEMENT,UNPLANNED CARE MANAGEMENT,26/08/2011,Drugs & Medical Gases,NURSING - UNPLANNED CARE,PRESCRIPTION PRICING AUTHORITY,591002,"25,719.00","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
Clinical Haem FP10,Clinical Haem FP10,26/08/2011,Drugs & Medical Gases,PATHOLOGY,PRESCRIPTION PRICING AUTHORITY,591262,"7,819.36","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
DR CHETI,DR CHETI,26/08/2011,Drugs & Medical Gases,CANCER SERVICES,PRESCRIPTION PRICING AUTHORITY,591262,"1,795.81","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
MISC FP10HP,MISC FP10HP,26/08/2011,Drugs & Medical Gases,MANAGEMENT - PLANNED CARE,PRESCRIPTION PRICING AUTHORITY,591262,"18,543.03","NHS Prescription Services calculates the remuneration and reimbursement due to dispensing contractors across England. They also provide the NHS with a range of drug, financial and prescribing information."
