Cheltenham Borough Council Payments To Suppliers Between 2015-01-01 and 2015-01-31,,,,,,,,
,,,,,,,,
Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense Type,Description,Payment Date,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034476,141031,1st Axis (nationwide) Limited,R2008-ADB103,R & M of Build - Reactive Repairs,30/01/2015,1400.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033814,171276,A & E Fire Equipment Limited,R2008-CPK101,R & M of Build - Reactive Repairs,02/01/2015,1104.92
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033698,125935,Abbey Surfacing,R2075-OPS001,Grounds Maintenance - Contract,09/01/2015,8758.25
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034315,2010259,Activist Group Limited (Formerly Eightytwenty Insight LG),R4400-COR102,Services - Professional Fees,30/01/2015,2550.12
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033732,61662,Alpha Colour Printers Limited,R4000-TRW001,Equipment Purchase,09/01/2015,660.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033937,61783,Alpha Colour Printers Limited,R4300-DRM001,Printing - Services,09/01/2015,724.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033657,867,Anderson Civil Engineering UK Limited,R5001-FRM101,TPP - Major External Contractors,02/01/2015,833.92
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033991,THCIS OCT-DEC 2014,AON Limited - Tenant Insurance,R9925-HRA901,Tenant Insurance Scheme Payments,16/01/2015,7016.24
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033975,iv1082,Art Works Exhibition Services Limited,R4029-CUL107,Displays,09/01/2015,850.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033916,11597,Artful Limited,R4300-DEV001,Printing - Services,09/01/2015,2224.56
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034493,11620,Artful Limited,R4300-DEV001,Printing - Services,30/01/2015,2031.12
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033706,14040490,Atkins Limited (Transport Planning),R4400-PLP101,Services - Professional Fees,09/01/2015,32360.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034379,13,B R G Interim Solutions Limited,R1100-BUC001,Agency Staff,23/01/2015,1376.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033727,15,B R G Interim Solutions Limited,R1100-BUC001,Agency Staff,09/01/2015,1443.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034376,17,B R G Interim Solutions Limited,R1100-BUC001,Agency Staff,23/01/2015,1376.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034375,18,B R G Interim Solutions Limited,R1100-BUC001,Agency Staff,23/01/2015,1376.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034087,21,B R G Interim Solutions Limited,R1100-BUC001,Agency Staff,16/01/2015,1257.75
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034085,23,B R G Interim Solutions Limited,R1100-BUC001,Agency Staff,16/01/2015,1376.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034191,25,B R G Interim Solutions Limited,R1100-BUC001,Agency Staff,23/01/2015,1376.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034414,27,B R G Interim Solutions Limited,R1100-BUC001,Agency Staff,30/01/2015,1376.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034094,11340,Border Office Supplies and Systems Limited,R4400-PLP101,Services - Professional Fees,30/01/2015,522.52
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034211,244172,Breedon Aggregates England Limited T/A Huntsmans Quarries,R2071-OPS002,Open Spaces and Grassed Areas,16/01/2015,759.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034062,79/17/15671,Briggs Amasco Limited T/A Hyflex,C1107-CAH016,Building Works,16/01/2015,12379.13
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034246,2014 003,Britdoors Group Limited,C1107-CAH017,Building Works,23/01/2015,13345.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033922,8190395,Bromsgrove District Council,R9308-REG003,Fees - Other,09/01/2015,1840.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033923,8190396,Bromsgrove District Council,R9308-REG003,Fees - Other,09/01/2015,1946.22
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033675,1349,Brown Bull,C1107-CAH021,Building Works,02/01/2015,1300.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034256,1358,Brown Bull,C1107-CAH021,Building Works,23/01/2015,600.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034253,1359,Brown Bull,C1107-CAH021,Building Works,30/01/2015,1196.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034444,1361,Brown Bull,C1107-CAH021,Building Works,30/01/2015,2710.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034017,Q005 &T,BT (Business Billing - Durham),R4507-HRA110,Comms - Mobile Telephones,16/01/2015,1421.72
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034188,Q005 0F 161214,BT (Business Billing - Durham),R4507-HRA110,Comms - Mobile Telephones,16/01/2015,1358.53
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033672,08/203358,Bunzl Cleaning and Hygiene Supplies,R4009-ADB101,Materials - Cleaning Materials,02/01/2015,722.52
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034199,10711,Business Furniture Direct Limited,R4003-HBA001,Tools & Equipment - R & M,16/01/2015,900.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034049,6355,C &  R Decorating and Maintenance Limited,R5011-HRA110,Minor Neighbourhood Works - Coronation Square Areas,16/01/2015,572.75
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034435,IN005673,C F Roberts (Elect Contrs) plc,R2008-HRA100,R & M of Build - Reactive Repairs,30/01/2015,3435.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034436,IN005674,C F Roberts (Elect Contrs) plc,R2008-HRA100,R & M of Build - Reactive Repairs,30/01/2015,1181.79
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034410,94062816,Capita Treasury Solutions Limited,R4400-COR006,Services - Professional Fees,30/01/2015,12500.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034533,SI-3609,CDS Publications Limited,R4014-HLD130,Marketing,30/01/2015,600.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034412,31,Cheltenham Housing Aid Centre,R6280-HOM001,Grants,30/01/2015,10900.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033918,CBC/fw/231214,Cheltenham Tree Services Limited,R2008-OPS004,R & M of Build - Reactive Repairs,09/01/2015,950.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033682,3103507,CIPFA Business Limited,R4309-COR001,Books,02/01/2015,830.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033683,3103687,CIPFA Business Limited,R4309-COR001,Books,02/01/2015,550.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033938,C/IC130135,Civica UK Limited,R4531-SUP014,IT - Purchase of Software,16/01/2015,2500.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034048,C/BC130354,Civica UK Limited (Burston Road),R4401-LTC001,Services - Fees and Charges,16/01/2015,3000.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034312,14538,Complete Climate Solutions,R2004-OPS122,R & M of Build Programmed,23/01/2015,2508.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034312,14538,Complete Climate Solutions,R2004-OPS122,R & M of Build Programmed,23/01/2015,1920.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034157,14560,Complete Climate Solutions,R2080-REC111,Mechanical Services,23/01/2015,538.13
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034156,14580,Complete Climate Solutions,R2080-CUL117,Mechanical Services,23/01/2015,520.84
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034051,1416,D A Jones Landscapes,R2075-OPS001,Grounds Maintenance - Contract,16/01/2015,525.64
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033693,1167,D W Brookes (Resurfacing Limited),R2075-OPS001,Grounds Maintenance - Contract,09/01/2015,1460.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034489,7402179716,Dell Corporation Limited,R4530-SUP008,IT - Purchase of Hardware,30/01/2015,741.06
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034077,960485,Disclosure & Barring Service,R1601-REG002,CRB Police Checks,30/01/2015,1232.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033734,28283,DPDS Regional Limited - DPDS Consulting Group,R4400-DEV001,Services - Professional Fees,09/01/2015,1022.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034248,3006,Dr Young & Partners,R4401-CCM001,Services - Fees and Charges,30/01/2015,11022.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034234,301267/11/2014,Ener-G Combined Power (South) Limited,R2100-REC111,Electricity,23/01/2015,4068.11
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034314,301267/12/14,Ener-G Combined Power (South) Limited,R2100-REC111,Electricity,30/01/2015,4805.38
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032957,WM005445,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,02/01/2015,537.32
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033954,WM005615,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,16/01/2015,5300.35
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033952,WM005616,English Landscapes Limited t/a The Landscape Group,C1107-CAH005,Building Works,16/01/2015,2200.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033950,WM005617,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,16/01/2015,5794.83
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034247,4238,Environmental Management Solutions Limited,C1107-CAH012,Building Works,30/01/2015,30319.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033932,HEX3000462995,Experian Limited,R4701-SUP011,Subscriptions,16/01/2015,872.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033892,INV001080,Facilities Management & Builiding Repairs Limited,C1107-CAH021,Building Works,09/01/2015,4657.02
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033709,1332,Fairford Tree Services,R2070-PLP006,Tree Work,09/01/2015,580.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034278,1335,Fairford Tree Services,R2070-PLP006,Tree Work,23/01/2015,5780.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033517,GP14/009853,G Purchase Construction Limited,C1107-CAH003,Building Works,09/01/2015,48855.38
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033713,gp14/010161,G Purchase Construction Limited,C1107-CAH003,Building Works,02/01/2015,69613.24
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034029,196,Gaskins Treework Specialists,R2070-PLP006,Tree Work,09/01/2015,1904.76
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034029,196,Gaskins Treework Specialists,R2070-PLP006,Tree Work,09/01/2015,3945.24
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033900,199,Gaskins Treework Specialists,R4401-CCR001,Services - Fees and Charges,09/01/2015,697.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033707,71192,Glevum Heating & Plumbing Limited,C1107-CAH009,Building Works,02/01/2015,68070.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034064,71359,Glevum Heating & Plumbing Limited,C1107-CAH032,Building Works,16/01/2015,86704.46
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14034117,667772,Global Radio Services Limited,R4317-ECD001,Non Staff Advertising,16/01/2015,1062.10
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14033883,1800342266,Gloucestershire County Council,R4400-EMP001,Services - Professional Fees,09/01/2015,14057.28
