Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,LIVERPOOL PCT,22-Nov-2010,VOLUNTARY SECTOR,PURCH OF HEALTHCARE,ADDACTION,172624,123783.78
Department of Health,LIVERPOOL PCT,22-Nov-2010,VOLUNTARY SECTOR,PURCH OF HEALTHCARE,ADDACTION,172626,78498.06
Department of Health,LIVERPOOL PCT,17-Nov-2010,RENT,PURCH OF HEALTHCARE,AEL FUNDCO LTD,172333,46690.22
Department of Health,LIVERPOOL PCT,17-Nov-2010,RENT,PURCH OF HEALTHCARE,AEL FUNDCO LTD,172335,38120.50
Department of Health,LIVERPOOL PCT,17-Nov-2010,RENT,PURCH OF HEALTHCARE,AEL FUNDCO LTD,172336,34822.88
Department of Health,LIVERPOOL PCT,17-Nov-2010,RENT,PURCH OF HEALTHCARE,AEL FUNDCO LTD,172341,36890.80
Department of Health,LIVERPOOL PCT,17-Nov-2010,RENT,PURCH OF HEALTHCARE,AEL FUNDCO LTD,172342,33699.56
Department of Health,LIVERPOOL PCT,17-Nov-2010,RENT,PURCH OF HEALTHCARE,AEL FUNDCO LTD,172343,45184.08
Department of Health,LIVERPOOL PCT,05-Nov-2010,NON - HEALTHCARE - FOUNDATION TRUSTS,MANAGEMENT AND ADMIN,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,171451,51650.00
Department of Health,LIVERPOOL PCT,19-Nov-2010,NON - HEALTHCARE - FOUNDATION TRUSTS,MANAGEMENT AND ADMIN,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,172436,51650.00
Department of Health,LIVERPOOL PCT,24-Nov-2010,HEALTHCARE - FOUNDATION TRUSTS,PURCH OF HEALTHCARE,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,172851,469233.00
Department of Health,LIVERPOOL PCT,17-Nov-2010,COMMERCIAL SECTOR,PURCH OF HEALTHCARE,ALTERNATIVE FUTURES,172206,36881.69
Department of Health,LIVERPOOL PCT,19-Nov-2010,VOLUNTARY SECTOR,PURCH OF HEALTHCARE,ALTERNATIVE FUTURES,172208,101145.99
Department of Health,LIVERPOOL PCT,17-Nov-2010,VOLUNTARY SECTOR,PURCH OF HEALTHCARE,ALTERNATIVE FUTURES,172209,35122.26
Department of Health,LIVERPOOL PCT,26-Nov-2010,COMMERCIAL SECTOR,PURCH OF HEALTHCARE,ALTERNATIVE FUTURES,172211,36881.69
Department of Health,LIVERPOOL PCT,05-Nov-2010,VOLUNTARY SECTOR,PURCH OF HEALTHCARE,BIG LIFE SERVICES,171196,31709.00
Department of Health,LIVERPOOL PCT,24-Nov-2010,HEALTHCARE - PCTS,PURCH OF HEALTHCARE,BLACKPOOL PCT,172869,58050.00
Department of Health,LIVERPOOL PCT,12-Nov-2010,COMMERCIAL SECTOR,PURCH OF HEALTHCARE,BUPA CARE HOMES,171824,65129.23
Department of Health,LIVERPOOL PCT,24-Nov-2010,HEALTHCARE - FOUNDATION TRUSTS,PURCH OF HEALTHCARE,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,172954,55583.00
Department of Health,LIVERPOOL PCT,19-Nov-2010,COMMERCIAL SECTOR,PURCH OF HEALTHCARE,CLASSIC HOSPITALS,172478,26968.84
Department of Health,LIVERPOOL PCT,05-Nov-2010,COMMERCIAL SECTOR,PURCH OF HEALTHCARE,COMMUNITY INTEGRATED CARE,171197,84673.07
Department of Health,LIVERPOOL PCT,05-Nov-2010,COMMERCIAL SECTOR,PURCH OF HEALTHCARE,COMMUNITY INTEGRATED CARE,171199,80530.93
Department of Health,LIVERPOOL PCT,17-Nov-2010,ADDITIONS - INFORMATION TECHNOLOGY,NULL,DELL CORPORATION LTD,172261,27033.23
Department of Health,LIVERPOOL PCT,17-Nov-2010,ADDITIONS - INFORMATION TECHNOLOGY,NULL,DELL CORPORATION LTD,172355,27033.23
Department of Health,LIVERPOOL PCT,03-Nov-2010,TRANSFERS - ASSETS UNDER CONSTRUCTION,NULL,DIAMOND BUSINESS INTERIORS,170756,84167.74
Department of Health,LIVERPOOL PCT,24-Nov-2010,COMMERCIAL SECTOR,PURCH OF HEALTHCARE,EUROPEAN WELLCARE HOMES LTD,173008,69400.33
Department of Health,LIVERPOOL PCT,15-Nov-2010,COMPUTER SOFTWARE / LICENSE  FEES,MANAGEMENT AND ADMIN,FOURSYS LTD,170902,37280.40
Department of Health,LIVERPOOL PCT,19-Nov-2010,RENT,PURCH OF HEALTHCARE,GOS FUNDCO,172417,54805.93
Department of Health,LIVERPOOL PCT,10-Nov-2010,LEGAL/PROF FEES,MANAGEMENT AND ADMIN,HILL DICKINSON SOLICITORS,171817,24622.00
Department of Health,LIVERPOOL PCT,10-Nov-2010,OTHER RE MISCELLANEOUS,MANAGEMENT AND ADMIN,INNOVATIVE CREATIVE EXCELLENCE LTD,171572,47645.43
Department of Health,LIVERPOOL PCT,03-Nov-2010,SERVICES FROM LOCAL AUTHORITIES,MANAGEMENT AND ADMIN,LIVERPOOL CITY COUNCIL,169643,43875.50
Department of Health,LIVERPOOL PCT,03-Nov-2010,SERVICES FROM LOCAL AUTHORITIES,MANAGEMENT AND ADMIN,LIVERPOOL CITY COUNCIL,171020,300000.00
Department of Health,LIVERPOOL PCT,03-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,MANAGEMENT AND ADMIN,LIVERPOOL CITY COUNCIL,171029,43875.50
Department of Health,LIVERPOOL PCT,03-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,171318,297730.51
Department of Health,LIVERPOOL PCT,05-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,171459,67438.42
Department of Health,LIVERPOOL PCT,10-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,171548,95906.25
Department of Health,LIVERPOOL PCT,10-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,171549,58822.50
Department of Health,LIVERPOOL PCT,10-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,171550,76725.00
Department of Health,LIVERPOOL PCT,10-Nov-2010,SERVICES FROM LOCAL AUTHORITIES,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,171556,70000.00
Department of Health,LIVERPOOL PCT,10-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,171560,40920.00
Department of Health,LIVERPOOL PCT,15-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,171924,500000.00
Department of Health,LIVERPOOL PCT,15-Nov-2010,HEALTHCARE FROM LOCAL AUTHORITIES,MANAGEMENT AND ADMIN,LIVERPOOL CITY COUNCIL,171925,300000.00
Department of Health,LIVERPOOL PCT,19-Nov-2010,VOLUNTARY SECTOR,PURCH OF HEALTHCARE,LIVERPOOL CITY COUNCIL,172423,82271.00
Department of Health,LIVERPOOL PCT,05-Nov-2010,HEALTHCARE - FOUNDATION TRUSTS,PURCH OF HEALTHCARE,LIVERPOOL HEART AND CHEST HOSPITALS NHS FOUNDATION TRUST,171345,167299.23
Department of Health,LIVERPOOL PCT,05-Nov-2010,HEALTHCARE - FOUNDATION TRUSTS,PURCH OF HEALTHCARE,LIVERPOOL HEART AND CHEST HOSPITALS NHS FOUNDATION TRUST,171346,-134917.72
Department of Health,LIVERPOOL PCT,24-Nov-2010,DRUGS,PURCH OF HEALTHCARE,LLOYDS PHARMACY LTD,173087,34601.72
Department of Health,LIVERPOOL PCT,24-Nov-2010,DRUGS,PURCH OF HEALTHCARE,LLOYDS PHARMACY LTD,173123,36388.58
Department of Health,LIVERPOOL PCT,24-Nov-2010,DRUGS,PURCH OF HEALTHCARE,LLOYDS PHARMACY LTD,173124,32163.89
Department of Health,LIVERPOOL PCT,24-Nov-2010,DRUGS,PURCH OF HEALTHCARE,LLOYDS PHARMACY LTD,173125,30761.39
