CPS outcomes by principal offence category wiltshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,69,74.2%,24,25.8%
C Sexual Offences,6,75.0%,2,25.0%
D Burglary,19,90.5%,2,9.5%
E Robbery,0,0,0,0
F Theft And Handling,74,92.5%,6,7.5%
G Fraud And Forgery,10,76.9%,3,23.1%
H Criminal Damage,20,76.9%,6,23.1%
I Drugs Offences,23,95.8%,1,4.2%
J Public Order Offences,37,75.5%,12,24.5%
K All Other Offences (excluding Motoring),21,84.0%,4,16.0%
L Motoring Offences,88,92.6%,7,7.4%
Admin Finalisations,0,0.0%,4,100.0%
TOTAL,367,83.8%,71,16.2%
