UNIQUE REFERENCE NUMBER,TRANSACTION DATE, MERCHANT CATEGORY CODE DESCRIPTION2 ,LOCATION,MERCHANT CATEGORY GROUP DESCRIPTION3, AMOUNT ,SUPPLIER
FCOGPC2017090921,9/22/2017, ELECTRONIC SALES ,USA,General Retail and Wholesale,570.62,ZBATTERY
FCOGPC2017090922,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,571.8,ACCOMODATION PROVIDER
FCOGPC2017090923,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,571.8,ACCOMODATION PROVIDER
FCOGPC2017090924,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,571.8,ACCOMODATION PROVIDER
FCOGPC2017090925,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,571.8,ACCOMODATION PROVIDER
FCOGPC2017090926,9/22/2017, SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED ,BRA,Training and Educational,573.53,PAG MAQCARTAOUOL
FCOGPC2017090927,9/22/2017, AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED ,LCA,Auto rental,583.95,24 HOUR CAR RENTAL
FCOGPC2017090928,9/22/2017," SCHOOLS, CORRESPONDENCE ",ITA,Training and Educational,584.48,DI.L.IT
FCOGPC2017090929,9/22/2017," OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES ",GBR,"Office Stationery, equipment and supplies",624.66,RAJAPACK LTD
FCOGPC2017090930,9/22/2017, ELECTRICAL PARTS AND EQUIPMENT ,TUN,Building Materials,630.17,ELECTRO RAOUF CHAABOUN
FCOGPC2017090931,9/22/2017, HOTELS/MOTELS/RESORTS  ,KGZ,Hotels,649.64,ACCOMODATION PROVIDER
FCOGPC2017090932,9/22/2017, FAMILY CLOTHING STORES ,GBR,General Retail and Wholesale,663.25,TROOP LOGOS
FCOGPC2017090933,9/22/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",JAM,Personal Services,678.2,EGIS SECURITY SYSTEMS
FCOGPC2017090934,9/22/2017," EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL ",CRI,Miscellaneous Industrial/Commercial Supplies,679.82,ELEGANTE FRENESI LOUNG
FCOGPC2017090935,9/22/2017," EATING PLACES, RESTAURANTS ",JAM,Restuarants and Bars,680.25,POLLYANA RESTAURANT
FCOGPC2017090936,9/22/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",NPL,Utilities and Non Automotive Fuel,710.89,NEW AP IMPEX
FCOGPC2017090937,9/22/2017, HOUSEHOLD APPLIANCE STORES ,BRA,General Retail and Wholesale,733.35,FAST SHOP BOTAFOGO
FCOGPC2017090938,9/22/2017, HOTELS/MOTELS/RESORTS  ,PAK,Hotels,758.48,ACCOMODATION PROVIDER
FCOGPC2017090939,9/22/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Miscellaneous Industrial/Commercial Supplies,762.98,DISPLAYIT INC
FCOGPC2017090940,9/22/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,LCA,General Retail and Wholesale,774.07,ST LUCIA ELECTRICITY S
FCOGPC2017090941,9/22/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,790.88,WILTS ELECTRICAL
FCOGPC2017090942,9/22/2017, MISCELLANEOUS PUBLISHING AND PRINTING ,IND,Print and advertising,791.3,ANIL PRINTERS
FCOGPC2017090943,9/22/2017, DEPARTMENT STORES ,ZWE,General Retail and Wholesale,801.4,OK MART HARARE
FCOGPC2017090944,9/22/2017, POSTAL SERVICES-GOVERNMENT ONLY ,LVA,Mail and Courier Services,814.63,RIGAS 10. PASTA NODALA
FCOGPC2017090945,9/22/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Miscellaneous Industrial/Commercial Supplies,839.85,ADVAMED 2009
FCOGPC2017090946,9/22/2017, TRAVEL AGENCIES ,GBR,Travel Agencies,907,OURS TRAVEL
FCOGPC2017090947,9/22/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",CYP,General Retail and Wholesale,913.25,A MAVRIS & SONS LTD (E
FCOGPC2017090948,9/22/2017, CARPENTRY CONTRACTORS ,NPL,Building Services,921.83,B.K SHRESTHA & BUILDER
FCOGPC2017090949,9/22/2017," EATING PLACES, RESTAURANTS ",USA,Restuarants and Bars,931.65,MJC CATERING
FCOGPC2017090950,9/22/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,ZAF,General Retail and Wholesale,933,ER LOCKSMITH ENTERPRIS
FCOGPC2017090951,9/22/2017, TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES ,FJI,Telecommunication Services,948.87,DIGICEL FIJI-KADAVU HS
FCOGPC2017090952,9/22/2017, OTHER SERVICES (NOT ELSEWHERE CLASSIFIED) ,BRB,Professional Services,950.96,RENTOKIL INITIAL (BARB
FCOGPC2017090953,9/22/2017, SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED ,BRA,Training and Educational,976.22,PAG MAQCARTAOUOL
FCOGPC2017090954,9/22/2017," COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS ",BRA,Computer Equipment & Services,976.22,PAY DAVI
FCOGPC2017090955,9/22/2017, HOTELS/MOTELS/RESORTS  ,GHA,Hotels,"1,042.39",ACCOMODATION PROVIDER
FCOGPC2017090956,9/22/2017, HOTELS/MOTELS/RESORTS  ,GHA,Hotels,"1,042.39",ACCOMODATION PROVIDER
FCOGPC2017090957,9/22/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Miscellaneous Industrial/Commercial Supplies,"1,062.84",DISPLAYIT INC
FCOGPC2017090958,9/22/2017," SCHOOLS, ELEMENTARY AND SECONDARY ",GTM,Training and Educational,"1,078.75",ACAD CRISTIANA DE ESPA
FCOGPC2017090959,9/22/2017," GROCERY STORES, SUPERMARKETS ",ISR,General Retail and Wholesale,"1,118.24",AMAD FRIGI
FCOGPC2017090960,9/22/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,POL,Professional Services,"1,220.46",MIX OFFICE
FCOGPC2017090961,9/22/2017," GIFT, CARD, NOVELTY AND SOUVENIR SHOPS ",GBR,General Retail and Wholesale,"1,252.00",DUNOON CERAMICS LI
FCOGPC2017090962,9/22/2017, MISCELLANEOUS PUBLISHING AND PRINTING ,IND,Print and advertising,"1,351.47",ANIL PRINTERS
FCOGPC2017090963,9/22/2017, HOTELS/MOTELS/RESORTS  ,CHN,Hotels,"1,487.80",ACCOMODATION PROVIDER
FCOGPC2017090964,9/22/2017," BUILDING MATERIALS, LUMBER STORES ",GBR,Building Materials,"1,500.00",CITY ELECTRICAL FA
FCOGPC2017090965,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,500.00",ACCOMODATION PROVIDER
FCOGPC2017090966,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,500.00",ACCOMODATION PROVIDER
FCOGPC2017090967,9/22/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,500.00",ACCOMODATION PROVIDER
FCOGPC2017090968,9/22/2017, MISCELLANEOUS GENERAL MERCHANDISE ,NGA,General Retail and Wholesale,"1,545.52",PAYU NON 3D GLOBAL
FCOGPC2017090969,9/22/2017," OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES ",GBR,"Office Stationery, equipment and supplies","1,590.00",WWW.OFFICEROCKER.CO.UK
FCOGPC2017090970,9/22/2017, HOTELS/MOTELS/RESORTS  ,JPN,Hotels,"4,410.23",ACCOMODATION PROVIDER
FCOGPC2017090971,9/23/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",JOR,General Retail and Wholesale,519.03,IKEA
FCOGPC2017090972,9/23/2017, ELECTRONIC SALES ,PAK,General Retail and Wholesale,519.47,ORIENT ELECTRIC WORKS
FCOGPC2017090973,9/23/2017, BOOK STORES ,LUX,Books and Periodicals,"1,049.65",AMAZON UK MARKETPLACE
FCOGPC2017090974,9/23/2017," CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS ",USA,General Retail and Wholesale,"1,059.02",TWC TIME WARNER NYC
FCOGPC2017090975,9/23/2017," CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS ",USA,General Retail and Wholesale,"1,144.47",TWC TIME WARNER NYC
FCOGPC2017090976,9/24/2017, HOTELS/MOTELS/RESORTS  ,POL,Hotels,501.86,ACCOMODATION PROVIDER
FCOGPC2017090977,9/24/2017, HOTELS/MOTELS/RESORTS  ,POL,Hotels,501.86,ACCOMODATION PROVIDER
FCOGPC2017090978,9/24/2017, FAMILY CLOTHING STORES ,MNG,General Retail and Wholesale,620.99,GOLDON SHOP
FCOGPC2017090979,9/24/2017, DIRECT MARKETING-CATALOG MERCHANTS ,GBR,Mail Order / Direct Selling,647.89,WWW.NISBETS.COM
FCOGPC2017090980,9/24/2017, FLOOR COVERING STORES ,JOR,General Retail and Wholesale,689.39,MERSIN CARPITS
FCOGPC2017090981,9/24/2017, BOOK STORES ,LUX,Books and Periodicals,741.54,AMAZON.CO.UK
FCOGPC2017090982,9/24/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,761.4,ACCOMODATION PROVIDER
FCOGPC2017090983,9/24/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,796.5,ACCOMODATION PROVIDER
FCOGPC2017090984,9/24/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",JOR,General Retail and Wholesale,867.54,IKEA
FCOGPC2017090985,9/24/2017, TRAVEL ,USA,Airline,903.45,AIRLINE
FCOGPC2017090986,9/24/2017, TELECOM INCL PREPAID/RECURRING PHONE SVCS ,ISR,Telecommunication Services,"1,226.57",BEZEQ INTERNATIONAL
FCOGPC2017090987,9/24/2017, TRAVEL ,QAT,Airline,"2,973.23",AIRLINE
FCOGPC2017090988,9/25/2017," GROCERY STORES, SUPERMARKETS ",DEU,General Retail and Wholesale,506.07,METRO C+C MARKT - 032
FCOGPC2017090989,9/25/2017, MISCELLANEOUS PUBLISHING AND PRINTING ,PAK,Print and advertising,511.61,PRINT LINE PRINTERS
FCOGPC2017090990,9/25/2017, HOTELS/MOTELS/RESORTS  ,ETH,Hotels,529.92,ACCOMODATION PROVIDER
FCOGPC2017090991,9/25/2017," EATING PLACES, RESTAURANTS ",PAN,Restuarants and Bars,532.13,"FILIPPO SAPORI, S.A."
FCOGPC2017090992,9/25/2017," MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS ",JAM,Catering and Catering Supplies,541.2,PEAK BOTTLING COMPANY
FCOGPC2017090993,9/25/2017," GROCERY STORES, SUPERMARKETS ",ZWE,General Retail and Wholesale,545.15,DRIP TECH BELGRAVIA
FCOGPC2017090994,9/25/2017," EATING PLACES, RESTAURANTS ",ROM,Restuarants and Bars,548.47,RADISSON BLU - RECEP
FCOGPC2017090995,9/25/2017," GROCERY STORES, SUPERMARKETS ",NGA,General Retail and Wholesale,558.62,NDUMAK NIGERIA LIMITED
FCOGPC2017090996,9/25/2017," GROCERY STORES, SUPERMARKETS ",CHL,General Retail and Wholesale,561.65,JUMBO BILBAO
FCOGPC2017090997,9/25/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",ISR,Utilities and Non Automotive Fuel,568.93,NEVIOT TEVA HAGALIL LT
FCOGPC2017090998,9/25/2017, TELECOM INCL PREPAID/RECURRING PHONE SVCS ,FJI,Telecommunication Services,578.36,MR MOBILE (FIJI) LTD
FCOGPC2017090999,9/25/2017, HOTELS/MOTELS/RESORTS  ,IDN,Hotels,582.77,ACCOMODATION PROVIDER
FCOGPC2017091000,9/25/2017, ELECTRONIC SALES ,QZZ,General Retail and Wholesale,615.33,GAMA NTP
FCOGPC2017091001,9/25/2017," MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS ",MYS,Catering and Catering Supplies,630.63,NEW ZEALAND UNLIMITED
FCOGPC2017091002,9/25/2017, ELECTRONIC SALES ,IND,General Retail and Wholesale,660.32,DEEPAK ELECTRICALS
FCOGPC2017091003,9/25/2017," EMPLOYMENT AGENCIES, TEMPORARY HELP SERVICES ",FIN,Staff - Temporary Recruitment,662.44,"ALMA CAREER OY, FI"
FCOGPC2017091004,9/25/2017, TRAVEL ,UKR,Airline,669.98,AIRLINE
FCOGPC2017091005,9/25/2017, HOTELS/MOTELS/RESORTS  ,BGR,Hotels,690.06,ACCOMODATION PROVIDER
FCOGPC2017091006,9/25/2017," BUILDING MATERIALS, LUMBER STORES ",GBR,Building Materials,690.72,MAYAK SERVICES LIMITED
FCOGPC2017091007,9/25/2017," GROCERY STORES, SUPERMARKETS ",ROM,General Retail and Wholesale,707.42,METRO BANEASA
FCOGPC2017091008,9/25/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",PAK,General Retail and Wholesale,708.37,IKEA
FCOGPC2017091009,9/25/2017," CLEANING AND MAINTENANCE, JANITORIAL SERVICES ",PAN,Cleaning Services and Supplies,722.54,FIREMASTER - LOS ANGEL
FCOGPC2017091010,9/25/2017," GROCERY STORES, SUPERMARKETS ",NGA,General Retail and Wholesale,727.93,OGIF ENGINEERING AND C
FCOGPC2017091011,9/25/2017, HOME SUPPLY WAREHOUSE STORES ,CRI,General Retail and Wholesale,766.05,PERSIANAS CANET
FCOGPC2017091012,9/25/2017, HOME SUPPLY WAREHOUSE STORES ,CRI,General Retail and Wholesale,766.05,PERSIANAS CANET
FCOGPC2017091013,9/25/2017, LIMOUSINES AND TAXICABS ,IRL,Travel - Air/Rail/Road,767.22,NRC
FCOGPC2017091014,9/25/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",USA,General Retail and Wholesale,767.45,COUNTRYCASUAL
FCOGPC2017091015,9/25/2017, GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Statutory Bodies,773.73,FCO SERVICES
FCOGPC2017091016,9/25/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",ISL,Utilities and Non Automotive Fuel,775.85,ORKUVEITA REYKJAVIKUR
FCOGPC2017091017,9/25/2017," AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING ",ITA,"Vehicles, servicing and spares",787.51,SANTUCCI MACCHINE AGRI
FCOGPC2017091018,9/25/2017, HARDWARE EQUIPMENT AND SUPPLIES ,IND,Miscellaneous Industrial/Commercial Supplies,869.77,MRA ENTERPRISES
FCOGPC2017091019,9/25/2017, CARPET AND UPHOLSTERY CLEANING ,USA,Cleaning Services and Supplies,887.55,CARPET & UPHOLSTERY CL
FCOGPC2017091020,9/25/2017, CHEMICALS/ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED ,GBR,Miscellaneous Industrial/Commercial Supplies,900,PAYPAL  CHEMAGILITY
FCOGPC2017091021,9/25/2017, WOMEN'S ACCESSORY AND SPECIALTY STORES ,IND,General Retail and Wholesale,932.09,IQBAL TAILORS
FCOGPC2017091022,9/25/2017, TELECOM INCL PREPAID/RECURRING PHONE SVCS ,FJI,Telecommunication Services,953.75,DIGICEL (FIJI) LTD
FCOGPC2017091023,9/25/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",IRL,General Retail and Wholesale,973.63,M KELLY INTERIORS
FCOGPC2017091024,9/25/2017, TRAVEL ,GBR,Airline,992.54,AIRLINE
FCOGPC2017091025,9/25/2017, MISCELLANEOUS GENERAL MERCHANDISE ,NGA,General Retail and Wholesale,"1,001.60",PAYU NON 3D GLOBAL
FCOGPC2017091026,9/25/2017, TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES ,ISL,Telecommunication Services,"1,002.09",VODAFONE SUDURLANDSBR.
FCOGPC2017091027,9/25/2017, MISCELLANEOUS GENERAL MERCHANDISE ,NGA,General Retail and Wholesale,"1,004.28",PAYU NON 3D GLOBAL
FCOGPC2017091028,9/25/2017," PACKAGE STORES, BEER, WINE, LIQUOR ",GRC,General Retail and Wholesale,"1,036.29",E DRINKS
FCOGPC2017091029,9/25/2017, HOTELS/MOTELS/RESORTS  ,BGD,Hotels,"1,046.00",ACCOMODATION PROVIDER
FCOGPC2017091030,9/25/2017," BUILDING MATERIALS, LUMBER STORES ",GBR,Building Materials,"1,052.95",MAYAK SERVICES LIMITED
FCOGPC2017091031,9/25/2017, HOTELS/MOTELS/RESORTS  ,VEN,Hotels,"1,084.85",ACCOMODATION PROVIDER
FCOGPC2017091032,9/25/2017, HOTELS/MOTELS/RESORTS  ,VEN,Hotels,"1,084.85",ACCOMODATION PROVIDER
FCOGPC2017091033,9/25/2017, HARDWARE EQUIPMENT AND SUPPLIES ,IND,Miscellaneous Industrial/Commercial Supplies,"1,087.47",MRA ENTERPRISES
FCOGPC2017091034,9/25/2017," DRUGS, DRUP PROPRIETARIES, AND DRUGGIST'S SUPPLIES ",LAO,Medical Supplies and Services,"1,117.86",ALLIANCE INTERNATION M
FCOGPC2017091035,9/25/2017, MOTOR VEHICLE SUPPLIES AND NEW PARTS ,UKR,"Vehicles, servicing and spares","1,138.37",WINNER AVTOMOTIVE
FCOGPC2017091036,9/25/2017," CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF ",BGD,Leisure Activities,"1,176.15",DHAKA CLUB LTD
FCOGPC2017091037,9/25/2017," GLASS, PAINT, WALLPAPER STORES ",PAN,Building Materials,"1,211.62",PANAMA GLASS DESING
FCOGPC2017091038,9/25/2017," EATING PLACES, RESTAURANTS ",PAN,Restuarants and Bars,"1,248.02","FILIPPO SAPORI, S.A."
FCOGPC2017091039,9/25/2017," PACKAGE STORES, BEER, WINE, LIQUOR ",ARE,General Retail and Wholesale,"1,248.02",MMI FZE
FCOGPC2017091040,9/25/2017, GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Statutory Bodies,"1,251.92",FCO SERVICES
FCOGPC2017091041,9/25/2017," GROCERY STORES, SUPERMARKETS ",TZA,General Retail and Wholesale,"1,326.88",SHRIJEE SUPERMA
FCOGPC2017091042,9/25/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",GBR,Personal Services,"1,327.20",SERVEST SECURITY SERVI
FCOGPC2017091043,9/25/2017," MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS ",GBR,Catering and Catering Supplies,"1,360.64",STOPHAMVINEYARD
FCOGPC2017091044,9/25/2017, FLOOR COVERING STORES ,ALB,General Retail and Wholesale,"1,367.91",ANORIA
FCOGPC2017091045,9/25/2017, ELECTRONIC SALES ,GBR,General Retail and Wholesale,"1,485.00",PAYPAL  INAZONE LTD
FCOGPC2017091046,9/25/2017," HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS ",GBR,Building Services,"1,498.49",PLUMBASE LTD
FCOGPC2017091047,9/25/2017, HARDWARE STORES ,BLZ,General Retail and Wholesale,"1,544.83",BUILDER'S HARDWARE II
FCOGPC2017091048,9/26/2017, TRAVEL AGENCIES ,CYP,Travel Agencies,534.55,G.A.Z. TRAVEL HUB LTD
FCOGPC2017091049,9/26/2017, POSTAL SERVICES-GOVERNMENT ONLY ,LVA,Mail and Courier Services,542.4,RIGAS 10. PASTA NODALA
FCOGPC2017091050,9/26/2017," HEALTH PRACTITIONERS, MEDICAL SRVCS-NOT ELSEWHERE ",ZMB,Medical Supplies and Services,568.26,CFB MEDICAL CENTRE LIM
FCOGPC2017091051,9/26/2017, OTHER SERVICES (NOT ELSEWHERE CLASSIFIED) ,ISR,Professional Services,572.07,HASHMIRA T
FCOGPC2017091052,9/26/2017, OTHER SERVICES (NOT ELSEWHERE CLASSIFIED) ,ISR,Professional Services,572.07,HASHMIRA T
FCOGPC2017091053,9/26/2017," PACKAGE STORES, BEER, WINE, LIQUOR ",JPN,General Retail and Wholesale,584.61,RAKUTENSP AOKIYASYOU
FCOGPC2017091054,9/26/2017," ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES ",ISR,Clubs/Associations/Organisations,622.87,ERAN
FCOGPC2017091055,9/26/2017," COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE ",ROM,Computer Equipment & Services,653.25,ECO TONER DEP
FCOGPC2017091056,9/26/2017," BUILDING MATERIALS, LUMBER STORES ",ARG,Building Materials,653.63,SANITARIOS CAFERATTA
FCOGPC2017091057,9/26/2017," COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE ",GRC,Computer Equipment & Services,745.23,PLAISIO STORES
FCOGPC2017091058,9/26/2017, GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Statutory Bodies,759.95,NBAA-REGISTRATION
FCOGPC2017091059,9/26/2017," EATING PLACES, RESTAURANTS ",BRN,Restuarants and Bars,775.79,VILLA MAURI RESTAURANT
FCOGPC2017091060,9/26/2017, MISCELLANEOUS GENERAL MERCHANDISE ,NGA,General Retail and Wholesale,780.76,PAYU NON 3D GLOBAL
FCOGPC2017091061,9/26/2017," COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS ",BRB,Mail and Courier Services,888.87,UPS SCS (BARBADOS) SRL
FCOGPC2017091062,9/26/2017," PACKAGE STORES, BEER, WINE, LIQUOR ",GRC,General Retail and Wholesale,900.64,E DRINKS
FCOGPC2017091063,9/26/2017, SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED ,TUR,Training and Educational,904.68,CL EGITIM DANISMANLIK
FCOGPC2017091064,9/26/2017, HARDWARE STORES ,BLZ,General Retail and Wholesale,909.77,BUILDER'S HARDWARE II
FCOGPC2017091065,9/26/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Miscellaneous Industrial/Commercial Supplies,989.1,OPP LTD STERLING VT
FCOGPC2017091066,9/26/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Miscellaneous Industrial/Commercial Supplies,989.1,OPP LTD STERLING VT
FCOGPC2017091067,9/26/2017, ELECTRONIC SALES ,IND,General Retail and Wholesale,"1,002.01",ATLAHTA HELATH CARE
FCOGPC2017091068,9/26/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,MOZ,Professional Services,"1,005.04",MALEIANE IMPORT E EXPO
FCOGPC2017091069,9/26/2017, OFFICE PHOTOGRAPHIC PHOTOCOPY & MICROFILM EQUIPMT. ,ZAF,"Office Stationery, equipment and supplies","1,005.95",I ORMS PTY LTD T/A ONL
FCOGPC2017091070,9/26/2017," EATING PLACES, RESTAURANTS ",IND,Restuarants and Bars,"1,049.79",IDB
FCOGPC2017091071,9/26/2017, TELECOM INCL PREPAID/RECURRING PHONE SVCS ,GTM,Telecommunication Services,"1,051.00",CLARO
FCOGPC2017091072,9/26/2017, HOTELS/MOTELS/RESORTS  ,ARM,Hotels,"1,078.03",ACCOMODATION PROVIDER
FCOGPC2017091073,9/26/2017, HOTELS/MOTELS/RESORTS  ,IND,Hotels,"1,138.38",ACCOMODATION PROVIDER
FCOGPC2017091074,9/26/2017, HOTELS/MOTELS/RESORTS  ,IND,Hotels,"1,151.54",ACCOMODATION PROVIDER
FCOGPC2017091075,9/26/2017, ADVERTISING SERVICES ,BHR,Print and advertising,"1,153.84",AL HILAL PMG - GDN CLA
FCOGPC2017091076,9/26/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",BRB,General Retail and Wholesale,"1,166.89",ASHLEY FURNITURE BB
FCOGPC2017091077,9/26/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,"1,187.25",WILTS ELECTRICAL
FCOGPC2017091078,9/26/2017, DEPARTMENT STORES ,BRA,General Retail and Wholesale,"1,209.46",VIA VAREJO S A
FCOGPC2017091079,9/26/2017, POSTAL SERVICES-GOVERNMENT ONLY ,LVA,Mail and Courier Services,"1,220.50",RIGAS 10. PASTA NODALA
FCOGPC2017091080,9/26/2017, ELECTRICAL CONTRACTORS ,KEN,Building Services,"1,228.70",AIR COOL REFRIGERATION
FCOGPC2017091081,9/26/2017," COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES ",GBR,Training and Educational,"1,300.52",MILTON KEYNES COLLEGE
FCOGPC2017091082,9/26/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,"1,338.00",RTS COMMUNICATIONS LTD
FCOGPC2017091083,9/26/2017, MISCELLANEOUS GENERAL MERCHANDISE ,ROM,General Retail and Wholesale,"1,342.64",PAYU EMAG.RO
FCOGPC2017091084,9/26/2017, CATERERS ,AUS,Catering and Catering Supplies,"1,385.56",GASTRONOMY AUSTRALIA
FCOGPC2017091085,9/26/2017," COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS ",GHA,Computer Equipment & Services,"1,400.67",BLUEBOLT SYSTEM
FCOGPC2017091086,9/26/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Miscellaneous Industrial/Commercial Supplies,"1,535.24",WWW.THEAISUMMIT.COM
FCOGPC2017091087,9/26/2017, HOUSEHOLD APPLIANCE STORES ,ARG,General Retail and Wholesale,"2,176.61",EXPERT LAS MALVINAS
FCOGPC2017091088,9/27/2017," EATING PLACES, RESTAURANTS ",ITA,Restuarants and Bars,514.67,PEDEVILLA SPA
FCOGPC2017091089,9/27/2017," BUILDING MATERIALS, LUMBER STORES ",BRA,Building Materials,518.98,PAG PRIMEPISCINAS
FCOGPC2017091090,9/27/2017, ELECTRICAL PARTS AND EQUIPMENT ,PNG,Building Materials,526.42,AISI BISHMAN CONTRACTO
FCOGPC2017091091,9/27/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",BRN,General Retail and Wholesale,539.09,THOMSON FURNITURE SQRE
FCOGPC2017091092,9/27/2017, CATERERS ,CAN,Catering and Catering Supplies,539.17,GOODIES FINE CATERING
FCOGPC2017091093,9/27/2017, CRYSTAL AND GLASSWARE STORES ,ZAF,General Retail and Wholesale,564.5,GLASS EXPERTS
FCOGPC2017091094,9/27/2017, AUTOMOTIVE BODY REPAIR SHOPS ,ZAF,"Vehicles, servicing and spares",571.35,PJ AUTO COSMETI   6846
FCOGPC2017091095,9/27/2017, ELECTRONIC SALES ,IND,General Retail and Wholesale,575.42,MARK SALES AND SERVICE
FCOGPC2017091096,9/27/2017, GENERAL CONTRACTORS/RESIDENTIAL BUILDINGS ,CRI,Building Services,582.9,CONSTRUCCIONES J A G
FCOGPC2017091097,9/27/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",ARE,Utilities and Non Automotive Fuel,591.15,EMIRATES CENTREL COOLI
FCOGPC2017091098,9/27/2017," AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING ",MLT,"Vehicles, servicing and spares",605.18,GASAN ZAMMIT MOTORS-A
FCOGPC2017091099,9/27/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,611.5,ACCOMODATION PROVIDER
FCOGPC2017091100,9/27/2017, ELECTRICAL PARTS AND EQUIPMENT ,BRA,Building Materials,615.54,KRISTA TECNOLOGIA
FCOGPC2017091101,9/27/2017, HOTELS/MOTELS/RESORTS  ,MDA,Hotels,616.88,ACCOMODATION PROVIDER
FCOGPC2017091102,9/27/2017, CARIBBEAN ,GUY,Travel - Air/Rail/Road,625.37,BWIA      
FCOGPC2017091103,9/27/2017, CARIBBEAN ,GUY,Travel - Air/Rail/Road,625.37,BWIA      
