CPS outcomes by principal offence category Cambridgeshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,50.00%,1,50.00%
B Offences Against The Person,169,83.30%,34,16.70%
C Sexual Offences,10,90.90%,1,9.10%
D Burglary,24,85.70%,4,14.30%
E Robbery,14,73.70%,5,26.30%
F Theft And Handling,139,90.30%,15,9.70%
G Fraud And Forgery,9,75.00%,3,25.00%
H Criminal Damage,49,83.10%,10,16.90%
I Drugs Offences,56,93.30%,4,6.70%
J Public Order Offences,85,87.60%,12,12.40%
K All Other Offences (excluding Motoring),30,88.20%,4,11.80%
L Motoring Offences,272,91.90%,24,8.10%
Admin Finalisations,0,0.00%,13,100.00%
TOTAL,858,86.80%,130,13.20%
