Month of Year,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth
201701,Mot,225,1.28,11.11%,13.15%,00:02:00,2.37
201701,blue badge,174,1.31,3.45%,7.46%,00:05:02,2.66
201701,Theory test,164,1.24,3.66%,7.84%,00:03:51,3.28
201701,Birth certificate,163,1.36,12.27%,5.86%,00:03:59,1.67
201701,rates,149,1.3,7.38%,16.58%,00:03:21,3.17
201701,Crisis loan,147,1.78,23.13%,13.36%,00:03:20,2.36
201701,School closures,146,1.45,50.68%,7.55%,00:00:49,0.73
201701,birth certificate,143,1.44,8.39%,6.31%,00:03:42,2.21
201701,Jobs,136,1.67,32.35%,13.66%,00:01:17,1.54
201701,mot,116,1.19,11.21%,13.04%,00:02:24,2.58
201701,access ni,115,1.24,9.57%,15.38%,00:04:46,3.7
201701,Blue badge,115,1.25,10.43%,4.86%,00:03:08,2.25
201701,Parking ticket,114,1.16,0.00%,2.27%,00:01:40,2.1
201701,Car tax,107,1.67,35.51%,15.08%,00:01:28,1.05
201701,Rates,106,1.25,4.72%,18.80%,00:02:29,2.75
201701,jobs,101,1.6,32.67%,15.43%,00:01:15,1.7
201701,esa,98,1.36,17.35%,26.32%,00:04:19,2.36
201701,carers allowance,94,1.23,5.32%,12.07%,00:04:29,3.16
201701,Contact,93,1.3,26.88%,19.83%,00:01:39,1.38
201701,Income support,92,1.21,14.13%,18.92%,00:02:20,1.63
201701,pip,88,1.26,12.50%,21.62%,00:05:55,2.61
201701,Driving test,85,1.05,2.35%,6.74%,00:03:11,2.53
201701,Phone number,84,1.69,20.24%,12.68%,00:02:10,2.26
201701,careers,82,1.24,8.54%,18.63%,00:04:48,3.83
201701,car tax,81,1.44,30.86%,17.95%,00:01:55,1.48
201701,Contact number,81,1.37,28.40%,19.82%,00:01:31,1.64
201701,Pip,81,1.54,16.05%,15.20%,00:04:18,2.68
201701,theory test,80,1.19,2.50%,10.53%,00:03:52,3.49
201701,attendance allowance,77,1.51,3.90%,16.38%,00:05:23,3.61
201701,crisis loan,77,1.9,25.97%,15.07%,00:04:39,2.25
201701,parking ticket,76,1.08,0.00%,4.88%,00:03:37,2.07
201701,tax,75,1.19,36.00%,14.61%,00:01:10,1.16
201701,juries,74,1.64,4.05%,20.66%,00:01:44,1.57
201701,Attendance allowance,72,1.64,12.50%,9.32%,00:05:01,3.14
201701,driving test,72,1.15,1.39%,7.23%,00:04:44,3.31
201701,Enhanced check,72,1.28,12.50%,8.70%,00:04:07,2.08
201701,Social fund,72,1.51,15.28%,22.02%,00:04:15,3.9
201701,sorn,72,1.61,15.28%,13.79%,00:01:37,1.89
201701,enhanced check,71,1.2,2.82%,5.88%,00:08:19,3.59
201701,Esa,71,1.51,16.90%,14.02%,00:05:06,2.82
201701,accessni,70,1.53,4.29%,13.08%,00:09:23,5.69
201701,passport,70,1.4,4.29%,14.29%,00:03:22,1.43
201701,ESA,69,1.65,13.04%,14.91%,00:03:47,2.42
201701,Housing benefit,69,1.42,26.09%,9.18%,00:04:02,2.25
201701,Driving licence,68,1.51,11.76%,17.48%,00:03:11,2.12
201701,Carers allowance,66,1.55,4.55%,11.76%,00:04:54,2.89
201701,proni,66,1.2,3.03%,16.46%,00:04:28,5.76
201701,Street lighting,66,1.26,7.58%,3.61%,00:02:09,1.58
201701,Juries,63,1.49,12.70%,11.70%,00:03:41,2.41
201701,street lighting,62,1.27,3.23%,1.27%,00:02:03,2.03
201701,change of address,61,1.57,19.67%,18.75%,00:01:54,1.75
201701,Community care grant,59,1.75,47.46%,15.53%,00:02:47,1.31
201701,Access ni,58,1.41,12.07%,23.17%,00:02:08,2.71
201701,driving licence,58,1.36,5.17%,29.11%,00:03:50,1.9
201701,marriage,57,1.35,3.51%,7.79%,00:06:18,3.61
201701,birth certificates,56,1.36,8.93%,17.11%,00:05:16,2.39
201701,Careers,56,1.39,16.07%,16.67%,00:03:48,2.32
201701,Marriage,53,1.36,9.43%,15.28%,00:04:30,3.49
201701,income support,52,1.19,3.85%,25.81%,00:06:09,2.29
201701,Dla,51,1.31,5.88%,29.85%,00:03:10,2.69
201701,pension credit,51,1.31,1.96%,13.43%,00:03:34,4.12
201701,apprenticeships,50,1.34,8.00%,8.96%,00:04:35,4
201701,dla,50,1.46,6.00%,27.40%,00:03:47,3.74
201701,Tax,50,1.38,20.00%,43.48%,00:01:06,1.24
201701,state pension,49,1.67,8.16%,21.95%,00:06:17,2.61
201701,Change of address,48,1.5,14.58%,20.83%,00:02:48,2.17
201701,housing benefit,48,1.4,12.50%,23.88%,00:04:26,1.92
201701,DL1,47,2.04,14.89%,16.67%,00:03:40,2.34
201701,wills,47,1.62,6.38%,17.11%,00:04:16,2.55
201701,community care grant,46,2.54,32.61%,17.09%,00:02:59,2.2
201701,Career ideas,45,1.18,0.00%,1.89%,00:02:09,1.16
201701,groni,45,1.18,6.67%,0.00%,00:07:09,2.89
201701,births,44,1.61,6.82%,14.08%,00:03:44,3.73
201701,Marriage certificate,44,1.23,4.55%,11.11%,00:02:37,1.66
201701,Theory,44,1.3,4.55%,14.04%,00:01:34,3.14
201701,child benefit,43,1.95,25.58%,13.10%,00:02:13,1.84
201701,DLA,43,1.49,13.95%,12.50%,00:02:49,2.58
201701,Jury service,42,1.43,19.05%,15.00%,00:03:42,2.48
201701,log in,42,1.81,11.90%,19.74%,00:04:09,2.83
201701,tax credits,42,1.38,26.19%,29.31%,00:02:00,1.14
201701,marriage certificate,41,1.15,4.88%,8.51%,00:03:48,2.1
201701,Passport,41,1.39,12.20%,7.02%,00:03:44,2.59
201701,discretionary support,40,2.05,30.00%,18.29%,00:03:29,1.58
201701,social fund,40,1.92,7.50%,16.88%,00:04:01,5.28
201701,Sorn,40,1.38,17.50%,20.00%,00:02:16,1.88
201701,Belfast,39,1.49,28.21%,18.97%,00:02:48,3
201701,DL1R,39,2.08,20.51%,13.58%,00:02:46,2.9
201701,vehicle tax,39,2,38.46%,15.38%,00:01:27,1.1
201701,Book mot,38,1.13,2.63%,0.00%,00:03:50,2.68
201701,census,38,1.79,23.68%,14.71%,00:02:45,2.58
201701,ulster covenant,38,1.26,2.63%,6.25%,00:03:10,1.63
201701,PIP,37,1.27,2.70%,19.15%,00:04:18,1.78
201701,state pension online,37,2.49,8.11%,10.87%,00:12:06,2.14
201701,Change address,36,1.33,36.11%,25.00%,00:01:17,0.97
201701,Not,36,1.11,16.67%,67.50%,00:01:02,0.39
201701,probate,36,1.5,5.56%,18.52%,00:06:04,2.69
201701,School closure,36,1.31,33.33%,8.51%,00:01:03,1.11
201701,Vehicle tax,36,1.28,30.56%,26.09%,00:02:18,2.03
201701,landlord,35,1.09,14.29%,7.89%,00:04:02,2.57
201701,Wills,35,2,11.43%,11.43%,00:05:08,3.03
201701,Book theory test,34,1.5,2.94%,1.96%,00:06:22,3.71
201701,birth records,33,1.61,18.18%,15.09%,00:06:04,3.45
201701,Fees,33,1.12,3.03%,40.54%,00:02:13,1.48
201701,MOT,33,1.24,3.03%,17.07%,00:01:27,2.55
201701,State pension,33,1.52,6.06%,28.00%,00:04:00,1.97
201701,Tax credits,33,1.3,48.48%,11.63%,00:00:30,0.58
201701,universal credit,33,1.33,6.06%,20.45%,00:04:34,2.21
201701,Birth certificates,32,1.44,9.38%,8.70%,00:03:34,1.94
201701,Book driving test,32,1.06,0.00%,5.88%,00:03:12,2.84
201701,Crisis loans,32,1.81,34.38%,18.97%,00:04:08,2.78
201701,jury,32,1.44,0.00%,10.87%,00:06:03,3.69
201701,maternity,32,1.31,9.38%,11.90%,00:02:36,2.25
201701,Challenge parking ticket,31,1.23,3.23%,0.00%,00:01:11,1.61
201701,dl1,31,1.35,12.90%,23.81%,00:02:29,2.45
201701,Driving license,31,1.52,19.35%,36.17%,00:02:04,1.58
201701,fees,31,1.55,12.90%,31.25%,00:01:32,1.16
201701,Pension credit,31,1.42,6.45%,25.00%,00:07:03,3.74
201701,Provisional license,31,1.29,9.68%,15.00%,00:00:54,1
201701,bedroom tax,30,1.43,33.33%,25.58%,00:01:55,1.53
201701,bereavement,30,1.53,3.33%,8.70%,00:08:49,4.13
201701,Budgeting loan,30,1.37,6.67%,14.63%,00:03:11,2.83
201701,contact number,30,1.43,16.67%,16.28%,00:01:42,2.3
201701,family history,30,1.2,3.33%,22.22%,00:05:39,5.6
201701,login,30,1.7,13.33%,13.73%,00:04:45,2.37
201701,school closures,30,1.43,36.67%,6.98%,00:01:29,0.9
201701,Universal credit,30,1.57,23.33%,4.26%,00:03:40,1.87
201701,blue badge application form,29,1.66,3.45%,6.25%,00:04:14,1.79
201701,Census,29,1.76,13.79%,15.69%,00:01:45,2.21
201701,death,29,1.38,6.90%,15.00%,00:05:35,3.24
201701,genealogy,29,1.24,3.45%,5.56%,00:03:32,3.14
201701,Provisional,29,1.21,6.90%,11.43%,00:01:16,1.24
201701,Provisional licence,29,1.28,0.00%,18.92%,00:01:18,1.76
201701,budgeting loan,28,1.14,3.57%,9.38%,00:00:59,1.96
201701,Crisis loan number,28,2.61,35.71%,2.74%,00:03:36,1.93
201701,disability living allowance,28,1.68,7.14%,27.66%,00:03:04,1.89
201701,divorce,28,1.46,7.14%,19.51%,00:05:57,2.68
201701,dva,28,1.46,10.71%,21.95%,00:05:35,3.18
201701,forms,28,1.5,14.29%,42.86%,00:04:43,2.21
201701,jury service,28,1.43,0.00%,5.00%,00:04:09,2.93
201701,Divorce,27,1.44,14.81%,5.13%,00:02:25,2.22
201701,DL1R form,27,2.3,25.93%,9.68%,00:02:36,2.19
201701,Dva,27,1.44,25.93%,25.64%,00:02:25,1.26
201701,Grants,27,2.22,14.81%,11.67%,00:03:40,2.67
201701,Job seekers,27,1.44,18.52%,12.82%,00:02:27,1.89
201701,Log in,27,1.3,25.93%,17.14%,00:01:04,1.89
201701,Practical test,27,1.19,3.70%,6.25%,00:01:35,2
201701,Probate,27,1.74,22.22%,12.77%,00:04:05,2.59
201701,Road tax,27,1.41,33.33%,31.58%,00:01:31,0.33
201701,Tax car,27,1.37,37.04%,18.92%,00:00:44,0.96
201701,apply for disclosure certificates,26,1.62,0.00%,26.19%,00:03:49,4.88
201701,Births,26,1.5,7.69%,23.08%,00:04:05,2.88
201701,Jobseekers,26,1.42,38.46%,13.51%,00:01:02,1.27
201701,landlord registration,26,1.19,7.69%,6.45%,00:03:47,2.15
201701,Login,26,1.46,19.23%,13.16%,00:05:26,2.88
201701,Telephone number,26,1.46,26.92%,10.53%,00:01:16,2.23
201701,DL1 form,25,2.88,16.00%,8.33%,00:03:44,2.16
201701,fishing,25,1.56,12.00%,7.69%,00:06:31,4.16
201701,jsa,25,1.24,4.00%,25.81%,00:03:23,2.28
201701,land registry,25,1.48,8.00%,10.81%,00:02:59,3.08
201701,parking,25,1.08,4.00%,22.22%,00:03:41,2.84
201701,phone number,25,1.72,24.00%,11.63%,00:02:23,2.24
201701,quiz,25,1.84,24.00%,6.52%,00:02:23,3.12
201701,support desk,25,2.08,8.00%,9.62%,00:06:09,5.76
201701,Benefits,24,1.38,4.17%,30.30%,00:03:25,4.88
201701,change address,24,1.42,12.50%,17.65%,00:02:24,2.33
201701,church records,24,1.54,0.00%,18.92%,00:03:35,3.25
201701,maps,24,1.5,4.17%,8.33%,00:05:24,3
201701,maternity allowance,24,1.21,4.17%,20.69%,00:05:43,1.88
201701,pension,24,1.46,8.33%,31.43%,00:04:33,3.46
201701,Proni,24,1.38,12.50%,12.12%,00:02:59,4.38
201701,PRONI,24,1.33,4.17%,6.25%,00:09:39,6.92
201701,taxi,24,1.42,8.33%,23.53%,00:04:04,3.08
201701,1911 census,23,1.65,17.39%,13.16%,00:04:08,2.17
201701,address,23,1.17,13.04%,25.93%,00:02:55,2.13
201701,angling,23,1.04,4.35%,12.50%,00:06:27,8
201701,blue badge scheme,23,1.57,0.00%,13.89%,00:05:56,3.57
201701,crisis loans,23,1.83,21.74%,21.43%,00:02:18,2.26
201701,ema,23,1.78,13.04%,17.07%,00:03:20,2.52
201701,finance support,23,1.74,21.74%,5.00%,00:04:25,1.43
201701,Loans,23,1.7,26.09%,25.64%,00:02:46,1.78
201701,marriage records,23,2.39,8.70%,12.73%,00:15:05,4.87
201701,pay rates,23,1.13,4.35%,7.69%,00:01:58,2.17
201701,redundancy,23,1.22,8.70%,21.43%,00:03:36,2.22
201701,Apply for disclosure certificates,22,1.55,4.55%,8.82%,00:06:04,4.27
201701,Birth records,22,1.86,18.18%,17.07%,00:03:15,2.27
201701,book driving test,22,1,0.00%,9.09%,00:06:37,2.59
201701,driving license,22,1.77,13.64%,15.38%,00:05:13,2.55
