Department,2012 - Number of staff,2012 - Number of full time equivilent posts,2013 - Number of staff ,2013 - Number of full time equivilent posts,2014 - Number of staff,2014 - Number of full time equivilent posts,2015 - Number of staff,2015 - Number of full time equivilent posts,2016 - Number of staff,2016 - Number of full time equivilent posts
Executive Office,39,37.8,37,34.9,33,32,71,65.8,,
People,2092,1498,1903,1437.2,1800,1341.4,1704,1220.7,,
Corporate Services,1126,859.2,1041,800.5,1012,806,,,,
Place,898,853.8,857,790.3,825,756.1,661,621,,
Transformation & Change,,,,,,,877,691.5,,
Office of the Director of Public Health,,,,,,,104,97,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
