RFI Identifier,Type,Subject,Summary,Status,Outcome,Refusal Reason(s)
6931,FOI,Nuclear Policy,Correspondence between the Department for the Environment Transport and the Regions and Greenspace UK / Friends of the Earth relating to nuclear policy.,Closed,Information Not Held,
6925,EIR,Bovine TB,"Would you please consider a Freedom of Information Request and provide details of the following: 1. How many, and what percentage of UK beef and dairy cattle are processed for sale following a positive reaction to TB tests? This should include any animal",Closed,All Information Provided,
6922,FOI,Unauthorised removal of items over �50,"A list of all items with a value of over £50 which have been taken without authorisation from the department in each of the last three years; and what steps have been taken to recover such items. For each item please include a description, the location it",Closed,Information Partially Provided,S40 - Personal information
6921,EIR,Hen Harrier Sub-Group,copies of any communications (emails or letters dated April-September 2014) between Defra and the participants in the Defra Hen Harrier Sub-Group of the Uplands Stakeholder Forum concerning Hen Harriers and/or grouse shooting and/or the progress on the dr,Closed,Information Partially Provided,12 (4)(d) - Unfinished documents/incomplete data; Reg 12(3) personal data
6920,FOI,Payroll giving,"Number of staff currently employed and the number of these staff that are signed up to support a charity from pay, via a Payroll Giving/ Give As You Earn scheme.",Closed,All Information Provided,
6919,FOI,Village green status in Yorkshire,"How many applications for village green status were made in Yorkshire following the introduction of the legislation in the Commons Act 2006 and the introduction of the Growth and Infrastructure Act in 2013? Of those, how many were successful? ",Closed,Information Partially Provided,S21 - Information accessible by other means
6918,EIR,"Meeting docs - Owen Paterson, IGas, Cuadrilla and Onshore Operators Group",Documents relating to meetings between Owen Paterson and IGas Cuadrilla and Onshore Operators,Closed,No Information Provided,12 (4)(e) - Disclosure of internal communications
6917,EIR,Meetings & contacts between Defra and Anglo American,"Where Anglo American and DEFRA have discussed a) the UK or EU's position relating to international climate targets (either the EU 2030 Climate and Energy Package or the UNFCCC COPs - COP19, 20 or 21); b) the EU ETS (its functioning or its reform)",Closed,Information Not Held,
6916,FOI,Wholegrain foods and Products,Please could you send me details of any correspondence or reports that make mention to whole grain food or whole grain products between 1 January 2003 and 1 January 2008. This might include any internal correspondence or correspondence involving bodies ou,Closed,Information Not Held,
6915,FOI,Expenses spend on Taxis and Hotels,"Dear Department for Environment, Food and Rural Affairs, I would like to get the figures for the following for each of past 2 years: - Spending on taxis for staff and the number of such claims. - Spending on hotels for staff and the number of such c",Closed,All Information Provided,
6914,EIR,Deer on the Isle of Wight,1. Evidence report on expert opinion regarding the assumption that deer on IOW are human- introduced. 2. Evidence (from culled deer or observations of deer by Defra family) of markings that show such deer are farm escapees.,Closed,Information Not Held,
6913,EIR,Bovine TB Cull,"1) Have you finalised all costs related to Badger Cull Pilots - Year 1? 2) If you havent finalised all costs, when will they be finalised? 3) If you have finalised all costs, when will they be published?",Closed,All Information Provided,
6910,EIR,Bovine TB Cull,Under the FOI I would like copies of the records relating to each badger killed in the 2013 cull that I can legally receive.,Closed,Information Available Elsewhere,
6909,EIR,Bovine TB Cull,Please can you give me the following information after the pilot culls have finished end October 2014 Numbers of badgers shot in both Somerset and Gloucester pilot cull zones Post mortem and other test results on all badgers you have tested Did,Closed,No Information Provided,"12 (4)(d) - Unfinished documents/incomplete data, "
6908,EIR,Bovine TB Cull,"""I would like to request the following information under the Freedom Of Information legislation. (1) What date and time did the 6 week license to commence badger culling in both Gloucestershire and Somerset begin in 2014. (2) What date and time do",Closed,All Information Provided,
6907,FOI,Meta- request against 6772,Edward is requesting copies of all internal and external written communications relating to his information request - 6772 costs/benefits associated with the creation of SSCL,Closed,No Information Provided,S36 - Effective conduct of public affairs
6906,FOI,781/14 Yorkshire Dales National Park: western extension,The costs of the project so far on the outcome of the Public Inquiry into the proposed Westwards Extension of the Yourkshire Dales National Park.(DEFRA ,Closed,All Information Provided,
6905,FOI,RGN GRANT APPLICATION,The Melton Mowbray Food Partnership (MMFP) had made an unsuccessful application for a £4.8 million grant front the Rural Growth Network. I would like to obtain electronic copies of any documents that relate to this application.,Closed,All Information Provided,
6903,EIR,Farms in the Uk,Applicant requested that we supply a copy of Farms in the Uk or what you have on file,Closed,Transferred Out to another public authority,
6902,FOI,Malware Incidences,Information requested on the number of incidences of malware found in the department's IT infrastructure.,Closed,No Information Provided,S23 - Information relating to security matters
6901,FOI,Use of RIPA to obtain journalists' phone records,"Between 1 January 2014 to 11 September 2014, on how many occassions has the department used RIPA to obtain info from telephone records of journalists, news organisations or any other news organisations employees?",Closed,Information Not Held,
6900,EIR,Richard Benyon letter to CEOs of water and sewerage companies sent 18/07/13,Request for copy of letter dated 18 July 2013 which Richard Benyon (Minister for Natural Environment and Fisheries) sent to UK water and sewerage company Chief Executive Officers.,Closed,All Information Provided,
