Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",143,136.78,261,250.52,821,788.39,472,452.84,79,76.85,0,0,1776,1705.38,11,11,12,12,47,47,0,0,70,70,1846,1775.38,"£7,843,565","£1,291",£590,"£40,805","£1,364,384","£590,911","£9,841,546","£755,673",£0,"£755,673","£10,597,219",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",836,764.46,541,505.7,751,704.6,179,175.38,8,7.61,0,0,2315,2157.75,11,11,0,0,27,27,0,0,38,38,2353,2195.75,"£5,369,181","£95,173",£583,"£53,705","£1,137,569","£416,487","£7,072,700","£178,278",£0,"£178,278","£7,250,978",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",87,81.73,116,107.34,246,234.38,93,87.36,3,3,0,0,545,513.81,0,0,0,0,0,0,0,0,0,0,545,513.81,"£1,311,863","£33,066","£4,149","£16,702","£274,210","£102,267","£1,742,257",£0,£0,£0,"£1,742,257",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",705,614.11,645,594.52,594,566.67,171,169.66,16,16,0,0,2131,1960.96,162,162,50,50,0,0,0,0,212,212,2343,2172.96,"£4,543,651","£20,679","£8,850","£238,303","£929,837","£356,594","£6,097,914","£272,997","£344,668","£617,664","£6,715,579",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",34,32.34,26,25.41,44,42.67,43,42.55,3,3,0,0,150,145.97,6,4.9,0,0,2,1.2,0,0,8,6.1,158,152.07,"£443,159","£9,765",£0,£0,"£96,281","£38,032","£587,237","£20,880",£0,"£20,880","£608,117",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,402,388.53,402,388.53,12,12,0,0,9,9,0,0,21,21,423,409.53,"£1,160,757","£55,546",£0,£0,"£99,226","£129,599","£1,445,129","£20,631",£0,"£20,631","£1,465,760",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",12,11.81,28,26.68,16,15.11,8,8,4,4,0,0,68,65.6,1,1,2,2,0,0,0,0,3,3,71,68.6,"£171,929","£2,096",£0,£0,"£33,342","£14,260","£221,627","£16,279",£0,"£16,279","£237,906",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1652,1528.57,2525,2358.56,3110,2922.14,1918,1837.35,119,116.67,961,948.46,10285,9711.75,186,179.43,68,65.39,126,126,260,247.18,640,618,10925,10329.75,"£25,273,491","£496,480",£0,"£2,217,879","£3,747,139","£2,245,225","£33,980,215","£703,468","£873,245","£1,576,713","£35,556,928",
Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.14,24,23.22,124,117.51,23,21.93,1,1,6,1.05,187,172.85,0,0,0,0,0,0,0,0,0,0,187,172.85,"£457,236","£10,413","£2,062","£1,561","£93,283","£36,242","£600,796",£0,£0,£0,"£600,796",
Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",26,24.77,107,105.2,110,105.83,35,34.95,6,6,0,0,284,276.75,6,6,1,1,2,2,0,0,9,9,293,285.75,"£696,624",£0,£0,"£7,949","£146,641","£53,248","£904,462","£49,221",£0,"£49,221","£953,683",
National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1,1,4,4,15,13,1,1,1,1,0,0,22,20,0,0,0,0,0,0,0,0,0,0,22,20,"£59,143",£175,£0,£0,"£12,016","£4,492","£75,826",£0,£0,£0,"£75,826",
Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",264,243.1,371,349.66,1393,1297.4,176,170.76,18,17.9,10,9.4,2232,2088.22,206,200,0,0,0,0,0,0,206,200,2438,2288.22,"£5,182,942","£45,909",£120,"£24,096","£1,075,692","£380,484","£6,709,243","£434,046",£0,"£434,046","£7,143,289",Jan-16
"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",245,224.16,163,153.19,201,193.98,58,57.14,11,10.9,62,62,740,701.37,12,11.2,7,6,0,0,0,0,19,17.2,759,718.57,"£1,655,081","£2,569",£0,"£32,297","£333,351","£130,686","£2,153,984","£282,433","-£12,029","£270,405","£2,424,389",
Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",4,4,0,0,0,0,0,0,0,0,83,83,87,87,0,0,0,0,0,0,0,0,0,0,87,87,"£244,299",£318,£0,£0,"£28,683","£22,914","£296,215",£0,£0,£0,"£296,215",Bulk of staff do not fall into specified categories.
