Department Family,Entity,Cleared Date,Expense Type,Expense Area,Supplier Name,Reference Number,Line Value Excl Rec VAT,VAT registration number
Department of Health,Birmingham East and North PCT,12/05/2011,External Contract SLA Pay,Provider,Heart of England NHS Foundation Trust,NHS2198,25000,
Department of Health,Birmingham East and North PCT,13/05/2011,CAHMS,Commissioning Hosted Services,Birmingham and Solihull Mental Health NHS Foundation Trust,NHS2199,25000,
Department of Health,Birmingham East and North PCT,23/05/2011,General and Acute,Commissioning,Sandwell and West Birmingham Hospitals NHS Trust,NHS2200,25542,
Department of Health,Birmingham East and North PCT,16/05/2011,Community Health Services,Commissioning,South Staffordshire PCT,NHS2201,25569,
Department of Health,Birmingham East and North PCT,23/05/2011,General and Acute,Commissioning,Sandwell and West Birmingham Hospitals NHS Trust,NHS2202,26961,
Department of Health,Birmingham East and North PCT,16/05/2011,General and Acute,Commissioning,Mid Staffordshire General Hospitals NHS Trust,NHS2203,27245,
Department of Health,Birmingham East and North PCT,16/05/2011,Community Health Services,Commissioning,Walsall Hospitals NHS Trust,NHS2204,27961,
Department of Health,Birmingham East and North PCT,31/05/2011,Drugs Costs,Commissioning,Solihull Care Trust (NHS),NHS2205,28018.96,
Department of Health,Birmingham East and North PCT,16/05/2011,Acute General Cost per case,Commissioning Hosted Services,Worcestershire  Primary Care Trust,NHS2206,30275,
Department of Health,Birmingham East and North PCT,11/05/2011,General and Acute,Commissioning,Royal Free Hampstead NHS Trust,NHS2207,31788,
Department of Health,Birmingham East and North PCT,12/05/2011,Mental Illness,Commissioning Hosted Services,Birmingham and Solihull Mental Health NHS Foundation Trust,NHS2208,32000,
Department of Health,Birmingham East and North PCT,19/05/2011,General and Acute,Commissioning,Birmingham Community Healthcare NHS Trust,NHS2209,33532,
Department of Health,Birmingham East and North PCT,17/05/2011,Acute General Cost per case,Commissioning Hosted Services,Oxford Radcliffe Hospitals NHS Trust,NHS2210,34344,
Department of Health,Birmingham East and North PCT,17/05/2011,Acute General Cost per case,Commissioning Hosted Services,Alder Hey Childrens NHS Foundation Trust,NHS2211,35087,
Department of Health,Birmingham East and North PCT,16/05/2011,External Contract SLA Pay,Provider,Heart of England NHS Foundation Trust,NHS2212,35620,
Department of Health,Birmingham East and North PCT,23/05/2011,General and Acute,Commissioning Hosted Services,Birmingham and Solihull Mental Health NHS Foundation Trust,NHS2213,35975,
Department of Health,Birmingham East and North PCT,13/05/2011,General and Acute,Commissioning Hosted Services,Alder Hey Childrens NHS Foundation Trust,NHS2214,36855,
Department of Health,Birmingham East and North PCT,13/05/2011,General and Acute,Commissioning Hosted Services,Royal Brompton and Harefield NHS Trust,NHS2215,38336,
Department of Health,Birmingham East and North PCT,16/05/2011,Mental Illness,Commissioning Hosted Services,Dudley and Walsall Mental Health Partnership NHS Trust,NHS2216,39226,
Department of Health,Birmingham East and North PCT,16/05/2011,General and Acute,Commissioning ,Sandwell and West Birmingham Hospitals NHS Trust,NHS2217,39732,
Department of Health,Birmingham East and North PCT,11/05/2011,Acute General Cost per case,Commissioning Hosted Services,Royal National Hospital Rheumatic Diseases,NHS2218,40450,
Department of Health,Birmingham East and North PCT,16/05/2011,General and Acute,Commissioning ,Hereford Hospitals NHS Trust,NHS2219,40966.61,
Department of Health,Birmingham East and North PCT,16/05/2011,Mental Illness,Commissioning Hosted Services,Worcestershire Mental Health Partnership NHS Trust ,NHS2220,41216,
Department of Health,Birmingham East and North PCT,17/05/2011,Acute General Cost per case,Commissioning Hosted Services,Liverpool Heart and Chest Hospital NHS Trust ,NHS2221,42913.15,
Department of Health,Birmingham East and North PCT,09/05/2011,Community Health Services,Commissioning ,South Birmingham Primary Care Trust (Commissioner),NHS2222,43664,
Department of Health,Birmingham East and North PCT,13/05/2011,General and Acute,Commissioning Hosted Services,Buckinghamshire Hosptials NHS Trust ,NHS2223,43892,
