Department family,Entity,Date Paid,Expense type,Expense area,Supplier,Transaction number,Amount,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Drugs,Pharmacy,Gilead Sciences Ltd,379689,41516.04,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Bank Nurses,Hospital Wide,Nhs Professionals,379509,111751.92,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Bank Nurses,Hospital Wide,Nhs Professionals,378437,102907.41,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Drugs,Pharmacy,Roche Products Ltd,381114,52999.26,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Laundry Contract,Environmental Services,Sunlight Services Group Ltd,380191,39856.05,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Telecom Installation,Hospital Development,Bt Plc,380875,44940.55,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Therapy Services,Therapies,Nhs Haringey Provider Services,378556,230716,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,IT Support and Maintenance,Computer Services,Mckesson Information Solutions Uk Ltd,379147,78875.7,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Blood & Blood Products,Pathology,Nhs Blood & Transplant,380861,84800.36,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,380207,68729.95,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Refurbishment,Hospital Development,Sherman + Co Ltd,379363,32949.48,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Reagents,Pathology,Siemens Healthcare Diagnostics  Ltd,380870,32128.32,
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-10,Printing and Copying,Hospital Wide,The Danwood Group Ltd,380172,55909.56,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Bank Nurses,Hospital Wide,Nhs Professionals,380703,111716.39,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Laundry Contract,Environmental Services,Sunlight Services Group Ltd,381622,40833.2,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Sterile Services Contract,Environmental Services,Synergy Healthcare (Uk) Ltd,378199,60912,
Department of Health,North Middlesex University Hospital NHS Trust,08-Dec-10,Rates,Environmental Services,London Borough Of Enfield,380462,48174,
