Date,Supplier,Amount,Comments
23/08/2011,ANGLIA SKILLS ACAD,£546.00,Payment of customer training
08/08/2011,BLACKHURST BUDD,£562.88,Payment of legal services
08/08/2011,BLACKHURST BUDD,£875.64,Payment of legal services
23/08/2011,BLACKHURST BUDD,"£1,090.28",Payment of legal services
23/08/2011,BLACKHURST BUDD,"£1,630.56",Payment of legal services
02/08/2011,BLACKHURST BUDD,"£2,339.54",Payment of legal services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
03/08/2011,CORPORATE DOCUMENT,£600.00,Payment of ethnic translation print services
09/08/2011,COUNCIL FOR ADMINISTRA,£500.00,Payment of customer training
25/08/2011,COUNCIL FOR ADMINISTRA,£575.00,Payment of customer training
17/08/2011,DEAFCONNECT,£581.88,Payment of interpreter services
17/08/2011,DEAFCONNECT,£594.16,Payment of interpreter services
08/08/2011,DENBY & CO SOLICITORS,£656.88,Payment of legal services
02/08/2011,DOD`S PARLIAMENTARY CO,£576.00,Payment of external staff training session
23/08/2011,FIELDINGS PORTER,"£1,088.02",Payment of legal services
03/08/2011,INCOME OFFFICE,£600.00,Payment of external venue 
25/08/2011,J B SKILLCARE LTD,£585.35,Payment of customer training
15/08/2011,KIRKLEES MC  T/T,£511.19,Payment of interpreter services
31/08/2011,NAT SCHOOL OF GOVERNME,£500.00,Payment of external staff training session
10/08/2011,NAT SCHOOL OF GOVERNME,£500.00,Payment of external staff training session
09/08/2011,NAT SCHOOL OF GOVERNME,£500.00,Payment of external staff training session
17/08/2011,PRESTIGE NETWORK LTD,£534.73,Payment of interpreter services
18/08/2011,SONIC COMS INT LTD,£510.00,Payment of equipment for fraud investigators
05/08/2011,SONIC COMS INT LTD,£510.00,Payment of equipment for fraud investigators
05/08/2011,SONIC COMS INT LTD,£510.00,Payment of equipment for fraud investigators
03/08/2011,STATIONERY OFFICE BOOK,£600.00,Payment of work-related books
25/08/2011,TNT UK LTD,£541.08,Payment of courier service
08/08/2011,TNT UK LTD,£600.00,Payment of courier service
16/08/2011,UNI OF LIVERPOOL,£591.60,Payment of external venue 
03/08/2011,UNIVERSITY OF NEWC,£540.00,Payment of external venue 
29/08/2011,WWW.MISCO.CO.UK,£595.40,Payment of stationery goods
