CP No.,Route,Divn.,Location,Channel 1,Channel 2,Easting,Northing,24 Hour AADT (7 day flow),24 Hour AADT (7 day flow) rounded,% HGV (7 day flow),AM mean weekday peak hour (5 day flow),AM mean weekday peak hour (5 day flow) rounded,AM mean weekday peak hour (5 day flow) start time,PM mean weekday peak hour (5 day flow),PM mean weekday peak hour (5 day flow) rounded,PM mean weekday peak hour (5 day flow) start time,24 Hour 7 Day Flow CH. 1,24 Hour 7 Day Flow CH. 2,24 Hour 7 Day Flow CH. 1 (rounded),24 Hour 7 Day Flow CH. 2 (rounded),Percentage Traffic Composition (car / van),Percentage Traffic Composition (med com),Percentage Traffic Composition (rigid),Percentage Traffic Composition (artic),Percentage Traffic Composition (bus / coach),24 Hour 5 Day Flow CH. 1,24 Hour 5 Day Flow CH. 2,24 Hour AADT (5 day flow),24 Hour 5 Day Flow CH. 1 (rounded),24 Hour 5 Day Flow CH. 2 (rounded),24 Hour AADT (5 day flow) rounded,AM peak hour flow weekday channel 1,AM peak hour flow weekday channel 1 (rounded),AM peak hour flow weekday channel 1 start time,PM peak hour flow weekday channel 1,PM peak hour flow weekday channel 1 (rounded),PM peak hour flow weekday channel 1 start time,AM peak hour flow weekday channel 2,AM peak hour flow weekday channel 2 (rounded),AM peak hour flow weekday channel 2 start time,PM peak hour flow weekday channel 2,PM peak hour flow weekday channel 2 (rounded),PM peak hour flow weekday channel 2 start time,2012 24 Hour AADT (7 day flow) rounded,2013 %age incr/decr over 2012 24HrAADT (7 day flow),2013 24 Hour AADT (7 day flow) rounded,2014 %age incr/decr over 2013 24HrAADT (7 day flow),2014 24 Hour AADT (7 day flow) rounded,Comments
101,B95,North,"Antrim - M2, at Greystone Road",To Antrim,To Rathbeg,317801,386871,"8,060","8,060",-,751,750,08:00,872,870,17:00,4148,3912,4150,3910,-,-,-,-,-,4704,4474,"9,178",4700,4470,"9,170",490,490,08:00,392,390,16:00,282,280,07:00,486,490,17:00,-,-,"7,700",4.68,"8,060",
102,A6,North,"Toome - Randalstown, at Drumbeg",To Toome,To Randalstown,300353,389975,"18,663","18,660",-,1539,1540,08:00,1850,1850,17:00,9382,9281,9380,9280,-,-,-,-,-,10361,10115,"20,476",10360,10120,"20,480",638,640,08:00,1188,1190,17:00,990,990,07:00,665,670,16:00,-,-,-,-,"18,660",
103,A6,North,"Randalstown Road, Antrim",To Antrim,To Randalstown,313595,387407,"10,000","10,010",-,821,820,08:00,984,980,17:00,4855,5145,4860,5150,-,-,-,-,-,5198,5519,"10,717",5200,5520,"10,720",545,550,08:00,342,340,16:00,280,280,11:00,653,650,17:00,"9,510",1.16,"9,620",4.05,"10,010",
104,A26,North,"Antrim - Ballymena, North of Dunsilly",To Ballymena,To Antrim,313671,390272,"30,592","30,600",7.5,2457,2460,08:00,3026,3030,17:00,15347,15245,15350,15250,88.2,4.3,4.6,2.8,0.1,16734,16491,"33,225",16730,16490,"33,220",990,990,08:00,1885,1890,17:00,1504,1500,07:00,1155,1160,17:00,-,-,"31,480",-2.8,"30,600",
105,A26,North,"Ballymena Road, Antrim",To Antrim,To Ballymena,313675,389702,"16,268","16,270",-,1395,1400,08:00,1563,1560,17:00,8163,8105,8160,8110,-,-,-,-,-,8835,8792,"17,627",8840,8790,"17,630",678,680,08:00,815,820,17:00,717,720,08:00,763,760,16:00,"16,820",5.53,"17,750",-8.34,"16,270",
106,A6,North,"Belfast Road, Antrim",To Antrim,To Templepatrick,317102,385429,"8,997","9,000",-,780,780,08:00,861,860,17:00,4471,4526,4470,4530,-,-,-,-,-,4871,4954,"9,825",4870,4950,"9,820",414,410,08:00,419,420,17:00,365,370,08:00,455,460,16:00,"9,000",-1.44,"8,870",1.47,"9,000",
107,A57,North,International Airport – Templepatrick (East of A26 Killead Roundabout),To International Airport,To Templepatrick,317901,381960,"8,077","8,070",-,728,730,08:00,784,780,17:00,4173,3904,4170,3900,-,-,-,-,-,4573,4241,"8,814",4570,4240,"8,810",412,410,07:00,385,390,16:00,328,330,08:00,417,420,17:00,"8,650",17.57,"10,170",-20.65,"8,070",
108,A26,North,International Airport - Nutts Corner (North of A52 Nutts Corner Roundabout),To International Airport,To Nutts Corner,318960,378770,"16,492","16,490",11.2,1724,1720,08:00,1768,1770,17:00,8213,8279,8210,8280,83.2,5.6,7.2,4,0,8977,8999,"17,976",8980,9000,"17,980",915,920,08:00,814,810,17:00,809,810,08:00,954,950,17:00,"16,470",-1.46,"16,230",1.6,"16,490",
109,A26,North,"Nutts Corner - Moira, at Nutts Corner",To Nutts Corner,To Moira,319528,377642,"11,861","11,870",-,1316,1320,08:00,1371,1370,17:00,5905,5956,5910,5960,-,-,-,-,-,6509,6490,"12,999",6510,6490,"13,000",828,830,08:00,525,530,17:00,488,490,08:00,845,850,17:00,"11,400",2.37,"11,670",1.71,"11,870",
110,M2,North,Rathbeg (Junction 6) – Dunsilly (Junction 1 on M22),To Belfast,To Toome,317903,388344,"39,154","39,160",6.7,3697,3700,07:00,4047,4050,16:00,19369,19785,19370,19790,90.2,3.1,1.6,4.3,0.8,21606,21770,"43,376",21610,21770,"43,380",1457,1460,07:00,2467,2470,16:00,"2,239",2240,07:00,1580,1580,16:00,"37,600",0.96,"37,960",3.16,"39,160",
111,M22,North,Dunsilly (Junction 1) - Ballygrooby (Junction 2),To Belfast,To Toome,311807,389739,"19,900","19,900",6.7,1986,1990,07:00,2096,2100,17:00,9686,10214,9690,10210,90.2,3.1,1.6,4.3,0.8,10800,11310,"22,110",10800,11310,"22,110",577,580,08:00,1459,1460,17:00,"1,558",1560,07:00,649,650,14:00,"19,260",1.19,"19,490",2.1,"19,900",
112,A42,North,"Galgorm Road, Ballymena",To Ballymena,To Galgorm,309271,402487,"15,725","15,720",2.9,1050,1050,08:00,1373,1370,16:00,7663,8062,7660,8060,95,2.1,2.6,0.3,0,8064,8499,"16,563",8060,8500,"16,560",613,610,08:00,594,590,16:00,501,500,11:00,779,780,17:00,"14,050",8.4,"15,230",3.22,"15,720","Very little 2014 data. 09/03/14 - 15/03/14, 20/09/14, 14/10/14 - 31/12/14."
113,A26,North,"Ballymena - Ballymoney, North of M2",To Ballymena,To Ballymoney,308213,407721,"19,462","19,460",9.1,1741,1740,08:00,1993,1990,17:00,9693,9769,9690,9770,62.7,28.2,6.7,2.4,0,10268,10473,"20,741",10270,10470,"20,740",1169,1170,08:00,688,690,16:00,572,570,08:00,1308,1310,17:00,"20,370",-,-,-,"19,460",To Ballymena loop faulty 01/01/14 - 06/10/14. Data used 07/10/14 - 31/12/14
114,A43,North,"Cushendall Road, Ballymena",To Ballymena,To Cushendall,311347,405432,"7,497","7,500",-,703,700,08:00,800,800,17:00,3739,3758,3740,3760,-,-,-,-,-,4010,4065,"8,075",4010,4070,"8,080",539,540,08:00,257,260,14:00,214,210,11:00,574,570,17:00,"7,580",-3.17,"7,340",2.18,"7,500",
115,A42,North,"Ballymena - Broughshane, at Eaton Park",To Ballymena,To Broughshane,312684,404738,"13,986","13,980",-,1111,1110,08:00,1259,1260,16:00,7044,6942,7040,6940,-,-,-,-,-,7661,7559,"15,220",7660,7560,"15,220",667,670,08:00,656,660,16:00,444,440,08:00,684,680,17:00,"13,150",1.98,"13,410",4.25,"13,980",
116,M2,North,Larne Road (Junction 10) - Broughshane Road (Junction 11),To Ballymoney,To Antrim,312432,403251,"25,435","25,430",7.2,2199,2200,08:00,2622,2620,17:00,13072,12363,13070,12360,87.4,5.4,4.6,2.4,0.2,14138,13172,"27,310",14140,13170,"27,310",857,860,08:00,1676,1680,17:00,"1,341",1340,08:00,982,980,16:00,-,-,"25,500",-0.27,"25,430",
117,A2,East,Whitehead - Carrickfergus,To Carrick,To Whitehead,346847,391041,"7,253","7,260",-,164,160,11:00,198,200,16:00,3617,3636,3620,3640,-,-,-,-,-,3793,3793,"7,586",3790,3790,"7,580",288,290,08:00,262,260,15:00,120,120,11:00,174,170,17:00,"7,200",-2.08,"7,050",2.98,"7,260",
118,A2,East,Carrickfergus - Belfast,To Belfast,To Carrickfergus,339376,386417,"23,442","23,440",4.3,1616,1620,07:00,1919,1920,16:00,12079,11363,12080,11360,92.1,3.6,3.4,0.9,0,12884,12101,"24,985",12880,12100,"24,980",720,720,08:00,1094,1090,17:00,"1,047",1050,07:00,831,830,16:00,"24,430",-4.42,"23,350",0.39,"23,440",
119,A2,North,"Larne - Ballygalley, at Blackcave Tunnel",To Larne,To Carnlough,340390,404474,"3,342","3,340",-,246,250,11:00,285,290,15:00,1559,1783,1560,1780,-,-,-,-,-,1482,1714,"3,196",1480,1710,"3,190",97,100,11:00,131,130,15:00,150,150,11:00,160,160,12:00,"2,890",12.11,"3,240",3.09,"3,340",
120,A8,North,"Larne - Ballynure, at Drumnahoe",To Larne,To Belfast,337247,400825,"15,550","15,550",13.3,932,930,00:00,1111,1110,16:00,7680,7870,7680,7870,83.1,3.6,7.6,5.7,0,7874,8029,"15,903",7870,8030,"15,900",489,490,00:00,565,570,16:00,443,440,00:00,593,590,15:00,"17,150",-2.57,"16,710",-6.94,"15,550","Very little 2014 data 1 week Oct, 3 weeks Nov, most of Dec 2014"
121,B18,North,"Toome - Castledawson, at Toome Bridge",To Toome,To Castledawson,298831,390867,"8,215","8,210",-,805,810,08:00,1099,1100,17:00,4083,4132,4080,4130,-,-,-,-,-,4614,4679,"9,293",4610,4680,"9,290",587,590,07:00,373,370,17:00,335,340,08:00,726,730,17:00,"7,150",8.67,"7,770",5.66,"8,210",
122,A6,West,Castledawson – Dungiven (North West of A31 near roundabout),To Castledawson,To Dungiven,291603,392792,"13,397","13,400",-,1084,1080,08:00,1328,1330,17:00,6620,6777,6620,6780,-,-,-,-,-,7096,7388,"14,484",7100,7390,"14,490",647,650,07:00,479,480,16:00,466,470,08:00,851,850,17:00,"12,850",1.95,"13,100",2.29,"13,400",
123,A31,West,"Moneymore Road, Magherafelt",To Magherafelt,To Moneymore,289159,389759,"10,690","10,690",-,867,870,08:00,985,990,17:00,5306,5384,5310,5380,-,-,-,-,-,5684,5807,"11,491",5680,5810,"11,490",433,430,08:00,466,470,17:00,434,430,08:00,519,520,17:00,"10,550",-0.28,"10,520",1.62,"10,690",
124,A29,West,"Maghera Road, Tobermore",To Tobermore,To Maghera,283743,397619,"9,312","9,310",9.4,739,740,08:00,983,980,17:00,4479,4833,4480,4830,84.5,6.1,6.5,2.7,0.2,4777,5146,"9,923",4780,5150,"9,930",328,330,08:00,486,490,17:00,411,410,08:00,497,500,17:00,"9,450",-5.61,"8,920",4.37,"9,310",
125,A6,West,"Castledawson - Dungiven, at Ranaghan",To Castledawson,To Dungiven,282500,400596,"11,587","11,590",11.3,949,950,08:00,1131,1130,17:00,5771,5816,5770,5820,82.2,6.5,7.5,3.8,0,6128,6278,"12,406",6130,6280,"12,410",514,510,07:00,463,460,17:00,444,440,08:00,668,670,17:00,"11,350",0.09,"11,360",2.02,"11,590",
