Cheltenham Borough Council Payments To Suppliers Between 2014-10-01 and 2014-10-31,,,,,,,,
,,,,,,,,
Accounts Payable Data,,,,,,,,
,,,,,,,,
Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense Type,Description,Payment Date,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032111,169294,A & E Fire Equipment Limited,R2083-CPK101,R&M of Build - Routine,17/10/2014,860.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032106,169637,A & E Fire Equipment Limited,R2008-CUL112,R & M of Build - Reactive Repairs,17/10/2014,737.31
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031881,95092247,AA Media Limited,R4013-CUL107,Exhibition Supplies,17/10/2014,690.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14029863,27377526-15,ADT Fire & Security plc,R2042-CUL117,R & M of Build Fire Systems,03/10/2014,549.42
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031346,60586,Alba/SB Pools Limited,R2001-REC101,R & M of Fix & Fit - General,03/10/2014,671.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032025,SOI0061180,AllCoopers Limited,R2705-ADB101,Security Systems,24/10/2014,684.90
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031655,61089,Alpha Colour Printers Limited,R4300-LTC001,Printing - Services,17/10/2014,790.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031630,61116,Alpha Colour Printers Limited,R4300-LTC001,Printing - Services,17/10/2014,810.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032513,891973,Amberwing Limited,R1652-COR001,Training Fees (External),31/10/2014,856.20
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032254,861,Anderson Civil Engineering UK Limited,R5001-FLD001,TPP - Major External Contractors,24/10/2014,928.28
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032209,IV950,Art Works Exhibition Services Limited,R4013-CUL107,Exhibition Supplies,24/10/2014,850.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031180,46582,B & W Hire Limited,R4429-CUL110,Services - other fees,03/10/2014,595.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032283,BET092,Betaris Training Limited - Division is Betaris Security,R4429-CUL110,Services - other fees,31/10/2014,643.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14032247,155532,Bluesky International Limited,R4318-COR003,Photography & Promotional Materials/Design,24/10/2014,730.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031990,08/195572,Bunzl Cleaning and Hygiene Supplies,R4009-ADB101,Materials - Cleaning Materials,24/10/2014,627.18
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031610,CA2014/cbc,Cheltenham Civic Society,R6280-DEV001,Grants,17/10/2014,692.40
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031610,CA2014/cbc,Cheltenham Civic Society,R6280-DEV001,Grants,17/10/2014,821.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031996,46298,Chris Andrews Publications Limited,R4011-TAC101,Goods For Resale,17/10/2014,890.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14029829,12588,Complete Climate Solutions,R2007-OPS111,R & M of Plant Contracts,10/10/2014,722.89
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031685,14342,Complete Climate Solutions,R2080-REC111,Mechanical Services,10/10/2014,538.13
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14031782,C24843,Cotswold Drain Service Limited,R5001-EMP001,TPP - Major External Contractors,10/10/2014,780.00
