Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,02/03/2012,Solicitors,Policy,DEPARTMENT FOR WORK & PENSIONS,600069502,329968.91,888815554
Dept of Health,MHRA,05/03/2012,Capital Expenditure,Operations & Finance,AUDIO VISUAL MACHINES LTD,600069541,43634.70,536094931
Dept of Health,MHRA,08/03/2012,Facilities Management,Operations & Finance,BIS,600068725,15474.31,888825550
Dept of Health,MHRA,08/03/2012,Building Maintenance,Operations & Finance,BIS,600068725,37143.23,888825550
Dept of Health,MHRA,08/03/2012,Premises Rental,Operations & Finance,BIS,600068725,15772.89,888825550
Dept of Health,MHRA,08/03/2012,Service Charge,Operations & Finance,BIS,600068725,232897.44,888825550
Dept of Health,MHRA,08/03/2012,Rates,Operations & Finance,BIS,600068725,475000.00,888825550
Dept of Health,MHRA,08/03/2012,Building Maintenance & Utilities,Operations & Finance,BIS,600068725,53579.36,888825550
Dept of Health,MHRA,08/03/2012,Security,Operations & Finance,BIS,600068725,74763.80,888825550
Dept of Health,MHRA,08/03/2012,Cleaning,Operations & Finance,BIS,600068725,51026.64,888825550
Dept of Health,MHRA,08/03/2012,Overseas Travel & Subsistence,Licensing,FCM TRAVEL SOLUTIONS,600069711,701.30,662428530
Dept of Health,MHRA,08/03/2012,Overseas Travel & Subsistence,Vigilance and Risk Management of Medicines,FCM TRAVEL SOLUTIONS,600069711,188.00,662428530
Dept of Health,MHRA,08/03/2012,Overseas Travel & Subsistence,"Inspection, Enforcement & Standards",FCM TRAVEL SOLUTIONS,600069711,11742.76,662428530
Dept of Health,MHRA,08/03/2012,Overseas Travel & Subsistence,General Practice Research Database,FCM TRAVEL SOLUTIONS,600069711,539.13,662428530
Dept of Health,MHRA,08/03/2012,Overseas Travel & Subsistence,Policy,FCM TRAVEL SOLUTIONS,600069711,1477.98,662428530
Dept of Health,MHRA,08/03/2012,Overseas Travel & Subsistence,Directorate,FCM TRAVEL SOLUTIONS,600069711,104.28,662428530
Dept of Health,MHRA,08/03/2012,Overseas Travel & Subsistence,Medical Devices,FCM TRAVEL SOLUTIONS,600069711,1927.98,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,Licensing,FCM TRAVEL SOLUTIONS,600069711,201.50,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,"Inspection, Enforcement & Standards",FCM TRAVEL SOLUTIONS,600069711,14628.82,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,General Practice Research Database,FCM TRAVEL SOLUTIONS,600069711,821.30,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,Policy,FCM TRAVEL SOLUTIONS,600069711,59.40,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,Information Management,FCM TRAVEL SOLUTIONS,600069711,9.00,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,Operations & Finance,FCM TRAVEL SOLUTIONS,600069711,173.00,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,Directorate,FCM TRAVEL SOLUTIONS,600069711,23.60,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,Medical Devices,FCM TRAVEL SOLUTIONS,600069711,1152.58,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,Human Resources,FCM TRAVEL SOLUTIONS,600069711,30.80,662428530
Dept of Health,MHRA,08/03/2012,UK Travel & Subsistence,Communications,FCM TRAVEL SOLUTIONS,600069711,189.90,662428530
Dept of Health,MHRA,09/03/2012,Computing Operation Costs,Information Management,ACCENTURE,600069749,667902.36,788629066
Dept of Health,MHRA,12/03/2012,Third Party IT Contracts,Information Management,ACCENTURE,600069775,55305.60,788629066
Dept of Health,MHRA,12/03/2012,Capital Expenditure,Information Management,ACCENTURE,600069776,29931.36,788629066
Dept of Health,MHRA,12/03/2012,Capital Expenditure,Information Management,ACCENTURE,600069777,25391.33,788629066
Dept of Health,MHRA,12/03/2012,Capital Expenditure,Information Management,ACCENTURE,600069779,47501.92,788629066
Dept of Health,MHRA,14/03/2012,Facilities Management,Operations & Finance,BIS,600069811,26790.71,888825550
Dept of Health,MHRA,19/03/2012,Rates,Operations & Finance,WELWYN HATFIELD COUNCIL,600070160,38193.82,
Dept of Health,MHRA,20/03/2012,Laboratory,"Inspection, Enforcement & Standards",LGC (TEDDINGTON) LTD,600070170,74643.60,674056721
Dept of Health,MHRA,22/03/2012,Solicitors,"Inspection, Enforcement & Standards",DEPARTMENT FOR WORK & PENSIONS,600070233,34710.49,888815554
Dept of Health,MHRA,22/03/2012,Service Charge,Operations & Finance,BNP PARIBAS REAL ESTATE,600055552,463546.54,
Dept of Health,MHRA,22/03/2012,Service Charge,Operations & Finance,BNP PARIBAS REAL ESTATE,600070324,-175352.60,
Dept of Health,MHRA,27/03/2012,Laboratory,"Inspection, Enforcement & Standards",LGC (TEDDINGTON) LTD,600070465,290528.40,674056721
Dept of Health,MHRA,27/03/2012,Reprographics,Operations & Finance,DEPARTMENT OF HEALTH,600070478,57936.47,888815064
Dept of Health,MHRA,30/03/2012,Laboratory,"Inspection, Enforcement & Standards",LGC (TEDDINGTON) LTD,600070461,314878.80,674056721
Dept of Health,MHRA,30/03/2012,Solicitors,Policy,DEPARTMENT FOR WORK & PENSIONS,600070578,370024.78,888815554
